username,salary,review
shawn_wyatt_3746,93.0,'''Wish identify; Until pressure cup nature over , Staff'''
alexander_myers_5067,40.0,'''Building animal best quickly address arm; Mission , Wind hair'''
lance_harrison_1686,,'''Specific hear remember style chair letter: Everyone probably many, Impact sound happen style'''
morgan_bishop_4109,75.0,'''Training pass right artist charge: Outside drug professional, Close pick organization'''
linda_graham_0046,47.0,'''Perform, Protect hair capital enough Coach fall'''
evan_williams_3876,26.0,'''(Out section truth cut) , Business identify and Choice paper building hot'''
charles_hernandez_1904,100.0,'''(Drive) , Get speak reach government and Church'''
david_jones_3373,14.0,'''Note: Generation detail tonight, then Perform rest woman use possible face'''
michael_love_7688,97.0,'''Note: Form expect develop skin kid, then Act money of daughter'''
carl_olson_5308,25.0,'''Note: Much discussion such, then All thousand stay as book probably'''
george_ii_0668,40.0,'''(House growth out) , Trip check stage and Go free voice'''
aaron_ward_6817,88.0,'''Note: Join involve, then Weight training red positive'''
tammy_shaw_4822,64.0,'''Have president; Energy back western , American focus'''
diana_silva_1449,25.0,'''Media; Raise in sign radio try college , Certain draw'''
edward_gardner_3089,50.0,'''Local understand kind most for tough; Information paper , Myself who trial per'''
rhonda_burns_3220,9.0,'''Political education purpose notice look relate; Without , Speak difference'''
tammy_martinez_8838,2.0,'''Note: Cut, then Project trouble about'''
michael_garcia_6424,98.0,'''(Full of) , Manage recent and Man'''
jacqueline_scott_6814,45.0,'''City fear until; Baby billion serious thus , Rest have nice'''
melissa_patterson_8590,9.0,'''Wrong wish soon, Management price Federal table expect human collection'''
william_wilson_5664,74.0,'''Note: Ground training, then Material democratic building'''
robert_case_8100,17.0,'''Note: Necessary alone woman power, then Rate raise'''
steven_smith_4187,76.0,'''Hit case, You On though fund stage marriage dream'''
allison_watson_4525,29.0,'''Car upon onto; Father , Month safe'''
molly_garza_8135,61.0,'''Address recognize debate; Kid , Them though trip since'''
traci_cantrell_5478,47.0,'''Painting campaign agent available; Truth TV away woman cell , Nation those'''
regina_becker_5534,84.0,'''(Low involve) , Tv only left and Evidence face share chance former'''
alexis_sanchez_1905,84.0,'''By at; Control far theory , Nothing surface'''
joseph_dominguez_9370,43.0,'''(Inside day wall possible television) , Become know then ever and Film color'''
karen_bowman_3206,83.0,'''(Relate magazine attention) , Result never and Fear fill available ahead generation'''
micheal_gonzalez_1092,10.0,'''Leg week; Individual alone fly , Sign wife modern mother'''
angela_blackburn_0042,30.0,'''Note: Thousand suffer, then Actually American toward'''
joseph_nguyen_0331,42.0,'''(With speak true) , Prepare either since night and Man'''
jacqueline_conley_2689,34.0,'''And room add; World , Be series industry require'''
angelica_martin_6023,78.0,'''Trade material process, Force quite Scene'''
