username;name;total_count;price;description
leslie_sanders_4190;Leslie Sanders;9.0;83.1;'''Through exactly hold her: Difference few; About low scene'''
michael_kent_8854;Michael Kent;22.0;;'''Arm rather we factor: No attack while; Soldier they memory'''
chelsea_stevenson_2193;Chelsea Stevenson;30.0;89.1;'''Hour radio great yourself; Outside how themselves appear be Feel hope mean within'''
michelle_sanchez_7236;Michelle Sanchez;47.0;12.1;'''Either; Occur goal likely involve market Man perform nation article'''
carrie_dvm_0475;Carrie Clark DVM;35.0;78.1;'''(Player away) ; Run and History woman their movie'''
andrew_raymond_5342;Andrew Raymond;97.0;20.1;'''Note: Front everybody door; then Model lay'''
dakota_martinez_2763;Dakota Martinez;70.0;66.1;'''Note: Value; then World environment particularly'''
tyler_thompson_6164;Tyler Thompson;81.0;81.1;'''(Well child policy full) ; Recognize and Blue suddenly local home'''
wesley_martin_4613;Wesley Martin;12.0;81.1;'''We material region; Once ; Democrat commercial shake let open'''
regina_silva_0983;Regina Silva;51.0;76.1;'''Note: Eat avoid government old career green; then Degree him'''
brian_davenport_7227;Brian Davenport;20.0;38.1;'''Loss assume myself; Far role worker Large laugh'''
thomas_butler_8971;Thomas Butler;95.0;82.1;'''Manage center approach; Win ; Best reduce detail prove'''
john_wilkerson_6391;John Wilkerson;78.0;58.1;'''Science song; Expect ; Ok'''
jamie_johnson_2462;Jamie Johnson;41.0;46.1;'''Model; Student open Under anyone speech'''
alexis_taylor_1554;Alexis Taylor;43.0;83.1;'''Note: High true large; then Think success animal'''
ashley_le_7354;Ashley Le;25.0;54.1;'''Note: Since laugh; then Anyone until'''
abigail_ford_8135;Abigail Ford;87.0;48.1;'''Issue together; Hot step table help available theory First meeting general'''
michael_roberts_1472;Michael Roberts;57.0;29.1;'''Someone organization officer: Whose; Rule lose animal'''
james_harris_4896;James Harris;59.0;89.1;'''Note: Seek rather article day; then Director assume site statement'''
dr_md_7375;Dr. Anna Booth MD;24.0;100.1;'''Us water until firm most; Stay Certain wish deep'''
christine_callahan_1215;Christine Callahan;73.0;53.1;'''Next guy force expect; Claim ; Short community explain whether chance'''
whitney_blair_2811;Whitney Blair;39.0;48.1;'''Lawyer; While need agency senior Everyone enjoy'''
laura_jones_2660;Laura Jones;73.0;97.1;'''Listen; Ok body information on ; Visit'''
mary_ramsey_2005;Mary Ramsey;100.0;93.1;'''Large; Nice marriage election ; Community'''
john_gonzalez_9249;John Gonzalez;33.0;17.1;'''Use news bar case particular; Statement a miss ; Explain huge production cause just'''
kristen_lee_5495;e;;74.1;'''(Staff turn write grow image) ; Policy establish organization them realize and Young house run'''
katherine_ryan_4375;Katherine Ryan;55.0;54.1;'''Worry million eat conference: Write team; Officer cause build end'''
jessica_turner_5377;Jessica Turner;51.0;6.1;'''(Color) ; More risk memory around and Name enjoy'''
william_stafford_9166;William Stafford;36.0;93.1;'''Local control; Camera identify responsibility hard his Operation write'''
amanda_taylor_7575;Amanda Taylor;83.0;90.1;'''Better: Scientist; Performance'''
