name;age;rating;score;remark
Derek Harris-Wood;78.0;44.1;8.2;"""(In reprehenderit) ; Deleniti rerum fugit dolores and Expedita odit"""
Sharon Webb;30.0;91.1;97.2;"""(Vero doloribus ab) ; Earum delectus and Vero praesentium"""
Hazel Slater;88.0;91.1;94.2;"""(Cupiditate) ; Vitae ab and Repellat voluptas"""
Scott Patel;38.0;53.1;65.2;"""Note: Expedita quae doloribus illum porro; then Cupiditate asperiores tempore"""
Clive Owen;19.0;54.1;38.2;"""Dolores molestias id; Esse nesciunt ; Dolorum aut"""
Brenda Vincent;56.0;21.1;52.2;"""Enim fugit quidem; Amet nulla repellendus architecto laudantium Voluptas maxime laboriosam facere cum corporis"""
Leonard Lee;46.0;32.1;78.2;"""(Voluptas architecto sequi fugiat doloremque) ; In minima rem and Nulla quam voluptate vitae"""
Dr Danielle Thompson;65.0;100.1;62.2;"""Note: Illum suscipit provident; then Saepe consequuntur deserunt"""
Edward Hart;8.0;61.1;13.2;"""Note: Nesciunt illo; then Tempora corporis rem soluta molestiae qui"""
Mrs Ann West;37.0;70.1;14.2;"""Fugit sunt vitae voluptatibus veritatis; Sapiente unde laudantium repudiandae ; Praesentium minus nobis rerum necessitatibus accusantium"""
Alex Daly;73.0;18.1;;"""Necessitatibus rem expedita; Pariatur minima Illo officiis"""
Timothy Griffin;11.0;41.1;55.2;"""Note: Maiores vitae; then Maiores accusantium amet consectetur minus"""
Dr Raymond Rees;91.0;38.1;59.2;"""Blanditiis: Deleniti impedit; Dolorum deserunt perferendis fuga"""
Malcolm Lamb;26.0;69.1;46.2;"""(Deleniti aut autem voluptatem officiis) ; Repudiandae aliquam and Ad amet"""
Teresa Fuller;27.0;51.1;6.2;"""Non incidunt vitae minus mollitia; Consequuntur enim tempora veniam cumque qui Id repellat voluptates"""
Kate Morgan;59.0;31.1;16.2;"""Numquam accusantium blanditiis; Nostrum Veritatis commodi voluptatibus"""
Ross Turner;29.0;2.1;78.2;"""(Neque) ; Iusto ducimus dolores incidunt and Sequi voluptate repellat"""
Dr Justin Walton;76.0;2.1;8.2;"""Note: Voluptatem accusantium; then Odit sunt"""
Andrea Davies;33.0;29.1;80.2;"""Libero labore doloremque accusantium adipisci; Labore veritatis ad at Mollitia"""
Wayne Phillips;62.0;72.1;92.2;"""Note: Corrupti ipsa neque error; then Asperiores laborum"""
Naomi King;17.0;72.1;65.2;"""Note: Quidem ratione animi; then Provident error voluptatibus"""
Samuel Taylor;20.0;14.1;79.2;"""Nam est nulla; Doloribus consequuntur sunt at ; Animi incidunt doloremque"""
Katy Thomson;90.0;14.1;76.2;"""Note: Non nostrum; then Magni veritatis vel"""
Judith Thomas;15.0;96.1;64.2;"""Note: Veniam laudantium quam; then Ex repudiandae"""
Hazel Barker;83.0;65.1;52.2;"""Ullam ipsa: Similique; Fuga aspernatur vitae"""
Zoe Poole;91.0;93.1;18.2;"""Suscipit non; Ipsam et nihil culpa est placeat ; Voluptatum recusandae"""
D;60.0;84.1;57.2;"""(Mollitia perspiciatis) ; Mollitia quis and Eum exercitationem est"""
Ms Ann Morgan;31.0;7.1;28.2;"""Laborum dicta illo doloribus voluptatem: Occaecati quo; Modi cum sed"""
Charlie Harvey-Turner;24.0;88.1;73.2;"""(Soluta) ; Quibusdam incidunt fuga and Illo nihil atque"""
Kevin Sullivan;2.0;64.1;51.2;"""Modi adipisci enim cumque aspernatur; Quasi accusantium harum architecto Aliquam eos"""
Nicola Wells;51.0;26.1;79.2;"""Doloremque reprehenderit: Voluptate excepturi ducimus tenetur qui; Commodi"""
Diana Griffiths;22.0;73.1;84.2;"""Aliquid magni maxime; Iure quaerat laborum repellendus ipsa ipsam Nobis"""
Deborah Foster;59.0;87.1;64.2;"""Quos ratione ab vero in temporibus; Sunt delectus inventore ; Autem labore commodi recusandae minima"""
Neil Pugh;8.0;11.1;83.2;"""Note: Neque architecto consequuntur illum; then Repudiandae ratione occaecati aut sit itaque"""
Dr Geoffrey Barnes;23.0;34.1;44.2;"""(Enim) ; Officiis aspernatur and Eum quibusdam incidunt praesentium minima earum"""
Mrs Victoria Curtis;48.0;76.1;4.2;"""(Hic) ; Ex consequatur quia libero and Repudiandae provident sed illum"""
Kerry Clark;;65.1;95.2;"""(Voluptate maxime magni ipsam doloribus) ; Consectetur and Quo illum in"""
Marc Pearson;29.0;53.1;50.2;"""Ex; Ab corporis explicabo Nisi doloribus totam"""
Nicola Gilbert;83.0;87.1;85.2;"""Reprehenderit deleniti fuga; Optio rerum Laboriosam laudantium assumenda perferendis quia"""
Albert Howe;56.0;94.1;4.2;"""Voluptatem consequuntur voluptates: Facere adipisci vero est; Impedit non"""
Sharon Ward;24.0;11.1;92.2;"""Assumenda aspernatur reiciendis: Optio quasi placeat necessitatibus quis adipisci; Numquam quia modi ducimus"""
Mr John Kelly;59.0;85.1;34.2;"""Note: Nulla a commodi aliquid; then Excepturi quisquam rerum"""
Lindsey Doyle;77.0;;12.2;"""Accusantium id amet; Ad maiores quidem hic ; Culpa doloremque"""
Carole Hamilton;75.0;56.1;68.2;"""(Aliquid ducimus et corrupti) ; Expedita and Nostrum et repudiandae"""
Kenneth Thompson-White;32.0;66.1;98.2;"""Note: Adipisci enim tempora vitae iste; then Voluptate"""
