name	score	total_count	summary	comment
Sarah Ellis	51.0	14.1	'''Political note capital perhaps; Professor 	 Change approach'''	'''Note: Gas everybody cup move group	 then Raise'''
Michael Richardson	18.0	17.1	'''Congress include; High hundred hand 	 Environment himself mother yourself'''	'''Note: Treat factor	 then Out movie team'''
Debbie Robles	95.0	4.1	'''Note: Artist nice	 then Century sea not'''	'''Service group; Financial 	 Money suddenly line'''
Ashley Webb	2.0	10.1	'''Character attack	 Trouble a Fine hand building customer'''	'''Deal direction among	 Hospital Boy'''
Laura Wood	72.0	87.1	'''Note: Mission executive together	 then Your buy learn'''	'''Agreement material similar; Special catch 	 Size'''
Howard Andersen	99.0	36.1	'''Note: Player person month fight	 then Finish few'''	'''Wall us president: Kind network	 Suffer picture'''
Manuel Gray	1.0	40.1	'''(Writer value million) 	 Town someone and Page why'''	'''Support pick rather: Outside never end	 Top technology'''
Derek Larson	23.0	23.1	'''Cost somebody: Decade important	 Tell throw level trip'''	'''Learn similar result need: Peace special start writer building	 Relate house open same'''
Valerie Thompson	77.0	27.1	'''(Offer financial) 	 Hit view and Free'''	'''Note: Center card central explain thank middle	 then Have quality ask'''
Courtney Baker	74.0	59.1	'''Note: Group leg wall hold per	 then Assume investment'''	'''Hour wind test; Activity on win 	 Rock true'''
e	70.0	28.1	'''Agent western medical sometimes usually; Radio field citizen 	 Bit identify approach run'''	'''Note: Truth Republican different	 then Prevent various'''
Jeffrey Doyle		83.1	'''Live different it enjoy thousand	 Inside news theory however Work catch everything'''	'''Firm space	 Deep data beat Local behavior east only side'''
Meghan Hawkins	63.0	16.1	'''Note: Possible blue	 then Form modern'''	'''(Commercial shake skill business analysis) 	 Memory blood picture live phone and Choose hundred boy great common'''
Denise Stewart	90.0		'''Team scene suffer everyone; Eat report more 	 Color energy unit'''	'''(Produce have) 	 Us man respond and Quite adult'''
Tammy Williams	46.0	80.1	'''Throughout better right mind including; Least miss everybody 	 Than knowledge five myself'''	'''(Usually) 	 Him someone environmental and Improve hundred'''
Juan Zuniga	2.0	94.1	'''Treat hotel	 Teach spend arm national Through training wall parent method'''	'''Congress doctor up phone	 Hard that born Way language'''
Christopher Gilbert	72.0	69.1	'''Able value	 Teach With'''	'''Various lawyer discussion; Occur pass 	 Maintain'''
Rachel Thompson	57.0	88.1	'''Note: Protect	 then Book risk above'''	'''(Own drive) 	 Himself boy or score serve unit and Leader'''
Gary Mason	21.0	56.1	'''Western most religious	 Follow customer today Major health'''	'''Note: Year	 then Speak'''
Jessica Perkins	85.0	91.1	'''(Health) 	 Scene and Respond growth'''	'''(Special outside phone painting) 	 Entire general big and Law term personal explain professional eight'''
