# This is a comment line to skip
name	rating	description	review
Curtis Johnson	48.0	"""Issue	 Enter phone pick Way"""	"""Hard local notice despite	 Bring sense Whom thing yourself"""
Matthew Lewis	48.0	"""Tough; By fly hot 	 Five source budget"""	"""(Almost staff let modern) 	 Measure data school myself and White"""
Dr. Catherine Anderson	2.0	"""Note: Clearly time	 then Travel up necessary"""	"""(Worker whose) 	 Lay and Happy"""
Christopher Gonzalez	35.0	"""Note: Trade white	 then Can thing"""	"""(White or argue address) 	 Sister and Interview to"""
Scott Young	10.0	"""Note: They character either large	 then Card still week send agent cost"""	"""Note: Black mean challenge time	 then Near yes smile"""
Ralph Patel	71.0	"""Family southern treat upon responsibility	 Glass bag crime over Mr Congress care"""	"""You final customer of even: Clearly woman paper skill	 Institution"""
Nicholas Moody	56.0	"""Operation	 Country real Report sell control"""	"""Note: Modern world	 then Upon student lose along foot"""
Marc Fuller	21.0	"""(Personal across least) 	 Picture nothing left and Road"""	"""Safe effort	 Speech deal same forward Close knowledge generation free"""
o	9.0	"""Away; Difficult see could author 	 Team politics edge sound"""	"""(Senior learn little) 	 Forget way nature sister federal and Candidate tough what"""
Elizabeth Bates	70.0	"""Least	 Direction by wide line Already small culture or"""	"""(Star miss statement) 	 Often forget and Discussion your"""
Mark Scott	38.0	"""Everyone: Themselves run radio wonder	 Require including small state"""	"""(Me pressure happy) 	 Fish somebody top change and Pm why"""
Nicole Strickland	52.0	"""Note: Miss peace today	 then Per"""	"""He increase time: Support	 Particularly student away"""
Megan Torres	71.0	"""Kid determine: Stay ok buy	 Close court"""	"""(Pattern choice pass) 	 None take thus and Any drop travel"""
Angela Fisher	40.0	"""Free policy support person now: That then trial artist area open	 Question"""	"""(Will student) 	 Speech together factor and Event actually sort"""
Linda Wright	5.0	"""Although if	 School Can set"""	"""Note: Describe	 then Single through book"""
Barbara Thompson	82.0	"""Note: Country	 then Treatment key"""	"""Note: See truth student consider	 then Bag animal"""
Holly Black	98.0	"""Building establish job already well	 Republican something over them Occur"""	"""(Tonight occur above) 	 Strategy carry foot then and Meet rock"""
Justin Holland	97.0	"""Free; Discussion cover relate 	 Benefit"""	"""Right policy add	 View like series option Federal apply family cause answer"""
Joseph Ford	28.0	"""(Degree produce wrong) 	 Walk oil move community and Off significant energy"""	"""Happy loss: Painting simple guy	 Pm"""
Annette Rodriguez		"""Mr executive fight defense; Old director idea 	 Stand wear debate describe"""	"""(Staff whether store only) 	 Support stuff suddenly middle answer and Soon effort"""
Angela Harrington	89.0	"""Experience goal general still which	 Position try ten window Value expert these others"""	"""Note: Training	 then Animal drop"""
Jacob Jefferson	46.0	"""(Social scene) 	 Live investment and Next wide"""	"""Together bit ground know	 Imagine lay attack our Interest point whatever which"""
Tracey Baker	57.0	"""(Under rule join modern present) 	 Price hot vote image and Paper industry data source"""	"""At either senior into	 Night Concern event against different couple"""
Barbara Harper	54.0	"""Note: Task low	 then Cover policy my"""	"""Note: Many child tonight though	 then Month husband school wish"""
Ryan Norman MD	22.0	"""Note: Good property manage	 then Professor teach material"""	"""Main old	 Drop various Camera discussion control alone almost happen"""
Kendra Wright	96.0	"""Toward television debate	 Movie car how win Learn answer"""	"""(Road around response) 	 His hair and Office admit"""
Nathan Glass	79.0	"""(Argue century account dinner) 	 Nation and Both heavy tonight attack five"""	"""Model book: Buy green capital	 Rock history"""
Eric Walker	24.0	"""Sort everything show area cost; Difficult 	 Source"""	"""Alone no agency	 Skill cut benefit Across cultural"""
Jordan Johnson	68.0	"""Activity; Central boy 	 Language bag"""	"""Cause receive range morning it	 Tell able Trial build personal"""
Sarah Atkinson	45.0	"""Identify pretty store: Fund speech education	 Just reduce across after direction head"""	"""Attack; Safe he 	 Into the"""
Joan Peters	31.0	"""Note: Section	 then Gas I"""	"""(Direction) 	 Toward indeed everyone and Opportunity product have"""
Thomas Reyes	19.0	"""Maintain learn usually middle trade painting; Foreign today 	 Model type"""	"""Note: Field energy	 then Sport response take serve"""
Erika Walker MD	89.0	"""(Wind church network through hot) 	 Which federal evidence and Include young until"""	"""Serious: Senior	 Institution worry over many"""
Michael Glover	55.0	"""Production good discuss; Cause feel learn 	 Game half woman environmental"""	"""Happy: Spend arrive	 Be set matter let"""
Michelle Esparza	34.0	"""Support if	 International boy go south Source reach threat"""	"""Key morning; Kid shoulder 	 Care fish"""
Jonathan Hunter	82.0	"""Note: Provide city increase indicate notice	 then Measure operation pay always decision"""	"""Card space maintain: Live win American	 Crime case allow"""
Christopher Jones	69.0	"""Major happen	 Force Third high"""	"""Police these	 Sport speech month one Name"""
Andrew Chang	62.0	"""Democratic very	 Force turn sign Camera model campaign throw which dark"""	"""(Lawyer follow bring more) 	 White important race onto and Too"""
Michelle Mitchell	69.0	"""Scene red key; Maintain would 	 Enough put policy cause"""	"""Learn pay prevent for according Democrat: Need place bad	 Event yet term"""
Aaron Drake MD	81.0	"""(Pretty five product report into) 	 Increase choose and Value act everyone"""	"""Under ball: Stock ball by	 Camera police everybody project"""
