name;salary;total_count;rating;message
Jennifer Rivas;79.0;12.1;52.2;"""Fund at travel: Small activity opportunity when billion stay; Method"""
Gregory Blanchard;1.0;5.1;62.2;"""News: Natural item; Half personal could threat"""
Richard Knapp;38.0;69.1;44.2;"""Apply entire: Easy; Life big"""
Elaine Glenn;20.0;53.1;22.2;"""(Trial song) ; Memory and Letter north unit card"""
l;68.0;52.1;54.2;"""Inside chance; Relate figure its risk most player Much star our own for"""
Martha Pennington;77.0;40.1;47.2;"""(Forget still realize seek strong) ; Not beautiful fish and Develop identify husband"""
Jacob Daugherty;88.0;17.1;87.2;"""Smile audience; National project Nice offer direction space"""
Mr. Tracy Morrow;28.0;21.1;17.2;"""(Effect say product exist bring coach) ; Discussion set and Prepare the painting participant"""
Erin Smith;76.0;87.1;48.2;"""Common onto so past truth: Town young late letter color; For game experience trip"""
Samantha Rodriguez;81.0;78.1;6.2;"""Note: Someone performance cause; then Free other small"""
Gloria Sims DVM;10.0;9.1;90.2;"""Note: Near some deal old; then Theory child"""
Brian Hall;83.0;24.1;52.2;"""Note: Prevent able; then Speech son shoulder far commercial generation"""
Sarah Smith;48.0;48.1;95.2;"""Sometimes address this budget far process: Natural traditional event; Main pattern he standard"""
Mr. David Brown;4.0;19.1;42.2;"""Body work avoid figure; Would paper minute sense before ; Little anyone opportunity"""
Brandon Stevenson;27.0;95.1;47.2;"""Note: History; then Value start a third"""
Christopher Lane;91.0;17.1;84.2;"""Note: Single nation social; then Her behavior raise girl method big"""
Tiffany Smith;75.0;68.1;3.2;"""Partner must: Option sound grow Republican; But increase finally"""
Carol Montoya;23.0;6.1;5.2;"""Walk Democrat; Today evening Course party firm father situation"""
Jeffrey Thornton;66.0;6.1;16.2;"""Fight; Bad plan if expect parent east ; Fine however"""
Melissa Hayden;69.0;67.1;20.2;"""(Avoid type thousand stop health) ; Go and Spring admit road today bag"""
Megan Wilson;95.0;54.1;43.2;"""Note: Real need most great; then Address"""
Johnny Warren;41.0;59.1;8.2;"""Key interview myself hit; But ; Do figure day service"""
Steven Cox;75.0;63.1;72.2;"""Trouble wall dinner yet here: Amount war once off; Drop"""
Kari Walker;25.0;46.1;25.2;"""Hot; Thought draw ; Open"""
Joe Torres;23.0;77.1;15.2;"""Black property authority; Indeed ; Return cell stage enter"""
Veronica Martin;100.0;68.1;81.2;"""Note: Key court include it; then Stuff brother"""
Frank Garcia;27.0;84.1;;"""View eight too herself management start; Community then fly example smile since Moment between"""
Ashley Mccarty;63.0;78.1;26.2;"""Note: From; then Protect student"""
Kathryn Irwin;;60.1;91.2;"""(Work concern federal own themselves offer) ; Option what share concern as man and Especially here"""
Heather Rodriguez;54.0;54.1;48.2;"""Region few environment; Letter theory ; Mother next"""
Steven Kelley;9.0;88.1;66.2;"""Ground among to skin dog; Partner reality score News"""
Kimberly Webb;37.0;40.1;97.2;"""Blood: Everybody available allow organization daughter; Recently"""
Catherine Thompson;30.0;;51.2;"""Most site; Lead key kind around ; Now visit day strong"""
Dr. Amanda Taylor;93.0;74.1;70.2;"""Crime agent list remain minute: Note join today career; And"""
Tyler White;61.0;61.1;90.2;"""Market actually: Wear item bill; Course forward"""
Jacqueline Miller;10.0;47.1;49.2;"""Thank; Life along today ; Stand lose"""
Jeremy Castaneda;55.0;92.1;4.2;"""Note: Like hour policy information cell individual; then Day remain"""
Dale Day;36.0;37.1;23.2;"""See team whose avoid; Civil recent late person Light"""
Miguel Stone;14.0;80.1;89.2;"""Word; Friend impact really ground Rich research future"""
Christopher Edwards;75.0;25.1;94.2;"""Note: Think public since; then Region travel indeed away"""
Jon Cox;9.0;32.1;2.2;"""Product wear marriage; Book section four ago amount ; Key story military whom air"""
Aaron Maldonado;18.0;65.1;94.2;"""(Arrive particular) ; Garden and Police"""
Krista Hall;59.0;58.1;92.2;"""Material: Peace; What note"""
Todd Morrison;90.0;97.1;91.2;"""Note: Suddenly medical spend traditional study; then Record over close arm skin half"""
John Gonzalez;34.0;89.1;60.2;"""Note: Most music list apply; then Example arrive mission else"""
