name,price,score,summary
Carole Turner,14.0,77.1,'''Voluptas eligendi eaque molestias, Saepe Tenetur'''
Neil Jarvis-Young,73.0,99.1,'''Dolore dolore qui quasi: Eveniet, Incidunt praesentium dolorum cupiditate laudantium nemo'''
Bruce West-Nash,31.0,28.1,'''Id voluptates quisquam: Excepturi reprehenderit fuga natus autem, Debitis'''
Miss Nicola Porter,37.0,100.1,'''Quae omnis nesciunt aperiam: Ratione sunt tempore, Culpa inventore nobis'''
Linda Williams-Wells,10.0,61.1,'''Tenetur harum quam similique nam reprehenderit; Repellendus porro sit reprehenderit , Numquam perspiciatis'''
o,57.0,76.1,'''Illum repudiandae blanditiis omnis, Explicabo Repellat quod accusantium'''
Zoe Glover-Nelson,75.0,56.1,'''Quaerat perferendis quidem perferendis, Cum accusamus aspernatur in omnis Quos eum incidunt'''
Jane Williams,74.0,27.1,'''(Ipsum) , Cupiditate eius tenetur and Odio cumque'''
Louise Hayes,5.0,89.1,'''Id quidem vero nemo ab, Officiis assumenda Quibusdam eius at velit maiores quisquam'''
Dale Begum,28.0,16.1,'''(Cupiditate delectus fugit provident) , Perferendis numquam excepturi exercitationem accusamus alias and Iusto nobis'''
Natasha Brown,23.0,57.1,'''Culpa architecto iusto sapiente iste: At libero, Quos quae iure'''
Stanley Cooper-Russell,77.0,9.1,'''Quisquam adipisci cumque et quis, Minima accusantium Exercitationem'''
Sean Clark,45.0,96.1,'''Natus: Laboriosam nam, Harum sint est beatae doloremque'''
Anna Bates,33.0,65.1,'''(Sunt illo possimus) , Deserunt corrupti and Animi'''
Nicole Webster,48.0,28.1,'''Voluptatibus labore: Voluptatum repellat totam molestiae cumque, Voluptatum vitae dicta'''
Roy Patel-Smith,29.0,78.1,'''Neque laudantium ducimus; Expedita molestias ipsa beatae , Doloremque minus error unde'''
Alexandra Hewitt,43.0,7.1,'''(Expedita facilis) , Totam vitae ab tempore and Vel'''
Ricky Williams,59.0,16.1,'''Note: Quidem nisi, then Dicta'''
Amy Nash-Lynch,99.0,24.1,'''Similique natus; Aperiam commodi molestias , Illum nobis rem in'''
Dr Marie Goddard,,23.1,'''Minus architecto non modi: Maxime nisi, Accusantium dignissimos quaerat'''
Charles Smith,11.0,63.1,'''Eveniet quia, At in qui laudantium eligendi temporibus Corrupti sapiente qui'''
James Powell,89.0,100.1,'''Similique: Laudantium ipsam, Ad'''
Miss Leanne Bolton,51.0,2.1,'''Note: Consectetur odio ipsa at sint, then Eveniet quidem'''
Dr Danny Waters,74.0,35.1,'''Magnam amet delectus, Consequuntur esse tenetur modi Cumque natus assumenda consequuntur quis'''
Hazel White,78.0,45.1,'''Atque dolorem, Nihil atque quos Ipsam perferendis consequuntur ratione'''
Miss Gemma Winter,63.0,84.1,'''(Alias nesciunt dignissimos) , Quo aspernatur and Rem consequuntur'''
Ms Beth Kelly,1.0,68.1,'''(Quam nisi) , Accusantium consequuntur eveniet and Dolore consequuntur dolorum ullam maxime'''
Victoria Adams,15.0,68.1,'''Libero; Praesentium , Eveniet voluptatem'''
Elaine Bailey,17.0,86.1,'''Minus culpa, Adipisci quisquam ipsa consequatur Voluptate dignissimos nisi'''
Ms Kathryn Charlton,54.0,41.1,'''(Recusandae repudiandae omnis) , Neque eveniet and Atque quo possimus iure velit voluptatum'''
Georgina Porter,89.0,63.1,'''Culpa nisi repellat asperiores; Ducimus voluptas molestiae accusantium , Expedita'''
Samuel Morrison-Sullivan,81.0,,'''Earum: Repellat nobis aut mollitia, Nostrum culpa officiis'''
Dr Simon Pickering,71.0,33.1,'''Note: Pariatur fugit autem, then Occaecati quidem quia'''
