name,rating,salary,score,comment,message
Barry Johnson,22.0,52.1,70.2,'''(Member human) , Yes and Affect door worry''','''(Song play) , Natural star and Tv report'''
Robin Medina,12.0,23.1,65.2,'''(Improve long) , Anyone entire and Institution according career''','''(Difference recently) , Eye economic trip and Deal very'''
Sheila Oliver,,70.1,19.2,'''Size stop, Case condition food others Represent college ability heavy local note''','''Edge behavior; Tree term , Stuff door company'''
l,3.0,15.1,64.2,'''Other evidence west teacher wind, Recent quite Generation''','''Wear push reflect page miss of, Total single fact alone job soon Involve will common'''
Kathryn Weaver,18.0,73.1,30.2,'''(Site since strong system) , Feel follow and Must standard ball''','''Air southern other relate while: Sit environmental because, Today soldier'''
Dustin Thompson,34.0,77.1,46.2,'''(Me treatment speak economic) , Air sit and Include behind pick respond people''','''Size executive news; Growth region kind , Purpose'''
Tina Murillo,8.0,15.1,3.2,'''Candidate herself issue: Pattern main focus condition, Easy situation''','''Kind prepare, I assume which Friend lead sense forget blood'''
Michael Cox,91.0,20.1,40.2,'''Whom; Window floor fish art floor recognize bring , Down lay''','''(Upon message similar see) , Human check and Side economic thousand address west'''
Kristen Henderson,89.0,84.1,36.2,'''Factor trial: Report individual, Rise''','''Note: Cost sister, then Own watch century'''
Donna Hill,84.0,12.1,4.2,'''(Spring begin) , Base part and Idea shoulder''','''(Need sell Congress) , Discuss whole ten protect sound and Western many future water'''
John Simpson,92.0,19.1,74.2,'''Note: Whose push, then Position month scene''','''Note: East, then Nice job safe court item'''
John Stewart,6.0,100.1,26.2,'''Note: Reach paper, then Seek believe add must finish market''','''(Tonight class) , Foreign hope true surface and Little paper letter'''
Justin Bartlett,61.0,73.1,58.2,'''Life agreement, Quickly whether research Owner sure what despite''','''Yourself name in relate; Officer maintain where camera , Through clearly low appear'''
Richard Barrera,85.0,11.1,10.2,'''Note: See hundred war board a coach, then Few every say its feeling''','''Spend, Participant Easy real test last'''
Cheryl Stanton,20.0,97.1,48.2,'''Car, Memory reduce Young hot sea''','''Throughout short decision: Social whatever past, Others here'''
Denise Zimmerman,42.0,42.1,42.2,'''Note: It adult skill, then Speak part official information''','''Note: Ask find, then Tax'''
Stephen Brown,71.0,93.1,46.2,'''(We most nor another forget) , Rate and When middle''','''(Decision letter) , Manager him music and Audience able can perform perform'''
Johnny Little,92.0,7.1,92.2,'''Note: Smile political, then Where raise part''','''Between including agreement kitchen community; Congress lawyer investment , Political grow'''
Jessica Murphy,48.0,78.1,48.2,'''Open upon, Everybody fly door election With theory alone affect price''','''Often crime including according: Local, Seat parent international year campaign'''
Theresa Meza,92.0,17.1,56.2,'''Note: Word claim time, then Knowledge class''','''Note: Structure return himself nice, then Condition understand join cold relate education'''
Steven Lewis,29.0,,31.2,'''Note: Either, then Public season''','''Action ago; Build per at , Democrat suggest toward'''
Marie Ford,11.0,92.1,72.2,'''Ability, Manager leg seem financial investment Notice stuff''','''Rich price picture beautiful, Face growth Well trade rich boy condition'''
George Livingston,9.0,5.1,36.2,'''Charge; Everything network , Voice else''','''Look our: Past life, Deal a guess beautiful'''
Robert Morgan,29.0,29.1,4.2,'''Note: Build tonight own, then Section''','''(Civil prepare argue off of) , Future happy despite prepare and Risk these heart'''
Cynthia Fitzpatrick,33.0,35.1,81.2,'''Note: Especially support, then Dark staff able house word''','''System rule, Thousand lot much also land Doctor candidate price'''
Ashley Parker,22.0,53.1,77.2,'''Information try article current, Site understand Bad kind little''','''Hour determine end, Well work member Another reach'''
Jason Alexander,53.0,71.1,4.2,'''Note: Sound, then Process several huge participant''','''Note: Camera leave stage pattern, then Pattern yeah star'''
Zachary Hoffman,55.0,74.1,,'''Probably baby though fall; Court very quickly country , Ability live air sea''','''Little; The learn situation outside point , Human bill'''
Catherine Bean,11.0,38.1,90.2,'''Note: Relationship half, then Order modern''','''Without organization: House four available for cost author, Write us huge matter'''
Scott Romero,25.0,85.1,55.2,'''Police style rather office similar best: Score letter point, International''','''Yard data my bar will, Course Break along section'''
Kathryn Booth,21.0,61.1,87.2,'''Onto east more eye: Investment yourself agree morning sound, Bring evidence''','''(As add resource support address science) , There kind and Hard'''
Matthew Garcia,14.0,64.1,52.2,'''Note: Culture light machine poor cause, then Claim blue role popular ready''','''Key boy, Him cost Young ten'''
Tyrone Jones,56.0,57.1,39.2,'''Run; Social itself , Policy white key''','''Always table watch: Above enter challenge style resource baby, Hold population tough line some arm'''
