# This is a comment line to skip
name;price;rating;age;note;description
Stephanie Carter;66.0;30.1;27.2;"""(General hotel interesting) ; Instead three base history and Decade sing fight church""";"""Charge strong this; Generation term Those"""
Rhonda Owens;31.0;30.1;59.2;"""(Run feel take what college notice) ; Three myself anything place and Key""";"""Only professor: Poor take this; Specific establish hear first pressure character"""
Tracy Hernandez;70.0;80.1;75.2;"""(Chair fact) ; Six break article town and Discover soon design fly""";"""According present: This such media; Pm accept man"""
Erica Murphy;58.0;72.1;24.2;"""Note above arm result federal; Break crime General begin writer example both""";"""Size thought; Over since establish ; Get"""
James Ryan;9.0;45.1;33.2;"""Happy radio from; Moment someone ; Bar memory""";"""Rock full answer: Significant sense street wrong history; Responsibility page"""
Amanda Robinson;77.0;49.1;49.2;"""Training apply; Civil human military senior product exist ; Another prove century""";"""Table remain; Represent Statement help along"""
John Hayes;69.0;52.1;13.2;"""Edge candidate add; Article well foreign ; Let""";"""Stop six; Explain culture late among ; Occur politics"""
Barbara Montes;97.0;88.1;8.2;"""Beyond seek trouble billion series exist; Suddenly score learn pretty ; Law service argue""";"""Note: Identify present; then True"""
Dr. James Bennett;28.0;35.1;18.2;"""Republican manager: My behavior though strong live so although; Car cold run""";"""Note: Carry edge; then Born require attention"""
e;68.0;85.1;30.2;"""Water; Democratic later see adult Idea book property trial""";"""(Him) ; Director almost and Never mean market question growth senior"""
Clinton Ashley;43.0;98.1;21.2;"""Why involve: Experience make; Page""";"""Behind education hope; Month ; By position type stand"""
Christopher Barker;23.0;16.1;67.2;"""Town enjoy less; Soldier quickly parent ; Become""";"""Although spring; Even include ; Happy customer once knowledge blue"""
Jennifer Jacobs;19.0;20.1;99.2;"""Then its; Minute range mention from ; Consider test""";"""Again include remain; Bring history ; But"""
Charlotte Calhoun;59.0;72.1;65.2;"""Technology detail respond; Rest clear degree policy Focus rise late song medical""";"""Try: Anyone factor both pressure light; Its of himself cell teacher agent"""
Juan Skinner;60.0;29.1;83.2;"""(Chance) ; Century could course trade true wonder and Change""";"""Success: My Mr; Customer city spend"""
Matthew Graham;62.0;48.1;31.2;"""Possible side skill rate; Camera trouble Prevent international car behavior""";"""Know whatever; Run work ; Story song choice up bed"""
Dana Daugherty;40.0;15.1;33.2;"""Show opportunity security up: Blood prove catch different build shoulder; Better continue ready""";"""Truth about only: Goal us apply; Gun"""
Sara Jones;71.0;54.1;41.2;"""(Deal remain) ; He good firm ahead and Hold why partner probably north""";"""Information class five opportunity generation; Wonder be instead their marriage Attention ability sense blood also moment"""
Thomas Haynes;42.0;85.1;3.2;"""Increase enter; Large security eat against Detail""";"""Note: Knowledge hold radio; then Seven at area"""
Paul Odonnell;64.0;62.1;69.2;"""(Coach you wife) ; Thing movement and Probably hair author""";"""Note: Enjoy interesting through news behind; then Game"""
Robert Walsh;24.0;;65.2;"""Likely operation: Miss teach goal hand both gun; Serious suggest""";"""Magazine debate top small: Particularly; Partner set wide start"""
Kathleen Merritt;11.0;41.1;63.2;"""Buy group religious bed; Most watch friend Fund newspaper parent in""";"""(Between sing size determine human discuss) ; Coach hot and Enjoy although machine bit upon"""
Susan Hall;12.0;5.1;17.2;"""(Good stay personal) ; Line and Cold peace reason happen money spend""";"""Note: Pass that check receive street above; then Learn order nature continue"""
Stephanie Woods;60.0;81.1;54.2;"""Effect send wall goal record; Choose back study ; Just grow never sit with this""";"""Your writer service from; The really today Pm thought group"""
Kathy Brown;36.0;56.1;27.2;"""(Everyone head per democratic) ; Understand those and Hospital plant sometimes""";"""Eight risk operation: Prove; Suffer view"""
Nicholas Sanford;32.0;26.1;24.2;"""Treat: Lay everybody growth; Reach hour""";"""Real once behavior sell season world; Young One others or"""
Jose Lee;93.0;81.1;8.2;"""Class would according piece fast every: Child over mention reach but; Mother""";"""Start test exist when onto; Foreign order certainly Edge"""
Angela White;56.0;19.1;;"""Sister go interesting benefit throw; Result generation remain Himself myself""";"""Trade try; Represent likely baby Affect"""
Daniel Taylor;42.0;10.1;54.2;"""(Something garden bring) ; Six put and Goal heavy necessary give""";"""(Happy threat available action opportunity) ; Theory rest occur note perhaps and Behavior create leg"""
Tony Wright;37.0;37.1;22.2;"""Produce boy soon true politics experience; Probably space ; Mission""";"""Democrat rather; Begin know ; Most candidate water"""
Cody Barnes;38.0;87.1;53.2;"""Space section wife him able; Throughout ; Management hair""";"""(Learn must artist) ; Form positive and National easy defense"""
Shannon Merritt;60.0;70.1;2.2;"""When determine interview: Degree source scientist yeah; Financial me""";"""Note: Human news doctor collection; then Provide east"""
Tim Myers;46.0;10.1;37.2;"""Physical course worry watch person risk; Certainly guy ; Although already speak gas""";"""Feeling tonight over; Read should administration figure ; Safe"""
Ashley Lucas;34.0;82.1;90.2;"""(Go hospital quite item officer social) ; Decade around together note reflect behavior and Sound seem under""";"""Benefit; The establish next some difference ; Shoulder"""
Patricia Rojas;;90.1;4.2;"""(Start difference drop) ; Thought majority and Development front focus understand occur""";"""Note: Shake; then Decide reveal activity"""
Mary Crawford;65.0;91.1;18.2;"""Note: What check network; then Always among usually""";"""Several themselves lead development ground bit; Here ; Walk middle turn watch recent"""
Makayla Harris;94.0;95.1;58.2;"""Cause close: Step who media pattern cause; Or event everyone enter shoulder""";"""Stage school; Early side ; Live once stand"""
Miguel Hudson;68.0;3.1;47.2;"""How wrong; Main information play business Daughter customer five""";"""(Two modern) ; Road appear end everything catch and Couple success much investment role new history"""
Michael Smith;64.0;58.1;71.2;"""(Subject) ; Control picture then administration crime and Heavy""";"""Hear evidence; Set but policy window instead Call old management"""
