# This is a comment line to skip
name	username	age	total_count	price	remark	message
Troy Russo	troy_russo_9868	55.0	63.1	86.2	'''(Cost per our impact) 	 Thank though ball and Oil radio act you'''	'''Owner without claim	 Word Animal base range nearly purpose'''
Terri Gray	terri_gray_6076	33.0		46.2	'''(Piece main pass nothing tend) 	 Hard day and Create'''	'''Evidence hot but	 Place world property sport seek after Third subject'''
Kenneth Nunez	kenneth_nunez_4114	21.0	15.1	15.2	'''Allow; Air happen raise 	 Dark meet behavior'''	'''(Until born) 	 But blue that fund recent there and Central return discussion structure two'''
Michael Garcia	michael_garcia_2890	23.0	5.1	45.2	'''(Call about movement hot) 	 Career management action and Democratic stop'''	'''Somebody try as	 Way blood role Firm from'''
 	ryan_sheppard_1031	51.0	72.1	35.2	'''(Position job term) 	 Yet operation either force major and Modern respond form'''	'''Great value hour follow miss	 Capital daughter into These leave campaign effort station'''
David Warner	david_warner_4702	8.0	77.1	87.2	'''Note: Clear into	 then Seek rate will quickly popular'''	'''Note: Word	 then Ago'''
David Walters	david_walters_7695	13.0	4.1	46.2	'''Game sport gun; Determine prepare despite rich under 	 Rise girl something record everything'''	'''(Environment local option) 	 Ask day whole and Card discussion sure'''
James Johnson	james_johnson_7882	71.0	49.1	86.2	'''Real determine possible; Anyone water protect cause 	 Vote return'''	'''As light billion; Little eight yes economy 	 Stage'''
Scott Lowery	scott_lowery_0165	29.0	69.1	77.2	'''Among positive	 Cover Treat'''	'''Note: Right	 then Spring morning'''
Lisa Fields	lisa_fields_1353	10.0	78.1	48.2	'''Note: Fine future	 then Probably cell view'''	'''Himself organization reality	 True become voice knowledge defense month Nice soldier music draw'''
Victoria Rosales	victoria_rosales_1771	90.0	40.1	11.2	'''System; Choice region establish across 	 Show chance'''	'''Note: Others	 then Despite control similar'''
Justin Smith	justin_smith_3301	62.0	82.1	36.2	'''Red hit cut issue through: How	 Compare boy Democrat'''	'''True miss: Here cultural about parent over court	 Individual total'''
Michelle Nguyen	michelle_nguyen_7340		24.1	14.2	'''(Which history no seek) 	 Simple and Over'''	'''Congress society become southern	 Value ago wind Deal goal remember language security cold'''
Ashley Mills	ashley_mills_4428	55.0	35.1	22.2	'''Manager ahead appear memory; Born its political 	 Quality make ever green must such'''	'''Its; Most professional 	 Single'''
Kevin Chavez	kevin_chavez_9699	28.0	44.1	59.2	'''Note: View baby charge hair	 then Mean above people red certainly'''	'''Use campaign	 Power Activity appear article watch'''
Julia Smith	julia_smith_8761	38.0	81.1	10.2	'''Serve feel image; Out involve 	 Treatment start prepare discuss'''	'''Ok think prepare: Enjoy recently goal hour	 Eat'''
Katie Mayo DVM	katie_dvm_0681	53.0	93.1	25.2	'''Analysis month believe citizen thousand; Amount goal standard beyond 	 Produce thousand'''	'''Note: Along doctor wait their	 then Long player take woman first firm'''
Chelsea Craig	chelsea_craig_4078	39.0	48.1	79.2	'''Phone; Here reality 	 Low rise at'''	'''Decide generation until friend; Month language 	 Film talk Congress gas board five'''
Marvin Anderson	marvin_anderson_5980	72.0	35.1	51.2	'''Note: Early plan book	 then Offer establish response'''	'''Thousand respond on; Prepare interest 	 Might new simple little down'''
Justin Wood	justin_wood_5925	6.0	48.1	8.2	'''Note: Far recent end	 then Since improve'''	'''(Forget be more will window) 	 Think talk six and Physical though'''
Francisco Brewer	francisco_brewer_4110	79.0	23.1		'''Likely cultural: Weight professional	 Sound middle news run'''	'''Note: Outside run how next cell specific	 then Impact direction after pay'''
John Cole	john_cole_1419	87.0	79.1	63.2	'''Instead central soon receive catch ever: Week house read	 Official address'''	'''Wife those; Example song to rich also 	 Believe'''
Sydney Mann	sydney_mann_9092	30.0	19.1	17.2	'''Sport total world education none	 Service total move various fly front Behavior'''	'''This couple	 Just catch people audience Whole feeling'''
