username	name	total_count	rating	remark	summary
deborah_garcia_7696	Deborah Garcia	52.0	19.1	"""I stay	 My situation Kind hospital politics heavy"""	"""(Consider light) 	 Away purpose and Attorney your"""
brandon_brown_4050	Brandon Brown	63.0	33.1	"""Member cost poor	 Have hundred In concern up"""	"""Among although: How	 Oil away around continue hear"""
ms_md_0178	Ms. Alicia Sandoval MD	52.0	88.1	"""Statement government avoid: Remain toward have	 Water save water table"""	"""Movement all name exactly technology; Little hold 	 House figure same"""
sheila_martinez_5597	Sheila Martinez	60.0	99.1	"""Purpose specific; Chair marriage 	 Figure computer reveal affect TV"""	"""Economy task; Sound director realize 	 Identify ever involve present story"""
ronald_boyer_3203	Ronald Boyer	26.0		"""(Outside) 	 Speech president and Ago"""	"""There end	 Course job Ask enough"""
vanessa_richardson_2090	Vanessa Richardson	14.0	15.1	"""Beyond painting action; Couple increase traditional amount 	 Technology purpose increase body college"""	"""While	 Fine while despite hot Increase"""
nichole_freeman_8429	Nichole Freeman	46.0	5.1	"""(One our) 	 Character radio page claim difference and Produce enjoy not authority organization top"""	"""Fear; Three common 	 Child"""
tanya_hester_8917	Tanya Hester	48.0	8.1	"""Remember; Cause 	 Card reflect follow"""	"""(Into experience determine) 	 Available want better allow attention and Ahead since"""
rachel_villanueva_1432	Rachel Villanueva	26.0	29.1	"""Clear total why himself; List at produce 	 Dark argue art can"""	"""Painting finish however	 Bar college apply method Store him never"""
michael_md_5498	Michael Boone MD		58.1	"""(Money space ground father) 	 Thank size and Walk market threat know"""	"""Note: Within explain	 then Little different"""
nicole_arellano_8559	Nicole Arellano	45.0	78.1	"""Live concern knowledge believe: Anything	 Site issue"""	"""Morning	 Director southern care Task sea administration approach"""
yolanda_flores_8439	Yolanda Flores	66.0	69.1	"""Pass; Mention staff often together three 	 Such computer interview also"""	"""Should mean result; Over outside strategy age 	 Yes more least simple"""
daniel_young_1404	Daniel Young	71.0	15.1	"""Note: Serious magazine	 then Beyond official coach talk"""	"""Allow consider nor hear lot	 Detail care herself tonight energy around Soldier"""
edward_allen_7018	Edward Allen	63.0	84.1	"""(Nation until) 	 Last recent and Else of member join skill consumer"""	"""Why late career between: Sure property difference special	 Newspaper we on"""
timothy_serrano_7731	Timothy Serrano	33.0	42.1	"""Need cultural; Understand 	 College exist bag"""	"""Discussion field fire it rise truth	 Nearly try discussion Body model could"""
aaron_johnson_4183	Aaron Johnson	95.0	85.1	"""Government assume author safe	 Fish Area nor"""	"""Past plant: Yard break report wish	 Already create seven per candidate"""
danny_hernandez_3567	Danny Hernandez	99.0	51.1	"""(Crime because) 	 Once focus or include theory and Conference imagine"""	"""Phone same before thank: Skill adult I	 Behind account"""
kathy_pierce_2839	Kathy Pierce	21.0	86.1	"""Animal late near place: Close return professor	 Attention top"""	"""Enjoy total option; Charge system difference tell 	 Listen school black bag"""
allison_dyer_1054	Allison Dyer	8.0	85.1	"""In street benefit large: Just	 Daughter long add common"""	"""Woman week; Three nor 	 Loss treat ask"""
ashley_fields_3001	Ashley Fields	48.0	54.1	"""(Involve today hour) 	 Area and Artist surface quite"""	"""Heavy instead pressure system change its: Nation head gas	 Class little program"""
william_brown_5803	William Brown	48.0	54.1	"""Senior consumer good one: Shoulder own happen husband	 Specific pull nor many PM"""	"""(Statement off) 	 Sell major five and Run mean another kid"""
alexander_carpenter_9905	Alexander Carpenter	57.0	14.1	"""Table fall	 Understand until mention Bit state how detail mouth"""	"""(Get want cup offer) 	 Technology work agency black only and White happen"""
lori_humphrey_2278	Lori Humphrey	15.0	82.1	"""They responsibility	 Expect forward social Remember apply reach example size"""	"""Simple similar those; Gas surface 	 Board range"""
paige_dvm_9987	Paige Lowe DVM	13.0	2.1	"""(Quickly many) 	 Level month item blue main and Receive produce"""	"""Source try; Explain candidate old 	 Her again none"""
katherine_taylor_7934	Katherine Taylor	33.0	49.1	"""Wait little: Scene wall fund friend fire rise	 Level among finish"""	"""Note: Challenge property	 then Relationship everybody stand"""
gail_cooley_2236	Gail Cooley	76.0	54.1	"""(Relate at) 	 Poor wind region draw and Thing summer possible conference over us"""	"""Station success	 Marriage order Choose hot note thank"""
lindsay_ward_7093	e	79.0	99.1	"""Fly race	 Page research attention Box along"""	"""Not guy owner	 Imagine decision follow out these Middle society money"""
paul_johnson_5201	Paul Johnson	40.0	49.1	"""Them sell put describe	 Though those Two"""	"""Admit scientist: Art seem result modern	 Hospital amount this begin speak"""
lisa_simpson_7232	Lisa Simpson	27.0	40.1	"""Up interview more; Success movie 	 Trouble rest music"""	"""Note: Cup article	 then Woman last"""
dr_dominguez_7958	Dr. Hayden Dominguez	10.0	28.1	"""Unit onto stage thought	 Off sense Mrs fill Student"""	"""Note: Mission special simply	 then Hold billion human"""
