# This is a comment line to skip
name	username	rating	age	total_count	remark	description
David Mendoza	david_mendoza_5238	1.0	94.1	56.2	"""Ahead	 Trip seven young pretty behavior Security former baby"""	"""(Suddenly record again) 	 Medical write and Inside style"""
Stephanie Stewart	stephanie_stewart_7928	74.0	48.1	48.2	"""Suffer gas recent general: Difference bad	 Notice"""	"""(No several west certainly executive) 	 Modern nation respond and Candidate they tend floor"""
Michael Mills	michael_mills_5000	46.0	96.1	52.2	"""Beyond beat side simple positive trial	 Card site hotel reflect tonight Population establish we"""	"""Figure system enough: Still wait section between	 Former"""
Joshua Fox	joshua_fox_9584	97.0	27.1	91.2	"""(Television) 	 Future me national song involve and Movie"""	"""Visit	 New machine ability necessary second bed Nature start sell black"""
Crystal Morrison	crystal_morrison_1684	2.0	76.1	3.2	"""Suffer operation: Window impact	 Republican audience various central"""	"""Line energy our: Age forward control	 Return management"""
Brian Wood	brian_wood_5498	33.0	77.1		"""Total heavy: Million	 After federal necessary"""	"""(Work article treatment street) 	 Program change cell probably whole community and Audience theory democratic night"""
Stephanie Johnston	stephanie_johnston_2243	17.0	11.1	58.2	"""Free which: Several	 Ask since since opportunity main father"""	"""Note: Particular	 then Method animal box magazine"""
Jacob Myers	jacob_myers_0841		60.1	44.2	"""True ten able why; Place break growth 	 Affect"""	"""Note: Know story catch president avoid work	 then Act item"""
Marcus Pearson	marcus_pearson_7995	43.0	16.1	76.2	"""Community professor worry popular color benefit probably: Expect available	 Or leader its piece"""	"""(Process) 	 Game assume fire country and Alone offer year avoid lay"""
John Graham	john_graham_2651	61.0	98.1	50.2	"""Ability break; Here piece 	 Tell necessary"""	"""Maybe bank	 Say Peace ground"""
James Roberson	james_roberson_2195	37.0	86.1	24.2	"""Much: Right watch	 Coach in stop cultural"""	"""Note: Commercial	 then Feel recent Democrat same group"""
Rebecca Austin	rebecca_austin_1185	98.0	85.1	57.2	"""Morning American kitchen soldier easy; Condition 	 Suggest save animal international open"""	"""Performance; Land feeling even over although dream deep 	 Art give"""
Kimberly Adams	kimberly_adams_8910	69.0	15.1	57.2	"""Suddenly: City will ahead wife	 Really could Democrat character"""	"""Through onto develop: Difference their hot	 Evening course"""
Kaitlyn Hodge	kaitlyn_hodge_6764	48.0	94.1	50.2	"""Note: Four race resource wife	 then Exist practice"""	"""My radio dream; General system should 	 Defense"""
Robert Taylor	robert_taylor_6626	67.0	2.1	100.2	"""Close necessary: Determine break letter consider among	 New but"""	"""Paper budget senior still	 Loss she ever Everybody"""
Bonnie Suarez	bonnie_suarez_5867	69.0	40.1	62.2	"""(World same size challenge) 	 East else and Friend"""	"""Worry attention radio: Analysis	 Into"""
Justin White	justin_white_3243	16.0		86.2	"""Computer staff: Out mouth appear	 Everyone"""	"""About: Somebody yourself strong memory such	 The factor painting"""
Kendra Austin	kendra_austin_7655	8.0	71.1	18.2	"""Under: Page at oil	 Front"""	"""Who best: Move executive these	 Open"""
Allison Reynolds	allison_reynolds_4526	49.0	26.1	32.2	"""Score task	 Evening letter image Unit structure pay feel"""	"""(Son information) 	 Coach quality especially skin discussion and Generation international"""
Brittany Harmon	brittany_harmon_2231	100.0	13.1	14.2	"""Note: Just truth card pick what	 then Fund design after people"""	"""Note: If	 then Speech run never"""
