# This is a comment line to skip
username	total_count	comment
mrs_martinez_9654	68.0	"""(Hot than avoid) 	 View avoid sell and Relate choice"""
amy_dawson_4551	15.0	"""Since; Yeah door next price strategy girl 	 Appear girl service"""
summer_robles_0036	48.0	"""Provide read finish; Whole economy 	 Institution recent life"""
lauren_lee_6874	83.0	"""Body true class maybe because; Or child station move training mean 	 Let cost"""
paul_hernandez_8076	46.0	"""(Week) 	 Simply learn and Purpose appear tax work boy check"""
ryan_bradley_1044	71.0	"""View same	 Live college Wall speech production sea"""
stephanie_douglas_8496	79.0	"""Church: Cup value	 Adult per yard"""
paul_hardin_9541	70.0	"""Hour land resource	 Kind expect avoid Impact common imagine fall"""
carolyn_kaufman_7418	73.0	"""Usually	 Agree customer culture physical institution Share"""
bryan_williams_5595	72.0	"""Note: Challenge writer	 then Behind throughout"""
nicholas_nichols_2792	40.0	"""Man politics: News sense person big	 Baby page nothing"""
christopher_jones_7776	51.0	"""This physical day: Us level	 Idea medical"""
ralph_carlson_8301	74.0	"""Close me investment; Could decision 	 Level spring"""
katherine_keller_9554	54.0	"""Note: Simply again science	 then Seven exist"""
lisa_md_7344	13.0	"""Budget though step body: Task organization give final you	 Window common event"""
jerry_dudley_6009	69.0	"""Note: Forward list wish clear have	 then Decade story first"""
justin_little_2385	8.0	"""Note: Game fish entire	 then Actually still step"""
brenda_moore_3401		"""High	 Discussion maintain analysis toward live Mouth what civil"""
james_estes_4704	28.0	"""Few report page trial: Food ok	 Whether"""
jennifer_brown_4077	96.0	"""Popular value	 Seek color boy herself Hand"""
paige_weiss_0320	91.0	"""Note: Floor of bit according	 then No write fine morning trip"""
mark_monroe_5186	66.0	"""Building test month help	 Modern newspaper anyone Find"""
diane_warren_6210	88.0	"""Somebody my; Man among 	 Protect"""
pamela_richardson_9741	8.0	"""Teach necessary: Tonight expert nation never	 Long radio bad"""
dr_wiley_5096	97.0	"""After truth too	 Old push market Choice north well partner fish particular"""
beth_barajas_7398	87.0	"""Successful language	 Eight both environmental Voice want wind"""
daniel_green_6947	75.0	"""(Couple certainly poor over speak) 	 Tv arm down push and Development people they"""
joshua_hurley_6131	99.0	"""(Carry political) 	 Remain hot law why hair and Her worker direction account"""
rebecca_hart_5791	67.0	"""Note: Wear character	 then Fight later I firm"""
marcus_brown_1081	19.0	"""Activity street; Resource generation 	 Rock"""
christopher_morrison_4425	59.0	"""Chance growth: Without manager home station somebody	 Despite room"""
christopher_campbell_7532	46.0	"""Authority positive; Common moment report thus 	 Open ever structure"""
erik_anderson_4875	51.0	"""Way create moment: Able alone	 Guess rock he"""
jamie_caldwell_1108	13.0	"""Note: Notice	 then Student chair kid"""
