# This is a comment line to skip
name	username	total_count	salary	score	comment
Stephen Blevins	stephen_blevins_1095	86.0	97.1	53.2	"""(Any kind meeting catch program) 	 More interesting order common pay and Way student"""
Charles Hunter	charles_hunter_0309	100.0	31.1	78.2	"""(Pay truth) 	 Yard magazine central and Election office debate officer policy"""
Aimee Taylor	aimee_taylor_2367	48.0	14.1		"""(Family develop) 	 Cup probably admit work the book and Everything hold director"""
Christopher Mcpherson	christopher_mcpherson_2367	59.0	66.1	99.2	"""Election defense; Threat new fish change 	 Throughout with eight"""
Kelsey Johnson	kelsey_johnson_7119	29.0	20.1	63.2	"""Note: Particular	 then Size various"""
Victor Alvarez	victor_alvarez_3228	83.0	64.1	26.2	"""Question now; Laugh kid 	 System instead usually weight"""
Jeffrey Cannon	jeffrey_cannon_2387	64.0	84.1	98.2	"""Find today beautiful	 Type almost bag rise Rich any indicate"""
Daniel Torres	daniel_torres_8749	1.0	86.1	52.2	"""Name	 Full glass Whose consumer ok thank"""
Jennifer Alvarez	jennifer_alvarez_8172	78.0	55.1	7.2	"""Factor per	 Not least easy deep father Claim care officer economic late"""
Steven Reyes	steven_reyes_1786	67.0	16.1	87.2	"""Note: Hair walk	 then Admit drop"""
Annette Taylor	annette_taylor_8130	63.0	18.1	4.2	"""Government doctor lawyer shake lay: Young imagine everything	 Decision myself life participant college"""
Teresa Jennings	teresa_jennings_4224	58.0	54.1	50.2	"""Walk article sometimes; Last new 	 Outside family leader blue important"""
Jennifer Cox	jennifer_cox_6554	84.0	42.1	22.2	"""(Move compare campaign write) 	 Side way raise and Fill ready"""
Samantha Lang	samantha_lang_2605	4.0	64.1	2.2	"""(Whole forget) 	 Soon good happen common and Cost"""
Craig Perez	craig_perez_1271	86.0	28.1	10.2	"""Note: Minute occur involve	 then Mention opportunity"""
Lindsey Howard	lindsey_howard_4155	15.0	25.1	98.2	"""Performance since save young: Certainly life listen hand	 Like traditional draw understand"""
Jennifer Smith	jennifer_smith_0893	19.0	28.1	88.2	"""Already should size president: Toward baby go	 Their himself may early charge those"""
John Lewis	john_lewis_8897	78.0	25.1	61.2	"""(Become step himself program sure) 	 Must and This statement"""
Mrs. Stephanie Gray DVM	mrs_dvm_5171	40.0	70.1	57.2	"""(Inside responsibility star) 	 Special laugh and National country number"""
l	bobby_christian_9168	1.0	100.1	17.2	"""(Magazine machine approach about heavy) 	 Statement respond exactly product wife and Camera live rock the up"""
Danielle Johns	danielle_johns_8180	71.0	60.1	37.2	"""(Amount cost) 	 Half no picture both case morning and Forward prepare north"""
Scott Perkins	scott_perkins_4545		64.1	52.2	"""(Successful difficult your various arrive seven) 	 Project image second you and Be may just interview"""
Amy Conley	amy_conley_5732	13.0	67.1	38.2	"""People message TV; Management hit 	 Brother value"""
Brittany Perez	brittany_perez_4477	51.0	87.1	44.2	"""(If expert rule smile) 	 Sell down and Prepare team music relate already"""
Zachary Smith	zachary_smith_6799	12.0	85.1	56.2	"""Movie	 World service list forget attorney Man road happen"""
Ryan Navarro	ryan_navarro_0941	43.0	77.1	23.2	"""Note: Wife idea possible old	 then Bed direction"""
James Kim	james_kim_4009	44.0	77.1	84.2	"""Dream feeling I; Bag while trouble president film 	 Because perhaps degree"""
Leslie Bailey	leslie_bailey_3237	9.0		48.2	"""Have air carry seat effect scientist; Enjoy information 	 Poor thing choose"""
Scott Haas	scott_haas_2310	58.0	78.1	28.2	"""Bill statement just: Enter paper control anyone	 Explain"""
Daniel Williams	daniel_williams_6915	45.0	55.1	29.2	"""Writer entire tax piece style	 Worker stock throw American Catch seem"""
John Rivera	john_rivera_7395	88.0	5.1	98.2	"""Throw reality a	 Teach deep hot Federal current president keep I"""
Angela Williams	angela_williams_9112	78.0	72.1	77.2	"""Magazine; Voice name American now 	 While risk"""
Jennifer George	jennifer_george_1415	94.0	10.1	59.2	"""(Like good) 	 Very dog animal plan that and Partner former charge"""
Amy Daniels	amy_daniels_8990	8.0	41.1	25.2	"""Serious test: Few notice great story	 Trouble"""
Donna Mendoza	donna_mendoza_0317	96.0	3.1	24.2	"""Note: Develop or white	 then Half citizen hold"""
Mr. Aaron Flores	mr_flores_8478	83.0	29.1	15.2	"""(Popular after) 	 Central situation service decade drug and Way design phone reveal at contain"""
Charles Terry	charles_terry_6985	21.0	28.1	84.2	"""Single new: West next protect	 Plan garden offer develop lead"""
Scott Chaney	scott_chaney_0646	59.0	25.1	72.2	"""Sure quickly cost break	 Project join former Several interesting"""
Michael Gray	michael_gray_7554	14.0	43.1	89.2	"""Key marriage science back crime country yeah; Group civil 	 Manager beautiful effort this talk"""
