# This is a comment line to skip
username,rating,score,description
tabitha_md_6910,3.0,95.1,"""Clear any, Today arrive Tough feeling provide"""
lisa_harris_6617,17.0,48.1,"""Summer for approach born: Per, Kid family war speech back check"""
samantha_howard_3549,77.0,34.1,"""Discuss arrive speak garden situation nation, Mouth say institution operation Knowledge employee"""
veronica_hicks_5818,88.0,2.1,"""Area, Fast institution station Believe power child"""
katie_jackson_8509,60.0,68.1,"""(West) , Call send and Present"""
teresa_hill_1470,83.0,62.1,"""Single question, Cell drug Quite open"""
sarah_martinez_3698,59.0,83.1,"""Note: Business dog hour set hit, then Fire event begin heart inside surface"""
austin_chan_7947,14.0,32.1,"""Statement; Card career home sound garden sit , Challenge our court sell want threat"""
sarah_nguyen_1500,48.0,3.1,"""Note: Money out great according, then Lay allow"""
carolyn_nolan_9426,86.0,66.1,"""Anyone also: Success skin because, Decision eye north performance money"""
tanya_pope_5245,9.0,96.1,"""Edge throughout performance then: Which, Standard top site important develop"""
brenda_mendoza_7773,65.0,41.1,"""Laugh police every ability; Will must hotel film , Artist actually"""
samantha_elliott_0227,84.0,81.1,"""The doctor: Past range, Agent suggest act"""
jason_byrd_7398,11.0,32.1,"""(Next fear wrong) , Forget treat and Mouth trial"""
andrew_lynn_5696,2.0,2.1,"""Argue know career good; Candidate list , Probably similar instead"""
chelsea_berg_3292,58.0,67.1,"""(Their tonight) , Draw west ahead and Door tonight front"""
joshua_johnson_8158,54.0,82.1,"""Note: Company yet allow continue sit, then Media again theory general"""
brandi_becker_5153,48.0,79.1,"""Present stage house part, Spend outside culture sign among Base"""
brandon_baker_0806,49.0,88.1,"""(Stop finally stop box can politics) , Organization class particularly and Spring technology"""
jennifer_cruz_3880,53.0,5.1,"""Daughter body campaign popular, Take Air federal result analysis"""
jessica_phd_4247,63.0,,"""Authority floor, Mean want rich suddenly Easy quality vote"""
donna_davis_5377,63.0,94.1,"""Note: Tend, then Understand but require"""
lisa_dds_4815,,88.1,"""We treatment: Situation prevent our, Enter decision popular"""
mark_md_1876,88.0,54.1,"""Action run tonight see: Share prevent film billion cultural, Five attorney"""
christine_clements_7510,78.0,44.1,"""Develop: Real commercial, Practice shake with"""
