name,username,total_count,price,comment
Judith Williams,judith_williams_7130,77.0,,"""Tempore deserunt assumenda laboriosam; Dolores alias odio mollitia , Impedit vitae saepe"""
Ellie Jackson,ellie_jackson_2311,23.0,6.1,"""Note: Velit ipsa, then Inventore"""
l,brenda_jones_7966,100.0,5.1,"""Deleniti totam, Quis quis officiis tempora similique dolorum Non deleniti est"""
Hayley Shah,hayley_shah_7268,35.0,7.1,"""Assumenda deserunt aliquid; Illum quos , Odit officia"""
Ruth Reid-Jackson,ruth_jackson_3428,61.0,82.1,"""(Delectus) , Et est distinctio illum and Mollitia natus repellat quod laboriosam qui"""
Ms Alice Blackburn,ms_blackburn_2964,56.0,29.1,"""Numquam ducimus voluptatem: Tempore ipsum saepe alias, Unde eligendi doloribus harum"""
Dr Brian Dawson,dr_dawson_1742,77.0,24.1,"""Deleniti eligendi: Modi impedit, Quam architecto exercitationem magni a"""
Conor Hill-Baker,conor_baker_3631,30.0,72.1,"""Eos reiciendis, Labore sapiente Quis eius itaque itaque"""
Dr Mohammad Dobson,dr_dobson_1197,89.0,85.1,"""Quo excepturi saepe, Veniam Dolor"""
Dr Charlie Butler,dr_butler_1043,36.0,76.1,"""(Dolore esse eaque) , Debitis saepe ipsum and Ipsum similique nam"""
Jill Baker,jill_baker_7835,,41.1,"""Note: Sunt pariatur, then Harum deleniti magnam"""
Joel Wright,joel_wright_4635,84.0,84.1,"""Atque sint dolor dignissimos: Quidem voluptas, Nihil magni eligendi officiis ducimus laboriosam"""
Maurice Smith-Dawson,maurice_dawson_0447,34.0,28.1,"""Dolores repellat; Facilis neque maiores alias , Fuga accusamus labore"""
Sara White,sara_white_2831,93.0,22.1,"""Ipsa similique; Nemo illum ad quod nam , Laboriosam laborum quo"""
Kevin Thompson,kevin_thompson_4582,42.0,12.1,"""Note: Asperiores doloremque ipsum omnis debitis, then Voluptatibus fuga"""
Jodie Mitchell,jodie_mitchell_1076,94.0,26.1,"""Nihil porro rerum ea; Sint tenetur occaecati et , Molestias quisquam necessitatibus"""
Josephine Browne,josephine_browne_5788,53.0,67.1,"""Soluta; Corporis , Expedita inventore delectus"""
Leah Parkin,leah_parkin_3481,27.0,84.1,"""(Natus ipsa tempore) , Id magnam voluptatem harum quod and Ipsum aliquam dolor"""
Dr Justin Lawrence,dr_lawrence_6688,76.0,53.1,"""Dolorum natus unde, Temporibus totam amet Exercitationem"""
Dr Molly Smith,dr_smith_6207,40.0,29.1,"""Placeat rem aliquam totam quas aut: Sunt, Reprehenderit fuga esse amet quasi voluptates"""
Aaron Williams,aaron_williams_0566,65.0,57.1,"""Totam asperiores facere tempore nam aliquam, Consequatur Autem ipsa"""
Dr Daniel Walton,dr_walton_0874,81.0,23.1,"""Ea cumque, Ex fuga at optio Nemo in"""
Dr Sian Buckley,dr_buckley_4676,61.0,43.1,"""Error; Omnis eaque , Pariatur fugit"""
Mr Frank Jenkins,mr_jenkins_3756,64.0,6.1,"""(Animi explicabo tempora) , Nemo vel quod neque and Ratione delectus"""
Mitchell Miller,mitchell_miller_4784,1.0,83.1,"""Note: Nemo cum, then Esse ab sunt quibusdam quasi"""
Francesca Yates,francesca_yates_9796,98.0,35.1,"""Molestias veritatis quis suscipit: Velit perspiciatis magnam eius, Saepe assumenda"""
