username,age,rating,salary,description
aaron_francis_5337,3.0,48.1,25.2,'''Until force: Generation order, Range second laugh'''
kim_reynolds_1933,75.0,14.1,78.2,'''Less nothing agreement walk; Evidence left brother , Country environmental create'''
anthony_watson_4297,56.0,94.1,60.2,'''(Pass position consumer middle hard) , Too point property and Third seven establish resource'''
jacqueline_garcia_2973,95.0,18.1,68.2,'''Seem; Cell have sure , Court hour party media term'''
sarah_rubio_9092,32.0,52.1,79.2,'''Successful admit challenge; Show power , But'''
amanda_harris_4956,24.0,97.1,68.2,'''Successful particularly camera everybody; Pay certainly goal statement threat , Degree'''
julie_todd_0588,73.0,85.1,18.2,'''Example better; Property , Somebody watch already'''
linda_lamb_7639,55.0,36.1,77.2,'''Seat challenge of cut natural, Remember upon father Adult special'''
jamie_ford_2592,79.0,37.1,84.2,'''Interview later agency, You recently stand Explain listen'''
christopher_perry_7379,33.0,24.1,97.2,'''Note: Her, then Since close'''
dr_ii_4136,3.0,97.1,86.2,'''Close travel, Federal economy next coach choice Example ground head'''
christopher_hancock_0626,2.0,15.1,20.2,'''(Eat figure) , Country sea practice respond describe and Everybody until bill quality reach experience'''
william_lee_6793,1.0,32.1,61.2,'''(Catch expert prepare) , Number about situation who professional and Other option'''
michele_miller_9882,44.0,88.1,33.2,'''Wonder have and difference, Language really arrive benefit outside Receive leader'''
timothy_johnson_0081,50.0,5.1,,'''Here take little, Ago actually firm natural responsibility Tend provide film range low answer'''
george_fernandez_6359,54.0,95.1,26.2,'''Go society: Beat mean career appear, Position bar dark again'''
jonathan_bennett_3463,33.0,85.1,11.2,'''Item: Possible compare reflect, I style fly'''
beverly_rodriguez_9090,83.0,8.1,92.2,'''Natural: Staff mention I near main someone, Animal nation smile middle organization'''
kevin_ramirez_6971,4.0,83.1,39.2,'''(Usually draw speak nearly marriage) , Some property region and Loss onto seem get floor business'''
natalie_vang_8378,75.0,5.1,26.2,'''Career share word allow, Significant program Raise city'''
olivia_miller_5659,65.0,26.1,43.2,'''(Image lot mean low long feeling) , Mr and American effect'''
derrick_jones_9948,67.0,41.1,29.2,'''Pressure wait act hope; Office who none especially without , Sort view gun smile'''
rebecca_watts_0366,20.0,56.1,35.2,'''Article campaign: Wish peace, Possible'''
tammy_yates_4835,27.0,60.1,40.2,'''Effort activity talk more, Stand Reflect kind surface each class hospital'''
justin_lambert_6082,24.0,2.1,79.2,'''Himself growth: Natural price house structure Congress, Phone writer letter address'''
timothy_baird_7965,28.0,23.1,97.2,'''Two: Decide choose, Raise'''
sheryl_brown_9506,75.0,12.1,60.2,'''Note: Black him though effort often, then Final wonder safe'''
lisa_james_8276,,72.1,72.2,'''Base minute different plant: Security notice east Congress author, Down particular total'''
david_bowers_0631,56.0,51.1,60.2,'''Recently ball kid: Year through say, Effect fear'''
troy_nixon_6995,91.0,,72.2,'''Guy either glass; Very pick game , Executive nothing show able employee building'''
amanda_lane_0357,42.0,20.1,79.2,'''Authority look feel add safe, Reduce of world Beautiful'''
gregory_coleman_8500,22.0,85.1,47.2,'''Foot main before number, Early environment store series lead Training group gas often'''
alejandro_bell_1864,76.0,100.1,41.2,'''Note teacher simple leader: Heavy light large, Conference miss public'''
carlos_gonzalez_9954,38.0,59.1,42.2,'''Talk thousand rise affect, Along despite trip see Control themselves could especially'''
tom_robbins_0669,75.0,96.1,48.2,'''Heart at; Carry , Go environment blood thousand mention medical'''
crystal_gomez_8341,12.0,49.1,98.2,'''Note: Yes practice, then Popular type seven assume'''
