# This is a comment line to skip
username	name	price	age	total_count	note
benjamin_campbell_2348	Benjamin Campbell	88.0	100.1	96.2	'''Imagine; Involve by blue 	 Perhaps arm half realize suggest'''
sheila_jones_6590	Sheila Jones	6.0	76.1		'''(Street democratic perform thousand entire general) 	 Smile common and Vote listen'''
judy_hogan_8698	Judy Hogan	92.0	18.1	64.2	'''Officer state: Determine view fine	 Song audience relate'''
bobby_stafford_3755	Bobby Stafford	85.0	62.1	14.2	'''Surface: Contain book	 Lawyer reflect reduce hair'''
richard_tucker_5468	Richard Tucker	96.0	2.1	86.2	'''Our; Western artist also 	 Drug'''
audrey_hamilton_9282	Audrey Hamilton	96.0	74.1	61.2	'''Note: Indeed seven you team herself	 then End you'''
rhonda_kramer_4071	Rhonda Kramer	18.0	89.1	11.2	'''Note: Security character	 then Professional society race when two'''
melissa_nelson_0052	Melissa Nelson	80.0	37.1	46.2	'''Note: Card general	 then Significant build'''
richard_kaufman_5606	Richard Kaufman	94.0	85.1	99.2	'''Eat: Knowledge would	 You anyone serve agree'''
shawn_woods_6998	Shawn Woods	17.0	41.1	34.2	'''(Drop bill ever blood speech head) 	 Similar affect career particularly great and Term far attack set impact'''
sean_lopez_1920	Sean Lopez	46.0	24.1	75.2	'''(Particularly) 	 Theory today thought floor and Boy card edge around machine'''
david_villa_8677	David Villa		73.1	62.2	'''Part arrive number draw international: Fear deep	 Majority agency'''
scott_brooks_9907	Scott Brooks	8.0	5.1	77.2	'''Could pattern discussion perform what series	 Amount skin hour South see laugh'''
thomas_santos_7321	Thomas Santos	28.0	52.1	66.2	'''Hair far bag try simple	 Agree Challenge carry always'''
jeffrey_ramos_5354	Jeffrey Ramos	12.0	37.1	13.2	'''(Yet address leader serious) 	 Drop my response theory and And hear improve over whether'''
jeffrey_crane_1890	Jeffrey Crane	100.0	9.1	18.2	'''Brother	 Thank focus Condition'''
alexa_blake_2929	Alexa Blake	20.0	33.1	64.2	'''(Garden evening news) 	 Risk involve TV and Whose indicate themselves of window'''
emily_higgins_1346	Emily Higgins	55.0		100.2	'''Note: School enter only	 then Anyone real represent among'''
jason_melendez_6633	Jason Melendez	35.0	38.1	66.2	'''Person here sing; Beyond 	 Player draw news'''
andrew_davis_7100	Andrew Davis	41.0	57.1	95.2	'''Middle surface traditional; Improve indicate realize throughout 	 Business today'''
cassandra_payne_6476	Cassandra Payne	10.0	22.1	41.2	'''Note: Old before	 then Manager firm'''
raven_shaffer_4324	Raven Shaffer	96.0	52.1	96.2	'''My prove; Hard deal 	 Gas type interesting'''
jessica_camacho_7194	Jessica Camacho	61.0	8.1	34.2	'''Note: Throw of	 then Major surface health'''
juan_vargas_2432	Juan Vargas	67.0	88.1	87.2	'''Note: Kid purpose identify	 then Discussion minute under stock effort'''
melissa_watson_6674	Melissa Watson	91.0	89.1	70.2	'''Remain nation establish	 No interview Mention'''
james_smith_6128	James Smith	61.0	32.1	16.2	'''Nation play girl property: Region sea	 Why answer high'''
nicole_peterson_0107	Nicole Peterson	6.0	11.1	22.2	'''North: Actually	 Very board right'''
diana_hale_2665	Diana Hale	37.0	13.1	17.2	'''(Chance over wide class once) 	 Just and Meeting'''
breanna_mcneil_1392	Breanna Mcneil	57.0	84.1	85.2	'''Answer letter before: Reality bit pretty	 Cup moment'''
kathryn_young_4504	Kathryn Young	18.0	68.1	87.2	'''Note: Degree boy	 then Attack such'''
alicia_marshall_4055	Alicia Marshall	37.0	7.1	6.2	'''Television small	 Arm City mention woman'''
james_blevins_1805	James Blevins	51.0	12.1	22.2	'''General choice picture three: Option bar year	 Audience maintain forget east'''
eric_smith_1247	Eric Smith	61.0	93.1	56.2	'''Note: Charge	 then Soldier police candidate edge'''
brent_waller_6398	Brent Waller	14.0	84.1	24.2	'''Analysis fear seek choose; Popular 	 Friend catch reveal'''
courtney_russell_9170	Courtney Russell	57.0	40.1	48.2	'''Note: Number	 then Find east'''
andrea_edwards_9625	Andrea Edwards	99.0	63.1	44.2	'''Note: Various positive day ok right	 then Land population event perhaps'''
mary_ashley_2937	D	84.0	58.1	13.2	'''Organization cover should study college; Carry time traditional 	 High box nearly'''
jack_hansen_2315	Jack Hansen	19.0	71.1	96.2	'''Amount own	 Law treat View where week range trip'''
connie_johns_9772	Connie Johns	16.0	98.1	95.2	'''Great again; Manager growth pressure spend 	 Yard later'''
brandon_schroeder_0317	Brandon Schroeder	85.0	3.1	56.2	'''Approach commercial; Significant voice son life 	 Two'''
danielle_hall_3121	Danielle Hall	23.0	68.1	82.2	'''(You night suddenly decade) 	 Gun government parent glass and West name which weight leader'''
james_evans_4767	James Evans	32.0	3.1	35.2	'''(Face south product) 	 Interest instead and Suddenly'''
melody_md_0339	Melody Holland MD	85.0	47.1	4.2	'''Eight experience pass night: Cover than this	 Ready political stay'''
