# This is a comment line to skip
name	age	total_count	note
Ruth Walker	61.0	75.1	'''Market degree: Buy outside window	 A cold'''
Ryan Fry	58.0	95.1	'''Reduce site agent; Focus current 	 On particular week education'''
Jennifer Nicholson	69.0	26.1	'''Note: Expert social	 then Away amount star security color'''
Holly Johnson	83.0	9.1	'''Shoulder series trial detail: Public mother	 Conference success'''
Miranda Sutton	37.0	66.1	'''Note: Southern this	 then Stock education'''
Steven Thompson	33.0	61.1	'''Room ask: Small read campaign behavior area	 Save difficult surface whom rich'''
Amanda Tran	71.0	99.1	'''Easy	 Computer however upon Alone history'''
George Kelly	84.0	45.1	'''In organization cultural: Soldier	 Commercial'''
Barry Harris	79.0	60.1	'''Note: Feeling artist fish	 then Animal article'''
Lisa Parker MD	65.0	22.1	'''Of book skin together: Prove executive budget program physical coach	 Worry go president'''
Larry Alexander	22.0	57.1	'''High eight: Suggest authority	 Everybody forget tree'''
James Oliver	52.0		'''Note: Future cell though future always	 then Government'''
John Williams	67.0	29.1	'''(Else crime discover) 	 Represent success put thing and Process'''
David Becker		32.1	'''(Choice) 	 Dinner change and Election bit serve'''
Kayla Jacobs	86.0	96.1	'''(Environmental first around) 	 This more and Try bank per need'''
Rachel Vega	100.0	77.1	'''Note: Cell rock	 then Box actually'''
Mrs. Alexandria Yates	50.0	14.1	'''Note: Along campaign film letter program receive	 then Remain'''
Stacey Oconnor	87.0	45.1	'''Walk tend traditional fund	 Before The rise even'''
Anthony Morris DDS	7.0	15.1	'''Growth	 Card event set Piece foot near other let simply'''
Peter Williams	48.0	47.1	'''Man pattern different; Fight 	 Discover'''
Joshua Wolfe	8.0	8.1	'''Hear specific; Myself should history 	 Ground culture arrive can behavior'''
Brenda Kelly	12.0	48.1	'''(Five today toward) 	 Recognize nature image and Another morning spend'''
Lisa Holmes	13.0	82.1	'''Note: Some system rather	 then Spend until movement'''
Matthew Johnson	39.0	92.1	'''(Paper hear poor) 	 Cover wrong movie sometimes cost and Loss'''
Ashley Brooks	72.0	73.1	'''Sure method each foreign: Prepare face evidence who could page	 Think scene data kid'''
Lisa Foster	11.0	77.1	'''Mrs; Spring little store five throughout 	 Single room bad'''
Edwin Burch	90.0	60.1	'''Follow court statement: Law news now list	 Day quality opportunity wonder'''
e	88.0	37.1	'''Whole site; Difference computer product dinner 	 This present right become accept system'''
Ryan Johnston	50.0	58.1	'''Meeting common; Factor policy perform try 	 Any option'''
Zachary Soto	20.0	69.1	'''Note: Them he	 then Physical respond offer'''
Thomas Ward	31.0	51.1	'''Note: During modern year	 then Others language let strategy'''
