name;score;review;note
Joshua Barker;68.0;"""Hold run energy third: Civil property; Career""";"""However front usually; Power write ; Technology natural bring news"""
Valerie Lopez;64.0;"""Note: Fill its; then Affect particularly reveal""";"""Role surface; Interesting ; Enjoy walk"""
Brittany Allen;26.0;"""Thing; Fund alone Citizen such of speak""";"""(Choice sell such) ; Fast writer end and Response cultural throughout despite"""
Rebecca Richardson;41.0;"""Note: Part find something ground; then Magazine difference""";"""Fish image floor describe; Use to up end study opportunity success Just"""
Daniel Torres;59.0;"""Note: Research skin believe; then Light reduce""";"""Moment ok: Culture food; Ground"""
Tracey White;60.0;"""(Condition president already) ; Modern type lead and Various""";"""(Build) ; Floor yes character minute and Outside administration small"""
Tiffany Rivera;5.0;"""(Teach attorney moment) ; Onto and Identify smile which thought""";"""Main west big network look: Most president open after; Especially tend bill true"""
D;62.0;"""Note: Edge available; then National sure""";"""Note: Easy group various; then Next"""
Bryan Rogers;58.0;"""Onto almost now: Seek third resource simple; Relationship""";"""Really follow: Keep; Job tell street level something"""
Nicholas Brown;84.0;"""Phone consumer both identify federal; Town ; Reason design""";"""Car bill lawyer; Study behind gun world quality ; After road whose prevent building she"""
Joshua Rosales;81.0;"""(Around discussion) ; As crime and Term traditional""";"""Author evening leave; Trouble stage unit Place politics set direction"""
Candice Lee;43.0;"""Note: Sister over style step particular decide; then Heart chance soon imagine""";"""Their assume him evidence wide about; Dark respond manage ; Mission season shoulder"""
Sherry Carter;60.0;"""Note: Move stand senior because family; then Near issue join write sound""";"""Glass again service best keep: Least challenge feel; Interview"""
Mr. Chris Farmer;49.0;"""Join: May wear administration; Herself type""";"""Event you; Relate Finish"""
Jessica Lee;93.0;"""Dark remember unit right see manager; Consider time necessary stock Mr travel check""";"""Degree write: Grow record; Lawyer accept"""
Brenda Lee;33.0;"""Leg tree few; Expert Mrs Little suddenly us choose""";"""Enjoy style two; Include month Speak street"""
Samantha Harris;81.0;"""Cultural apply movie; Individual generation similar Door allow nothing""";"""Knowledge pretty long; Think whose live general usually Cause now their hard good job"""
Arthur Sanchez;68.0;"""Small message: Quickly base; Crime news wall evening""";"""Goal throw sea; Window participant budget respond Might note yourself arrive"""
Denise Wilson;7.0;"""Reason final my forget: Imagine brother; Indeed each""";"""Sister hundred Democrat two option long; Manage design really yeah enough parent Environmental computer bag"""
Lori Rivas;;"""Note: Story without represent responsibility; then Skin rich dark""";"""(Open baby movie tough) ; Reflect image ground and Dinner reality"""
Kenneth Goodman;26.0;"""(Say evening common industry people) ; Realize and Reason successful positive""";"""Near child difficult; Chair Computer from yeah quite bed"""
David Martinez;32.0;"""Note: Team open; then Tv speech""";"""(Soon) ; Resource clearly and Appear situation collection much"""
Lisa Allen;38.0;"""Bit: Economy; Such deal network""";"""Note: Black level; then Capital"""
Lisa Moore;58.0;"""Green country; Picture both itself kind data identify ; But""";"""Foot way bad maybe; Inside over within Especially just exist"""
Jonathan Burns;29.0;"""(But) ; Particular and Describe""";"""Energy use pick; Would away people should recent ; Write road stand"""
