username;name;salary;total_count;summary;review
victor_campbell_1625;Victor Baker-Campbell;57.0;6.1;"""Voluptatibus; Minima error mollitia fuga tempora sunt Distinctio voluptatem""";"""Commodi harum repudiandae; Facere ; Illum excepturi labore sapiente"""
carl_smith_9420;Carl Smith;35.0;48.1;"""Note: Quae rerum; then Tempora veniam vitae sed est ratione""";"""(Illum nisi doloremque) ; Quibusdam voluptate adipisci and Error atque veritatis autem reiciendis"""
mr_kaur_7996;Mr Louis Kaur;8.0;43.1;"""Accusantium dolores quam: Eveniet aliquam; Necessitatibus voluptas corporis dicta""";"""Quos id ab optio; Vel molestiae ; Exercitationem fugit odio"""
susan_morrison_9971;Susan Morrison;20.0;5.1;"""(Commodi porro eligendi) ; Ullam and Architecto culpa""";"""Note: Fugit tenetur amet quae alias; then Laborum natus"""
caroline_long_7018;A;1.0;48.1;"""(Aliquid provident voluptates) ; Dolorem soluta and Quam libero impedit""";"""Laudantium fugiat velit possimus accusamus: Aliquid; Blanditiis qui at quae autem"""
stephen_howell_2169;Stephen Howell;54.0;34.1;"""Amet error et occaecati; Impedit ipsam odit ; Mollitia velit""";"""(Quibusdam) ; Voluptate minus and Quas molestiae fugiat"""
joanna_perry_7675;Joanna Taylor-Perry;94.0;6.1;"""Molestias nesciunt debitis: Perferendis soluta; Ducimus accusantium nam harum iusto""";"""Note: Tenetur eius; then Ex molestias autem"""
leanne_neill_3009;Leanne O'Neill;8.0;79.1;"""Aliquid autem sunt beatae provident maxime; Voluptate ; Incidunt""";"""Note: Similique; then Quia fugiat"""
bruce_mcdonald_4155;Bruce McDonald;100.0;4.1;"""Labore fugit placeat minima; Nam inventore eveniet ipsum ; Maiores veritatis""";"""(Voluptatibus quod odio) ; Voluptatum and Repellendus doloremque fugiat"""
mr_simpson_6888;Mr Philip Simpson;65.0;61.1;"""Quidem eius enim: Officia delectus quae ipsam mollitia; Quas sed maiores""";"""Architecto autem: Aspernatur animi animi error nam minima; Quis quaerat repellendus ipsam libero"""
miss_perry_2446;Miss Alexandra Perry;14.0;26.1;"""Sequi nostrum autem; Voluptates ; Voluptate""";"""Quam tempore itaque in: Sapiente; Ad exercitationem corporis vero quos"""
jill_dawson_8733;Jill Dawson;69.0;41.1;"""(Autem) ; Commodi enim beatae enim and Dicta ex quo minus""";"""Delectus earum non: Ratione voluptatibus quas repellendus libero dolore; Est voluptate"""
andrea_cameron_2836;Andrea Smith-Cameron;7.0;93.1;"""(Fuga dolores) ; Deleniti rem quis reprehenderit and Recusandae sunt at""";"""(Totam repudiandae inventore eaque) ; Dolore occaecati and Aliquid molestiae tenetur"""
clive_bibi_3922;Clive Bibi;;85.1;"""Eligendi quisquam vel est deleniti error; Odio odio tempora Error iusto velit""";"""Itaque itaque accusantium itaque; Corporis Architecto molestias"""
ms_wilkins_5851;Ms Alison Wilkins;37.0;;"""Placeat quasi; Quia unde ; Porro ex""";"""(Laudantium) ; Reiciendis and Cupiditate quod perspiciatis"""
kim_williams_4251;Kim Williams;72.0;100.1;"""(Aperiam harum ipsam ullam) ; Vel illum and Tempore""";"""Note: Quod sunt blanditiis blanditiis necessitatibus animi; then Optio"""
jay_joyce_3596;Jay Cook-Joyce;10.0;21.1;"""(Eligendi ea accusamus aut) ; Perferendis quam officia doloribus sunt saepe and Recusandae""";"""Illo; Consectetur ; Occaecati a et"""
edward_ahmed_1809;Edward Ahmed;86.0;21.1;"""Aliquid alias nulla distinctio porro dolorem; Doloremque harum eum ; Voluptas laboriosam""";"""Placeat provident quibusdam; Occaecati esse mollitia aliquam necessitatibus temporibus Nesciunt incidunt earum"""
joan_goodwin_6986;Joan Goodwin;50.0;94.1;"""Note: Sapiente debitis consequuntur; then In quod""";"""Pariatur; Assumenda voluptate ; Veniam facere neque voluptatum recusandae assumenda"""
dr_brown_1176;Dr Ashley Brown;35.0;55.1;"""Laudantium quo; Sit pariatur tempora Perferendis""";"""(Veritatis cupiditate) ; Perspiciatis quod explicabo non and Necessitatibus possimus"""
marcus_knight_9177;Marcus Knight;68.0;53.1;"""Note: Facilis est; then Minus""";"""Sint velit tempore; Temporibus officiis Placeat eum esse non"""
jacqueline_pearce_4649;Jacqueline Pearce;26.0;63.1;"""Saepe quasi; Dolore et Fugit nulla maxime""";"""(Vitae enim sequi illo facere perspiciatis) ; Consequuntur possimus and Labore"""
