# This is a comment line to skip
username;rating;score;remark
kenneth_white_9822;;50.1;"""Well it teach future common sign; On my store activity baby poor ; Black treat education can"""
sherry_howard_7770;55.0;91.1;"""(Mission law) ; Time writer near and Huge"""
kathryn_wolf_4694;47.0;77.1;"""Ago; Responsibility base room north Lot idea look sister finish chance"""
charlene_rogers_4756;86.0;14.1;"""Note: Each; then Rule article wear space strategy wind"""
sara_anderson_9034;25.0;53.1;"""Practice type cover: Last arm; Mr budget car quickly father"""
susan_meyers_9144;77.0;;"""Note: Often leg TV; then Citizen popular"""
sydney_perez_9644;83.0;59.1;"""Note: Necessary media available serve realize; then Continue audience particularly hour sell study"""
paula_kennedy_3858;91.0;36.1;"""Understand; Author organization determine old out Pass professor together book girl"""
anthony_delgado_4235;35.0;58.1;"""Discover push; Black sing seven Moment"""
ashley_cook_9880;33.0;96.1;"""Technology environmental probably; Individual ; Up ok day so show"""
brenda_miller_7950;35.0;99.1;"""Note: Wall; then As nearly drug ability"""
mark_fuentes_1292;60.0;33.1;"""Half poor: News song seek; Worry lose start not"""
julia_norton_6917;90.0;42.1;"""My course: Particularly finish heart he fight; Ground anything speak worker computer"""
sergio_smith_4652;83.0;80.1;"""Religious box up already worry; Question under Everybody tend red always"""
tiffany_smith_3518;84.0;47.1;"""(Decide from) ; Best and Office among though manage almost civil"""
tina_parker_6313;76.0;63.1;"""Away husband off project; Lot floor real Inside data break official rock"""
donna_molina_1919;95.0;57.1;"""(Blue partner other) ; Course sort and Natural article technology high before church"""
johnny_butler_2366;51.0;86.1;"""(Red tonight human day) ; Save TV and Police information open"""
marvin_wright_9514;24.0;98.1;"""(Yard radio enjoy analysis) ; Trip series focus fact probably and Foot relationship leader season country provide"""
sophia_hill_8021;17.0;86.1;"""Note: Them difficult whose himself; then Time"""
thomas_wallace_8749;1.0;10.1;"""Head statement unit; Past tax someone opportunity pay Candidate scientist"""
kara_smith_7957;62.0;96.1;"""Note: Career really stop those act; then Free"""
debbie_hicks_9685;75.0;13.1;"""Check discuss game low professional; Stock with father ; Rich final"""
clinton_turner_5100;18.0;81.1;"""Rule customer lawyer; Subject ; Along lawyer up college indicate"""
robert_white_8940;74.0;30.1;"""Hotel grow: Financial now free; Agent environmental nothing agree turn lay"""
william_garcia_2394;65.0;72.1;"""Note: Church less; then Believe across"""
julia_bowman_9309;29.0;14.1;"""Home activity anyone; Form attorney including want activity ; Traditional"""
john_chung_4873;67.0;93.1;"""Measure too environment: Safe attention adult range; Other meet"""
raymond_russell_8480;100.0;71.1;"""Note: Hit should fight; then Next skill sea all program"""
amber_aguirre_9863;27.0;6.1;"""(Out there sport) ; Decision since shake stuff and Party yes art PM protect"""
