name,username,rating,price,total_count,remark
Derek Wilcox,derek_wilcox_2496,6.0,,33.2,'''Thank: Describe, Need foreign on'''
Veronica Blair,veronica_blair_5688,97.0,28.1,15.2,'''Note: Begin cause glass go, then Accept yes'''
Tracy Rodriguez,tracy_rodriguez_7363,2.0,53.1,79.2,'''Maintain spring effect, Bill nearly room live Wide operation'''
William Barnes,william_barnes_6314,73.0,82.1,14.2,'''Popular international teacher great during; If business , Result hold'''
Lawrence Lewis,lawrence_lewis_5191,85.0,55.1,61.2,'''Century individual: Know eye, Mouth or seat force window'''
Kristin Ferguson,kristin_ferguson_6450,83.0,39.1,31.2,'''Note: Show prepare safe those machine she, then Reach water role form process'''
Sierra Torres,sierra_torres_8205,,12.1,53.2,'''Wish impact: Stage shoulder share, From improve'''
Debra Wong,debra_wong_7389,27.0,36.1,100.2,'''Field provide open nature want focus, Poor direction single Voice side me'''
Robin Mayer,robin_mayer_0444,7.0,3.1,39.2,'''Hear country audience, Must good Avoid eye analysis store wind size'''
Mr. Eric Fischer,mr_fischer_7861,18.0,15.1,66.2,'''Record staff official sit, Media least than office type While'''
Dennis Pollard,dennis_pollard_2894,15.0,62.1,47.2,'''Near feeling: Again father analysis all design, Effect exactly'''
Steven Walker,steven_walker_4394,56.0,47.1,13.2,'''Growth: Clear example opportunity, Way summer few'''
Victor Davis,victor_davis_1682,92.0,36.1,66.2,'''History really in: Seek animal their military, Opportunity nearly little'''
Cristina Hernandez,cristina_hernandez_3062,19.0,10.1,9.2,'''Note: Participant difference, then Bank its'''
Timothy Hall,timothy_hall_3927,43.0,62.1,22.2,'''(Middle garden think those plan) , Shake else more and Hair choose'''
Elizabeth Thomas,elizabeth_thomas_4327,60.0,52.1,83.2,'''Evening fine century protect, True pick From director'''
Troy Small,troy_small_5970,71.0,21.1,48.2,'''Near; So some , Tv contain be'''
Anna Curtis,anna_curtis_4686,54.0,79.1,62.2,'''(Speak picture camera) , Cost again and Public parent'''
Danny Roberts,danny_roberts_4848,72.0,48.1,65.2,'''Point forward condition business, Dog yourself drive also Fact'''
Richard Clark,richard_clark_0765,19.0,65.1,1.2,'''Send general move; Career bit , They last skin'''
Adam Schroeder,adam_schroeder_8696,28.0,95.1,78.2,'''Both federal spend meeting treat, Moment thing performance Treat maintain sea subject range thing'''
Nicole Diaz,nicole_diaz_2964,23.0,29.1,51.2,'''(Figure difficult) , Bar herself house and Start form tax be probably'''
 ,jennifer_cummings_0077,78.0,4.1,70.2,'''Question strategy; Across mouth , Ground'''
Angela Thompson,angela_thompson_3420,1.0,56.1,80.2,'''Himself stay; Way , Personal natural avoid'''
Connor Tanner,connor_tanner_8806,72.0,87.1,55.2,'''(Include) , Light stock space leg and She charge although'''
Virginia Nguyen,virginia_nguyen_2017,31.0,52.1,41.2,'''(Listen friend lose contain fill) , Glass once writer and It rather'''
Valerie Waters,valerie_waters_5980,15.0,98.1,7.2,'''(Mention smile feel else could) , Appear land red and Vote impact'''
Jordan Powers,jordan_powers_7553,62.0,81.1,82.2,'''(Or building) , Involve type better and Indeed firm stop so this'''
Karen Cooper MD,karen_md_9895,36.0,34.1,70.2,'''(To marriage close) , Store road and North'''
Sandra Henderson,sandra_henderson_8449,16.0,95.1,39.2,'''(Future become town adult) , Middle everyone and Sure article school'''
Cynthia Ruiz,cynthia_ruiz_5592,18.0,43.1,57.2,'''Traditional record music show; Their quickly knowledge , Sense possible'''
Heidi Morales,heidi_morales_5553,1.0,1.1,79.2,'''Black American, Agree dark paper administration Risk develop'''
Jon Collins,jon_collins_5715,87.0,69.1,96.2,'''Note: Turn top dog audience effort nation, then Order art lead tell'''
Rodney Hall,rodney_hall_0968,80.0,33.1,10.2,'''(Trial television rule however) , Send sure situation and View'''
Kevin Alvarez,kevin_alvarez_0064,35.0,38.1,62.2,'''Style significant understand assume no: Skill remain station by and, Participant firm leader church'''
Jill White,jill_white_2026,100.0,27.1,12.2,'''Note: Lay fear pick surface might, then Safe surface tonight goal'''
Troy Olsen,troy_olsen_6349,25.0,70.1,52.2,'''Force agent thousand, Have well past Term relationship since sing'''
Pamela Hughes,pamela_hughes_9568,90.0,41.1,89.2,'''Note: Campaign organization billion, then How material'''
Stanley Sullivan,stanley_sullivan_4145,90.0,74.1,,'''Note: Figure story mission, then Just example wish team way'''
Michael Johnson,michael_johnson_5245,81.0,91.1,48.2,'''Note: Mind politics suddenly social sister, then Share'''
Joshua Harrison,joshua_harrison_8794,90.0,2.1,66.2,'''Result teach under just: National concern tree, Smile news pattern parent'''
Julie Parker,julie_parker_4370,57.0,76.1,20.2,'''(Wish consumer) , She war but gun clearly and Open knowledge popular program write contain'''
Amanda Bentley,amanda_bentley_3397,77.0,3.1,35.2,'''Note: Next speak guess, then Short focus three'''
Marissa Garza,marissa_garza_6931,5.0,58.1,25.2,'''Story whole career: Player lead send, Under thank'''
