# This is a comment line to skip
username	name	age	total_count	salary	comment
cole_smith_0575	Cole Smith	38.0	2.1	56.2	'''(Action culture) 	 Account and Happy'''
felicia_johnson_6408	Felicia Johnson	32.0	49.1	13.2	'''Now; Significant morning build entire 	 Southern far us paper benefit'''
jason_bartlett_9099	Jason Bartlett	51.0	61.1	33.2	'''(For who theory) 	 Across person fear and Nearly also huge'''
timothy_garrett_2355	Timothy Garrett	41.0	44.1	33.2	'''Home will close	 Theory candidate Agree recently'''
nancy_silva_3135	Nancy Silva	15.0	7.1	25.2	'''Religious everything begin: Body	 Take'''
erik_myers_8062	Erik Myers	93.0	60.1	66.2	'''Wear source; Wall Mr home training 	 Down high remain'''
jose_smith_3570	Jose Smith	33.0	79.1	96.2	'''Security experience; Window 	 Against'''
kevin_wilson_4434	Kevin Wilson	93.0	21.1	27.2	'''Note: In put	 then Right why model'''
dennis_howell_4133	Dennis Howell	7.0	47.1	4.2	'''Still join fish Republican right	 Responsibility budget poor Begin share'''
christopher_williams_3577	Christopher Williams	47.0	65.1	16.2	'''Outside fish degree source: Campaign nothing	 Serve'''
brittany_esparza_4793	x	83.0	73.1	73.2	'''Rule: Edge floor concern	 Use evidence east physical'''
daniel_martin_8989	Daniel Martin	38.0	15.1	98.2	'''Really happen: Different eight building audience meet	 Role then'''
lynn_gonzales_3650	Lynn Gonzales	82.0	65.1	25.2	'''Community future prevent: Whom let threat	 Value family center'''
ashley_smith_2365	Ashley Smith		41.1	63.2	'''Let research response later fish: Officer design	 Our resource'''
ronald_wright_5078	Ronald Wright	65.0	95.1	39.2	'''Professor summer seat believe top; Feeling level start after lose feel 	 Southern case onto'''
raymond_walsh_5434	Raymond Walsh	41.0	22.1	93.2	'''(Truth improve discuss full crime) 	 Guy stuff and Total grow result girl'''
jennifer_hurley_6779	Jennifer Hurley	53.0	23.1	87.2	'''Require together	 Choice player when usually mind Its old share'''
george_anthony_1443	George Anthony	84.0	46.1	54.2	'''Public: With week push	 Certain'''
michael_gallagher_7025	Michael Gallagher	74.0	24.1	41.2	'''From	 Nearly class meet interview low Me choice'''
jeremy_foley_5398	Jeremy Foley	1.0			'''Note: Player write	 then Hand story option term me particularly'''
megan_brown_2830	Megan Brown	94.0	23.1	46.2	'''Note: Industry exist we wall car knowledge scientist	 then Management find oil computer'''
amy_harrell_9862	Amy Harrell	6.0	85.1	30.2	'''Body treatment ever remember	 Window third up Another war admit mother'''
robert_graham_9463	Robert Graham	2.0	70.1	31.2	'''Doctor accept	 Over also since Writer message piece'''
frank_garcia_4554	Frank Garcia	19.0	92.1	80.2	'''Note: Social	 then Think early'''
patricia_villa_0973	Patricia Villa	95.0	80.1	2.2	'''Change: Control wind body	 Interview'''
angela_sharp_1124	Angela Sharp	96.0	87.1	29.2	'''Note: Win model score	 then Explain form indeed subject'''
gina_taylor_0511	Gina Taylor	7.0	90.1	97.2	'''Note: Protect political relationship collection field Congress	 then Wait'''
amy_stewart_4588	Amy Stewart	39.0	44.1	61.2	'''Show	 Owner blood many My'''
