# This is a comment line to skip
username,name,rating,salary,age,note
meagan_collins_1338,Meagan Collins,93.0,57.1,81.2,'''Quite need; Short , Today fine together'''
daniel_moore_4792,Daniel Moore,85.0,35.1,55.2,'''Three appear; Lay , Be share adult'''
kellie_english_0179,Kellie English,7.0,71.1,28.2,'''Peace key cold; None , Base pressure large'''
julie_ingram_0147,Julie Ingram,97.0,48.1,96.2,'''Fall; After executive , Young whole'''
haley_kelly_1428,Haley Kelly,83.0,58.1,63.2,'''Choice onto customer effect official, Level approach Much Republican away choose'''
lisa_smith_2314,Lisa Smith,90.0,35.1,8.2,'''Note: Home, then Form body month interesting bag'''
katherine_malone_7675,Katherine Malone,92.0,28.1,82.2,'''Area paper top rise floor: Nation business peace, Address senior full American'''
joseph_powers_0490,Joseph Powers,94.0,30.1,9.2,'''Laugh: Class state debate doctor, Fear record from bad machine toward'''
janet_thomas_4053,Janet Thomas,50.0,6.1,14.2,'''(Player early answer) , More everyone Mrs head build and Mouth generation because us'''
david_ruiz_0965,David Ruiz,11.0,,98.2,'''Cost should rate include audience, A shake Many theory national'''
margaret_johnson_8011,Margaret Johnson,42.0,51.1,49.2,'''Like, Nation military She water fine cell'''
ralph_davidson_5997,Ralph Davidson,46.0,64.1,41.2,'''Note: Show give better, then Believe staff red experience continue'''
sandra_alvarado_1059,Sandra Alvarado,62.0,83.1,28.2,'''Huge, Degree single shake clearly another include Pattern know'''
regina_edwards_8435,Regina Edwards,35.0,99.1,75.2,'''Water push true follow wind provide: Else truth source former, Necessary leader heart compare state'''
priscilla_bonilla_3659,Priscilla Bonilla,16.0,83.1,15.2,'''(Decide) , Republican sound population over international and National employee hear'''
david_jones_3537,David Jones,41.0,31.1,85.2,'''Here cover enough admit; Although interview identify wide , Marriage modern score Congress buy'''
stephanie_riley_3479,Stephanie Riley,15.0,32.1,83.2,'''(College participant) , Fund season former cover and Position act business suffer'''
katelyn_coffey_7054,Katelyn Coffey,48.0,32.1,4.2,'''Note: Agreement your product, then City center'''
wanda_campbell_9439,Wanda Campbell,91.0,100.1,73.2,'''Actually work lot; Smile thank , Subject make opportunity'''
brandon_johnson_8075,Brandon Johnson,47.0,85.1,95.2,'''Note: Local that least upon ready perform, then Far such class'''
andrew_campbell_7269,Andrew Campbell,14.0,46.1,14.2,'''Understand form; Several continue with wonder , Window'''
katherine_wright_0618,Katherine Wright,52.0,79.1,64.2,'''Note: Protect beat science main, then State bit'''
richard_jr_8699,Richard Lopez Jr.,15.0,18.1,87.2,'''Class try: Community could provide, Wonder attention age career success'''
william_young_8939,William Young,69.0,65.1,2.2,'''Require various on one hour, Voice Itself it'''
pamela_mason_4935,Pamela Mason,60.0,78.1,31.2,'''Garden agency foot; White yet daughter sense less , Support drop'''
charles_price_6323,Charles Price,69.0,85.1,,'''(Night industry open argue happen but) , New and Character color'''
edgar_case_1082,Edgar Case,58.0,88.1,57.2,'''(Image again determine) , Memory throughout and Born operation movement often'''
erik_burns_3899,Erik Burns,77.0,67.1,91.2,'''Note: Again best him, then Think both decade'''
nathaniel_ali_1249,Nathaniel Ali,21.0,54.1,59.2,'''Note: Meeting black, then Task four member reason'''
kristine_chavez_8157,Kristine Chavez,93.0,32.1,33.2,'''Administration no; Life his huge amount , Value answer fine scene'''
lori_andrews_4398,Lori Andrews,29.0,78.1,68.2,'''Note: Truth break, then Direction stage remain exist together'''
chloe_stephenson_2363,Chloe Stephenson,72.0,55.1,34.2,'''Red try: Himself short change, Soldier alone'''
kevin_weaver_3692,Kevin Weaver,28.0,28.1,95.2,'''(Or certain wait eight) , Threat and Image interview stand gas hear music'''
cynthia_sanders_8136,Cynthia Sanders,9.0,4.1,92.2,'''Huge reduce; Him forget end board might , Social toward'''
catherine_edwards_6731,Catherine Edwards,22.0,2.1,65.2,'''Century everything; Again whose , College team else poor'''
robert_wilson_3473,Robert Wilson,85.0,89.1,12.2,'''Wish, Pick Perform hear'''
marc_graham_2388,Marc Graham,92.0,73.1,2.2,'''Building; Save center quite effect continue , General money'''
sharon_zimmerman_9381,Sharon Zimmerman,16.0,13.1,44.2,'''(Suffer listen too) , Leave sound pretty and Still'''
jenna_ellis_2170,Jenna Ellis,69.0,5.1,85.2,'''(Another respond) , Team race response spend receive and Shake practice'''
douglas_butler_7474,Douglas Butler,83.0,73.1,35.2,'''Foreign wait evidence service three: Establish street, Alone sign sort'''
troy_cross_5718,e,46.0,22.1,66.2,'''Year until: Window evidence, After pull'''
gary_smith_8469,Gary Smith,66.0,11.1,7.2,'''Note: Company approach word, then Candidate simple thank'''
kimberly_gardner_7649,Kimberly Gardner,,27.1,86.2,'''Through determine, Some Woman law'''
paul_chavez_9186,Paul Chavez,70.0,86.1,15.2,'''Card be, Democrat form seven pass level Get these'''
karen_pierce_4713,Karen Pierce,82.0,2.1,18.2,'''Collection quickly; Floor course discover , Lose glass force office'''
michele_myers_5635,Michele Myers,50.0,100.1,60.2,'''Three available study, Sea eye poor while Table their'''
angela_rios_2148,Angela Rios,87.0,98.1,18.2,'''Check no: Produce day, Lead moment future box'''
dr_hunt_7300,Dr. Melvin Hunt,92.0,74.1,56.2,'''Product save east government: Unit PM agency difference, Red middle southern'''
