# This is a comment line to skip
username;price;salary;review;comment
miss_williams_7070;80.0;;"""Note: Dolore placeat; then Quis nisi adipisci animi""";"""Note: Maxime; then Occaecati in"""
glenn_sheppard_6878;96.0;70.1;"""Note: Facilis suscipit corrupti perferendis; then Rem amet ex""";"""Perferendis a et; Aliquid iure eum ; Laborum"""
cameron_sullivan_8020;34.0;23.1;"""(Ullam laboriosam suscipit) ; Ipsum consequatur and Velit voluptatibus harum""";"""(Iure molestiae debitis officia amet) ; Facere molestiae perferendis and Dolorum cum repellat blanditiis tempora dicta"""
edward_lane_1682;49.0;14.1;"""(Consequatur laboriosam ab) ; Libero quibusdam beatae sapiente and Ea reprehenderit libero""";"""Note: Dignissimos harum accusantium ad saepe; then Cumque sit sequi"""
mr_dean_7456;23.0;9.1;"""Animi nihil; Saepe magni aperiam vero molestias Vero reprehenderit""";"""Note: Iusto; then Quo atque"""
stacey_young_8997;94.0;13.1;"""Note: Doloribus aut recusandae; then Nulla recusandae sit enim""";"""Deserunt aperiam; Quasi nam ; Omnis veniam"""
leon_jones_5963;88.0;21.1;"""Explicabo veniam qui: Itaque tenetur; Sit ipsa similique saepe inventore""";"""Ex eligendi repellendus veniam error; Minima ullam voluptate Aliquam alias aliquid ut sapiente"""
ricky_price_2259;56.0;91.1;"""Note: Dolorum; then Dicta et impedit""";"""(Aperiam) ; Earum exercitationem and Nostrum nam similique"""
dr_burton_4280;4.0;44.1;"""Laudantium ut ratione voluptatum; Quaerat harum ; Cum""";"""Vero rem amet nihil: Architecto; Aperiam"""
edward_williams_0649;63.0;62.1;"""Repellendus at; Ullam sequi ; Unde""";"""Optio quo; Blanditiis at odit ratione ; Ad atque quae alias non"""
matthew_miller_7156;45.0;78.1;"""Note: Ipsam eligendi; then Quo quo atque ipsam""";"""Ut: Id facilis repellat ratione voluptatem; Repellat dolorem enim dolore quisquam"""
margaret_thompson_7697;55.0;11.1;"""Note: Nisi quam ducimus laboriosam; then Possimus eveniet perspiciatis""";"""(Exercitationem repellendus) ; Provident iusto and Deleniti placeat"""
mrs_nolan_7083;42.0;50.1;"""Est vero aspernatur: Cumque corrupti; Id""";"""Minus repellendus rem tempore; Dolorem natus reiciendis Asperiores natus inventore veritatis commodi officia"""
shirley_bryant_9781;2.0;86.1;"""Officia; Temporibus consequuntur et ; Rerum quibusdam""";"""(Similique quidem ea dolorem) ; Corrupti recusandae aspernatur and Temporibus"""
owen_smith_5758;13.0;6.1;"""(Libero aut explicabo quidem) ; Ipsam earum eaque quidem veritatis and Saepe nulla""";"""Note: Beatae adipisci; then Animi iste"""
donna_jones_6009;16.0;10.1;"""Nisi; Atque minima Hic laudantium aspernatur hic corrupti in""";"""Tenetur provident vero; Nostrum quaerat cupiditate accusamus omnis ; Debitis quae exercitationem sed tempora"""
carl_anderson_7725;58.0;85.1;"""(Harum porro officiis) ; Deleniti and Consequatur""";"""(Ratione) ; Non eveniet eveniet and Consequatur repudiandae architecto"""
benjamin_ball_0918;;24.1;"""Molestiae et; Laudantium ; Quis error""";"""Recusandae quod similique; Quo culpa Fuga fugiat atque dolorem in at"""
harry_chambers_0034;6.0;7.1;"""(Consequatur cumque debitis dolore) ; Aliquid odit eos numquam harum and Alias illum aperiam quidem ea natus""";"""Repudiandae odit fugit ipsa itaque quos; Quam quidem quae quasi vel beatae ; Dolore id"""
ms_porter_4100;55.0;93.1;"""Odio rerum eius; Delectus ullam aliquam maxime Perferendis perferendis""";"""Quisquam suscipit; Quaerat facilis ab ; Ducimus consequatur aliquid"""
fiona_oliver_7372;73.0;13.1;"""Nam velit; Incidunt doloremque quas illo ; Autem nostrum""";"""Incidunt autem: Quisquam quas numquam doloremque deleniti; Quasi libero velit molestias odio inventore"""
dr_perkins_2636;29.0;55.1;"""Aliquam illum molestiae; Animi provident Tenetur""";"""Note: Quidem odit quos; then Dolorum vel"""
leslie_barber_0151;50.0;88.1;"""Animi; Beatae dicta fugit Recusandae deserunt voluptatibus deserunt totam""";"""Itaque cum: A doloribus recusandae; Rem illo"""
shane_watkins_4948;93.0;98.1;"""(Adipisci magnam itaque corporis sequi) ; Error dicta facilis repellendus and Tempore alias""";"""Debitis quas; Libero voluptatum ; Quaerat numquam exercitationem in"""
joyce_browne_0691;32.0;75.1;"""Atque incidunt ullam; At expedita voluptas Officia veritatis""";"""Note: Esse laboriosam; then Deserunt"""
ms_mitchell_8510;76.0;6.1;"""Facere rerum aliquid consectetur ad fugit: Provident ipsum modi; Ipsum autem illum""";"""Commodi corrupti; Officia blanditiis vel ; Veritatis sed"""
marcus_anderson_8481;42.0;96.1;"""Doloremque consequatur ipsum; Vitae voluptatem Velit minima exercitationem""";"""Explicabo corrupti quo mollitia enim; Facilis officiis nostrum unde ; Praesentium"""
mr_wilson_3907;83.0;14.1;"""Recusandae tenetur quibusdam quasi maiores; Tempore vel Numquam minima vel nisi voluptatibus""";"""Atque maxime inventore necessitatibus dolor distinctio; Distinctio tempora laboriosam Atque optio repudiandae"""
shaun_clark_0634;77.0;74.1;"""(Eligendi autem tempora amet) ; Nobis dignissimos consectetur and Vitae quae est eveniet dolorum""";"""Ipsum mollitia quisquam; Suscipit excepturi vitae similique Voluptatem temporibus iste voluptate"""
