name	username	salary	price	age	review
Marcus Jones	marcus_jones_7341	58.0	37.1	92.2	"""Question produce idea six law; Charge us 	 Some article meet"""
Dr. Denise Brooks	dr_brooks_0283	82.0	5.1	36.2	"""Skill against girl detail protect: Just	 End field design"""
Cory Rodriguez	cory_rodriguez_0024	58.0	67.1	32.2	"""Note: Bag situation country	 then Well apply out exist visit"""
Jill Smith	jill_smith_4363	81.0	9.1	34.2	"""Money some or suffer; Hour team forget share 	 Letter as"""
Pamela Willis	pamela_willis_4583	27.0	75.1	46.2	"""Eye: Whole nor military	 Chance"""
Christopher Harris	christopher_harris_7874	63.0	19.1	3.2	"""Note: Front	 then Beat movie lot college"""
Patrick Becker	patrick_becker_3186	38.0	9.1	42.2	"""Note: No who become	 then Under allow international exist"""
William Le	william_le_5187	90.0	71.1	7.2	"""Paper hour term field force	 Century hospital type Finally safe factor"""
Elizabeth Myers MD	elizabeth_md_0052	50.0	44.1	60.2	"""Me account	 Event speak write education add New interview own way federal night"""
Jonathan Jones	jonathan_jones_9196	88.0	55.1	66.2	"""Edge job risk serve	 Level onto trade set million Family life record"""
Melissa Andersen	melissa_andersen_4320	1.0	42.1	23.2	"""Quickly serve	 Head Another southern story"""
Kelly Sherman	kelly_sherman_5551	42.0	9.1	44.2	"""Try class ready; Seek knowledge 	 Century magazine face woman impact"""
Jason Davis	jason_davis_9129	41.0	52.1	31.2	"""Shake country today meeting; Top increase 	 Site surface nearly memory"""
William White	william_white_4329	2.0	8.1	46.2	"""Note: Article race natural place movie break	 then Her radio land"""
Michael Franklin	michael_franklin_4021	59.0	17.1	87.2	"""Few: Clearly him act	 Even similar reflect summer"""
Michele Henry	michele_henry_7792	3.0	65.1	13.2	"""Response plan	 Start high walk Country"""
A	anthony_kennedy_5942	82.0	95.1	73.2	"""Note: Race maybe	 then Southern partner tree within resource value"""
Richard Moore	richard_moore_7051	27.0	9.1	65.2	"""Wonder free because they: Necessary company other little	 Example"""
Angela Patel	angela_patel_4667	14.0	59.1	93.2	"""Strategy: Decision successful public pressure	 What think"""
Lance Martin	lance_martin_2076	28.0	31.1	59.2	"""Myself: Garden almost	 Mention star care"""
Sarah Powell	sarah_powell_7589	6.0	83.1	3.2	"""Stand loss	 Enough Least however property ability no couple"""
Debra Peterson	debra_peterson_4434	27.0	44.1	9.2	"""Note: Serious cup shake	 then Seven theory"""
Joshua Perez	joshua_perez_1958	92.0	79.1	66.2	"""Car structure red kind anything; Six sure himself 	 Interesting material exist have join"""
Richard Martinez	richard_martinez_0232	60.0	15.1	69.2	"""Wish race pass energy	 Himself boy change far Service whatever"""
Mary Sanders	mary_sanders_2262		67.1	99.2	"""Least: Should huge	 Court him color imagine music"""
Holly Ward	holly_ward_8262	85.0	32.1	4.2	"""(Film difference spend) 	 Candidate white and Thank well all"""
Jamie Mcfarland	jamie_mcfarland_5874	96.0	22.1	67.2	"""Magazine candidate avoid owner	 Store share next some Magazine onto in expect clearly"""
Stacy Ayers	stacy_ayers_3305	39.0	70.1	6.2	"""Themselves federal day	 Risk Partner safe its dark recently"""
Christopher English	christopher_english_2464	34.0	28.1	71.2	"""Determine stuff under; Business husband bag thus yourself 	 See quality team hold"""
Stephanie Green	stephanie_green_3263	9.0	17.1	34.2	"""Nearly early another reach recently	 Tend phone from similar team Those small you source crime people"""
Christopher Berry	christopher_berry_9944	80.0	48.1	94.2	"""Might; Congress guess bank would work 	 Second charge meeting create base"""
Cheryl Martin	cheryl_martin_7154	58.0	87.1	71.2	"""Hear activity expect; Send treatment yes 	 Sure those while common general"""
Mark Smith	mark_smith_8555	27.0	77.1	72.2	"""(Everyone least) 	 Serve state should and Issue"""
Scott Fisher	scott_fisher_7071	81.0	99.1		"""(Hand table) 	 Theory face memory and Ask"""
Janice Davidson	janice_davidson_2463	35.0		25.2	"""Fall under	 Reflect Address return"""
Patty Parks	patty_parks_9891	90.0	57.1	13.2	"""(Argue must) 	 Cut them relate and Loss degree form almost"""
Timothy Haney	timothy_haney_5025	7.0	87.1	8.2	"""Official cost; Smile crime 	 Image medical significant"""
Kevin Velasquez	kevin_velasquez_7668	71.0	20.1	10.2	"""Southern of	 Cut staff election off Value hundred"""
Norma Hodge	norma_hodge_5638	83.0	31.1	29.2	"""(Accept financial story national) 	 His shoulder and Success that"""
Scott Tucker	scott_tucker_7963	55.0	79.1	80.2	"""Note: Leave company thank	 then Spring beat"""
Jordan Norris	jordan_norris_1992	76.0	86.1	46.2	"""Measure	 Pick many laugh interest Admit common recently staff"""
Ryan Hampton	ryan_hampton_9993	48.0	57.1	2.2	"""Language question study	 Lay side Stage view event"""
Bryan Palmer	bryan_palmer_6524	73.0	53.1	89.2	"""(Design hotel) 	 Nature show life which everybody and Deal TV certainly heart size"""
Noah Lopez	noah_lopez_6316	40.0	96.1	12.2	"""Note: We yeah	 then Firm fly"""
Jeffrey Hunter	jeffrey_hunter_2638	68.0	6.1	23.2	"""Note: Guy score summer even	 then High see"""
Misty Cox	misty_cox_1611	92.0	29.1	90.2	"""Great exactly	 Guy country explain mission Require others recently"""
Jerry Flores	jerry_flores_5731	80.0	100.1	98.2	"""Rule second quality later	 Place Hour reduce"""
Mrs. Dawn Fisher	mrs_fisher_9206	17.0	40.1	43.2	"""Brother price; Green bad 	 Book partner"""
Donna Estes	donna_estes_6691	54.0	96.1	82.2	"""Note: Mind nation make box process	 then Impact when sister edge"""
Christina Collins	christina_collins_7670	51.0	25.1	93.2	"""Note: Similar movie	 then Listen"""
