name	salary	score	total_count	remark
Rosie Lord	73.0	33.1	3.2	"""Aut: Error quo id suscipit itaque nostrum	 Nihil error error"""
Kate Turner	63.0	15.1	71.2	"""(Culpa quae numquam) 	 A asperiores and Eaque aperiam"""
Ms Abigail Dawson	43.0	94.1	90.2	"""Explicabo quia; Natus delectus vero 	 Vero deserunt veniam"""
Terry Wood-Bell	28.0	73.1	29.2	"""Necessitatibus molestiae dolorem culpa: Aliquid repellendus reprehenderit commodi	 Animi"""
Ms Irene Benson	66.0	36.1	48.2	"""Necessitatibus accusamus qui debitis earum; Non delectus id est quisquam 	 Iste temporibus odit quos"""
Dr Fiona Graham	26.0	96.1	38.2	"""Omnis; Maiores adipisci et 	 Similique"""
Kevin Pearce	4.0	29.1	97.2	"""(A eum tempora exercitationem quidem modi) 	 Tempora commodi dicta and Expedita corrupti pariatur eligendi"""
Kimberley Evans-Smart	56.0	48.1	92.2	"""Molestiae occaecati incidunt velit aliquam; Facilis illum occaecati repudiandae 	 Consequuntur vitae odio consequuntur architecto modi"""
Kirsty Bishop	41.0	87.1	100.2	"""Laboriosam sit; Mollitia animi 	 Impedit asperiores"""
Charlie Barnes	93.0	91.1	93.2	"""Note: In cupiditate quaerat esse necessitatibus	 then Ab fugiat dignissimos"""
Barry Hurst	15.0	51.1	84.2	"""Note: Esse autem expedita	 then Nulla quas"""
Charlotte Taylor	11.0	12.1	16.2	"""Et animi	 Placeat Impedit voluptatum"""
Tony Gill	57.0	56.1	89.2	"""Note: Fuga ab ratione eum accusantium unde	 then Suscipit labore aliquam autem"""
Mrs Lynne Phillips	65.0	16.1	43.2	"""Illum praesentium a: Nihil	 Qui tempore"""
Mr Jonathan Cooke	96.0	91.1	97.2	"""Praesentium ea velit quia molestias	 Dolor optio provident enim Fugit atque modi"""
Dr Joel Andrews	57.0	71.1		"""Possimus doloribus laboriosam autem voluptatum: Id debitis molestiae facere	 Reiciendis reiciendis dolor"""
Dr Michelle Wallace	68.0	20.1	47.2	"""Note: Ex cumque eius recusandae	 then Soluta voluptate delectus minus accusamus"""
Kelly Nelson-Baker	57.0	95.1	92.2	"""Dignissimos suscipit; Quas quis illo 	 Harum quasi soluta necessitatibus"""
Brandon Hill	36.0	17.1	63.2	"""Excepturi mollitia asperiores; Rem tenetur sunt eos 	 Maxime est reprehenderit"""
Mr Gerard Tucker	63.0	57.1	74.2	"""(Cum sequi) 	 Explicabo temporibus and A inventore praesentium"""
Dorothy Bishop	47.0	6.1	59.2	"""(Quidem) 	 Perferendis deserunt iusto autem and Voluptate eum ad"""
Harriet Murray	68.0	23.1	73.2	"""Saepe quis: Porro amet commodi doloremque	 Occaecati quas"""
Emily Noble	89.0	43.1	56.2	"""Ut saepe iste atque quibusdam dolore: Ipsam omnis sint repellat voluptatum ad	 Dicta praesentium accusamus"""
Beverley Taylor	62.0	67.1	59.2	"""Libero placeat; Quis fuga 	 Eveniet incidunt ab aliquid fuga"""
Jill Kerr	5.0	2.1	47.2	"""(Suscipit sapiente) 	 Dolore id ex and Nostrum sint"""
Elaine Price	21.0	35.1	80.2	"""Note: Eos debitis repellendus	 then In quod corrupti corporis dolore"""
Louis Evans	82.0	29.1	58.2	"""Odio nostrum ad; Dolore dolore 	 Cumque nam blanditiis deserunt"""
Ms Lauren Middleton	12.0		5.2	"""(Beatae illum) 	 Nemo and Facilis asperiores in facere asperiores"""
Peter Vaughan	77.0	64.1	83.2	"""Dicta officia quos ipsa id possimus	 Soluta sequi Incidunt aliquam"""
Glenn Smart-Moore	87.0	25.1	99.2	"""(Voluptates ipsum numquam ducimus) 	 Deleniti natus pariatur deserunt pariatur and Sapiente aliquam vel sequi delectus minus"""
Judith Anderson	44.0	56.1	7.2	"""(Quaerat sed dolore hic) 	 In expedita aliquid and Id numquam"""
Lucy Ahmed-Franklin	24.0	6.1	26.2	"""Note: Impedit consequatur aliquid	 then Aliquam modi veritatis"""
Miss Angela Bruce	27.0	71.1	21.2	"""Magni	 Excepturi ea Magni officia"""
Paul Kay-Brookes	42.0	50.1	42.2	"""Blanditiis: Molestias consequatur	 Sapiente iure tenetur"""
Gerard Gibbs	67.0	89.1	49.2	"""Animi optio: Rerum eveniet laboriosam vitae	 Molestiae blanditiis"""
Aaron Brown	85.0	24.1	14.2	"""Nesciunt occaecati	 Magnam consequatur sed Possimus necessitatibus ratione animi cum"""
Scott Wheeler	82.0	44.1	45.2	"""Deserunt exercitationem quam: Vitae totam unde fugiat laborum odit	 Ipsa"""
Danny Bates-Parker	76.0	11.1	58.2	"""Note: Omnis saepe blanditiis	 then Laboriosam sint quibusdam"""
Dr Terence Parkinson	34.0	39.1	11.2	"""(At illo debitis placeat dolorum) 	 Fugit ipsa sit eum and Fugit enim repellat unde id"""
Dr Diane Howard	11.0	45.1	98.2	"""Deleniti; Labore 	 Repellat pariatur eligendi cupiditate"""
Jayne Thorpe	37.0	45.1	73.2	"""Sit animi facere veniam	 Odio omnis Voluptate delectus"""
Denis Ashton	15.0	81.1	7.2	"""Rem corporis pariatur culpa; Deleniti 	 Quos saepe voluptatibus dolore rem"""
Dr Toby Holt		5.1	38.2	"""Fugit nihil dicta; Inventore eaque 	 Alias eum quidem ducimus illo quod"""
e	11.0	30.1	78.2	"""Illum quidem: Reiciendis nemo	 Repudiandae"""
Jessica Wallace	97.0	99.1	50.2	"""Perferendis ratione	 Commodi ad assumenda Ad"""
Donna Evans	44.0	96.1	57.2	"""Reiciendis quas: Libero aut nostrum	 Fugiat sint"""
