name,username,age,rating,salary,description,summary
Edward Leonard,edward_leonard_2676,29.0,32.1,17.2,'''Note: Usually, then Nor interview area''','''Note: And able model plan anything, then Any not thousand'''
Jason Montgomery,jason_montgomery_2578,88.0,,32.2,'''Style; Little world traditional , Challenge be''','''Note: Job, then Exactly mother couple side color person'''
Linda Lewis,linda_lewis_0999,67.0,81.1,46.2,'''Off mouth north draw; Stay traditional , Edge enjoy book feel main''','''(Bank none election here) , Painting cultural herself we evidence and Camera determine thank'''
Morgan Green,morgan_green_4021,63.0,29.1,27.2,'''Attorney human it large: There weight professional street American TV, Pattern material find''','''Study where, Investment Think region'''
Megan Burns,megan_burns_5201,3.0,33.1,54.2,'''Note: Instead candidate, then Event letter after win help''','''Seven find: Second design next realize, Anything price per course'''
Kristen Brown,kristen_brown_6316,54.0,63.1,42.2,'''In recently; Conference this lay , Night nearly account''','''Range measure, Wish room score world pretty Father'''
Heather Potter,heather_potter_4246,26.0,28.1,89.2,'''Note: Campaign push similar, then Past painting her foreign''','''Note: Artist lead suffer cover fact, then Set'''
Julie Jefferson,julie_jefferson_2611,24.0,48.1,73.2,'''Quality article, Degree lay Sport well job''','''Note: Eight economy, then Weight'''
l,cody_dds_7005,86.0,4.1,99.2,'''Listen including, Medical under church probably after Machine''','''Number food find rich; Itself look rest , Which during create fear threat'''
Craig Mckay,craig_mckay_6048,48.0,98.1,48.2,'''Note: Question wind plant, then Fish foot heavy''','''Investment other: On particular wait, Hour'''
Dr. Shannon Erickson DVM,dr_dvm_2469,66.0,14.1,22.2,'''Similar ago: Decide, Against decade head story''','''(Subject join) , Between provide any top less and Service employee road so system'''
Jeremiah Scott,jeremiah_scott_9321,84.0,93.1,3.2,'''Any, Join action beyond use Billion wall''','''Game: Actually international song, Place beat'''
Kellie Washington,kellie_washington_3755,74.0,47.1,21.2,'''(Music east painting tend) , Hit and Despite cost top''','''Specific behind, It risk share note Prepare summer'''
James Stevens PhD,james_phd_0340,33.0,26.1,14.2,'''Level admit huge contain official: Plant arm goal attention cause, Trip though anything''','''Share structure shoulder: Score, Rock learn police'''
James Oneal,james_oneal_7766,71.0,35.1,97.2,'''Which effort: Outside your network dog, Floor''','''Current cause event it, Laugh cause State well audience between'''
Barbara Long,barbara_long_8750,51.0,58.1,88.2,'''Task matter top, Weight administration Back four discover professor quite''','''(Star learn consumer) , Court special treatment show score and Focus including cup'''
Katrina Gross,katrina_gross_1266,84.0,23.1,46.2,'''Note: Shoulder report medical, then Right of''','''Camera involve provide vote, Difficult picture Should'''
Micheal Gill,micheal_gill_0355,13.0,36.1,2.2,'''Feeling such involve, These still onto enough General product notice''','''Note: Mention world if magazine manager seek, then Most'''
Christine Johnson,christine_johnson_5456,65.0,25.1,77.2,'''Heavy month what certain garden: Miss continue, Ago''','''Decision; Break fire , Ground environment practice'''
Ronald Underwood,ronald_underwood_8893,9.0,96.1,91.2,'''(Address approach side movement) , Onto important population have start and Sister best''','''(Leader plant) , Scientist through way since forward and Raise'''
Amanda Powers,amanda_powers_8424,63.0,88.1,16.2,'''Note: Message tonight author dog team, then Personal pay certainly heart mind''','''Contain religious: Loss page, Listen'''
Mr. William Meyer,mr_meyer_9477,24.0,79.1,49.2,'''Note: Think apply kid, then Type organization growth''','''Property region, Impact particularly worker Three policy point way'''
Patrick Martinez,patrick_martinez_0535,,58.1,83.2,'''Note: Time toward girl girl, then Glass over''','''Add public film heavy compare trip, Goal anything decision water none writer Task'''
Suzanne Foster,suzanne_foster_9417,47.0,17.1,94.2,'''Note: Nor tell spend tend, then Experience house''','''(Red why) , Mention peace send whether threat just public and Science maybe drug'''
Bailey Rangel,bailey_rangel_7799,35.0,64.1,58.2,'''Note: Leg project middle word, then Attorney million''','''(Say audience sure traditional certain) , Kitchen at or and Community political service'''
Deborah Murray,deborah_murray_4550,46.0,99.1,85.2,'''Note: Phone, then Gas foot number''','''(Foot write later) , Own raise well job know and Themselves court computer'''
Dr. Victoria Harrison MD,dr_md_9486,23.0,68.1,31.2,'''Always member; Garden not article , Section''','''Young build by, Thing Animal action'''
Karen Richardson,karen_richardson_9667,92.0,83.1,51.2,'''Property we baby value week trade: Particular each answer seven establish hour, Painting list''','''Election yard; Herself nation much various , Yourself far'''
Ashley Scott DDS,ashley_dds_6703,15.0,28.1,71.2,'''Democratic south character teacher military: Include democratic, I picture''','''(Actually sort build value include they) , Despite change former and Once method'''
Tony Serrano,tony_serrano_8303,70.0,52.1,,'''(Society pick relationship quite) , Analysis civil and Little sell nor score''','''(Security) , Bill offer item game whole and Just walk brother choice plan fall'''
Jeff Martinez,jeff_martinez_0766,22.0,10.1,33.2,'''Appear well often order benefit; Us center mention stage , Claim''','''South kid future: Run political, Sort indicate feel if'''
