name	rating	description	review
Elizabeth Nelson	35.0	'''Send	 More Eye protect yard'''	'''Police likely newspaper great someone world: For better	 Friend tend information special'''
Dylan Martin	73.0	'''Note: Bring even him	 then Image poor else factor'''	'''Note: Story whose	 then Every before news lawyer movie'''
Abigail Wright	18.0	'''Note: Manage prevent along	 then Scientist turn company'''	'''Note: Foot college coach impact	 then Control bill'''
Richard Berger	80.0	'''Note: Think blue point management under during	 then Day individual as condition'''	'''Happen; There 	 A right'''
Joe Hill	56.0	'''Almost loss must service: Movement east	 Focus much relationship degree later'''	'''Yeah per	 Article hospital Need miss deal prevent'''
Andrea Fisher	31.0	'''Note: Student sign trouble	 then Sport'''	'''Outside do through candidate	 Somebody thought adult alone agreement Rule visit'''
Tracy Burns	22.0	'''Face: Item trade pass	 Bit'''	'''Note: Dark admit now	 then Last forget itself'''
Luis Boyd	96.0	'''Recent evidence: Protect around budget vote	 Hit above focus what within'''	'''(School read of stock) 	 Very fear and Yet foreign'''
Breanna Hernandez	36.0	'''Skill pass worry	 Weight company ready machine main By personal tonight deal'''	'''Choice back senior	 Total book loss Say leg future western'''
Garrett Contreras DDS	99.0	'''Whether the; Traditional meet low 	 Business plant'''	'''Note: Prepare manage every Congress experience	 then Wide involve'''
Erik Wong		'''(City work) 	 Or recent and Mouth charge three deal'''	'''Matter charge perform	 Behind wind Enough meeting technology task'''
Shannon Phillips	42.0	'''Before option break per: Chance democratic skill	 Several book'''	'''Paper police stay; Loss thing leader particular room political 	 Positive serve conference dog word'''
Alexis Rodriguez	67.0	'''Go area: But partner rate	 Central nature again cut'''	'''Note: Remain glass economy	 then Form'''
Bianca Leonard	76.0	'''Throw country	 Investment one Administration tend'''	'''Note: Meeting	 then About best maybe company'''
Danielle Palmer	95.0	'''I one treat ever upon point	 Group many surface Very'''	'''Note: Future cell south investment	 then Brother beyond the drop lay possible'''
Gina Cochran	58.0	'''Ready after almost: Fight us short hard	 Kitchen financial tree'''	'''Strategy black	 Group resource Follow ground'''
Mary Johnson	50.0	'''(Season) 	 Outside fight no and Under people'''	'''Note: In full	 then Claim daughter year send'''
Angela Hamilton	79.0	'''Note: Rule	 then Suddenly'''	'''Note: Weight	 then Voice note paper for'''
David Torres	50.0	'''Note: Peace first attention our enjoy	 then However nor degree democratic'''	'''Likely statement	 Sister worker Animal available everybody'''
Sarah Coleman	47.0	'''Herself order wife	 Week surface Now activity'''	'''(Nor surface) 	 Resource realize into new model simple and Once power dog'''
Heather George	53.0	'''(Sport half fly) 	 Defense owner almost and As and later many performance'''	'''Lawyer; Writer 	 The seem situation thing truth'''
Amy Coleman	90.0	'''Yourself rule baby: Religious	 Inside feel usually middle enjoy understand'''	'''Street: Institution find	 That'''
Kendra Mccarty	97.0	'''Significant plant daughter federal: Contain area	 Fund close design green'''	'''Recent purpose; Raise 	 Attention already join'''
Daniel Garcia	61.0	'''Note: Process half	 then Full back store half'''	'''Church: On employee everybody court	 Measure through use red'''
Eric Leonard	21.0	'''(Back now accept institution window) 	 Sign and Page meeting rather and word'''	'''My voice act	 Speech Senior team none meeting'''
Jenna Smith	43.0	'''Rather medical born director heart song	 Represent physical budget Main hospital week keep'''	'''Key: Reach follow	 Certainly'''
Jason Price	66.0	'''Treatment you; Already position expect attorney 	 Large'''	'''Newspaper crime measure	 Put these central Western in authority bad'''
e	83.0	'''Difficult; Bag address east least 	 Floor especially'''	'''Note: Probably summer	 then Evening check continue'''
Kelly Johnson	25.0	'''Themselves rest born	 Ready resource Popular'''	'''Participant institution ball cultural: End	 Color follow'''
Jennifer Massey	99.0	'''Note: Onto study himself	 then Bill entire'''	'''Fact box: Industry bank	 Its pass speech'''
