username;name;total_count;comment
peter_jones_1442;Peter Jones;10.0;"""(Repellat quidem eligendi) ; Dolor iste beatae and Aspernatur aut"""
mr_white_7884;Mr Frank White;56.0;"""Minus ullam consequatur dolorem; Reiciendis ; In sint"""
stephanie_roberts_1412;Stephanie Roberts;7.0;"""Sit unde; Porro Ea est expedita"""
gerard_shepherd_8596;Gerard Shepherd;42.0;"""Officiis molestias reiciendis itaque necessitatibus; Sequi veniam hic Debitis deleniti quidem"""
elliott_owens_2941;Elliott Owens;40.0;"""(Voluptas libero repellendus earum neque reiciendis) ; Quidem dignissimos and Praesentium"""
yvonne_hopkins_5003;Yvonne Hopkins;3.0;"""Illo laborum tenetur fugiat; Repellendus Explicabo"""
rebecca_john_8391;Rebecca Mahmood-John;78.0;"""(Ipsa) ; Adipisci necessitatibus magnam eveniet and Placeat voluptates beatae autem libero quia"""
lindsey_turnbull_1833;Lindsey Turnbull;45.0;"""Corrupti itaque ipsa quis maxime maxime: Odit quos cupiditate similique corporis; Ea architecto maiores dignissimos"""
anne_king_5244;Anne Atkins-King;37.0;"""Maxime: Nesciunt consectetur praesentium; Quaerat laborum sunt"""
dr_law_2791;Dr Billy Law;82.0;"""Quas laudantium nobis; Quidem officiis cumque Illum ea perspiciatis eligendi quasi"""
dr_smith_4698;Dr Elliot Smith;29.0;"""(Alias) ; Non hic accusamus non hic architecto and Tempore blanditiis perspiciatis enim"""
damian_grant_0686;Damian Grant;20.0;"""Eligendi itaque: Tempore esse dolores; Quia"""
geraldine_thomas_4902;Geraldine Thomas;86.0;"""Note: Consequuntur eligendi doloremque optio provident; then Quasi beatae beatae"""
guy_ali_1898;Guy Ali;;"""Omnis beatae: Dolore natus neque; Molestiae quia corrupti inventore excepturi"""
samantha_wood_0955;Samantha Wood;20.0;"""(Sequi labore placeat et) ; Cum omnis molestias perspiciatis perferendis and Exercitationem"""
ms_power_5197;Ms Abbie Power;14.0;"""(Fugit ipsam corporis) ; Officiis corrupti soluta deleniti and Deleniti voluptatibus"""
keith_dixon_8953;Keith Dixon;84.0;"""Note: Vitae exercitationem suscipit ratione aliquam suscipit; then Quibusdam reiciendis"""
andrea_skinner_8357;Andrea Skinner;67.0;"""(Id laborum) ; Molestias and Nemo perspiciatis quia distinctio"""
dean_day_9103;Dean Day;18.0;"""Exercitationem nisi earum; Maxime optio quibusdam ; Libero possimus"""
frederick_miah_5695;Frederick Miah;30.0;"""Atque totam; Occaecati eos possimus ; Impedit dicta"""
gail_thomas_1623;l;12.0;"""Modi; Nobis et neque ; Ipsam eveniet unde illum veniam"""
pamela_clarke_8918;Pamela Clarke;88.0;"""(Placeat aliquam sequi eius nemo) ; Aperiam velit and Sequi rerum"""
sean_cameron_2383;Sean Cole-Cameron;11.0;"""Alias: Nostrum debitis molestiae; Voluptate a recusandae"""
dr_spencer_1864;Dr Dominic Spencer;3.0;"""Sapiente vero aperiam: Hic in; Dolor dicta"""
leon_smith_5905;Leon Smith;81.0;"""Eos minima iure; Maxime beatae consectetur Vero"""
liam_allen_5507;Liam Morgan-Allen;61.0;"""(Placeat culpa ullam nostrum) ; Magnam dolores perferendis and Animi ducimus et impedit optio recusandae"""
james_sinclair_1458;James Sinclair;95.0;"""Note: Neque; then Impedit vel"""
robin_green_5029;Robin Walters-Green;37.0;"""Iusto delectus consequuntur tempora dolore fugiat; Porro molestias saepe ; Numquam"""
francis_bradshaw_7832;Francis Bradshaw;58.0;"""Note: Modi quaerat ad sequi expedita doloribus; then Incidunt aspernatur veritatis non minus"""
barbara_patterson_5287;Barbara Patterson;77.0;"""Dolore; Exercitationem reiciendis illo asperiores Laborum earum sed doloremque"""
samantha_powell_5851;Samantha Powell;38.0;"""Dolorum: Quod; Praesentium quod possimus eaque"""
louis_john_0563;Louis John;4.0;"""Repellat consectetur error; Esse in vero Incidunt corporis placeat"""
dr_wells_5086;Dr Reece Wells;81.0;"""Perspiciatis ea architecto; Eaque rerum ab Nobis iste architecto ducimus amet"""
dr_giles_5058;Dr Leigh Giles;83.0;"""Alias; Ipsa voluptas hic ; Natus"""
mathew_chan_7734;Mathew Chan;6.0;"""Corporis debitis eos sint; Odio ; Facilis perferendis dolor"""
shannon_khan_2881;Shannon Khan;93.0;"""Note: Quas esse qui; then Molestiae qui deserunt"""
charlene_cameron_9863;Charlene Howell-Cameron;92.0;"""Fuga: Libero; Ducimus"""
alan_morley_7701;Alan Morley;85.0;"""Note: Possimus molestias; then Autem blanditiis perferendis iusto"""
hazel_cox_8148;Hazel Turner-Cox;2.0;"""Ipsa: Laudantium; Repellat veniam"""
hollie_taylor_2107;Hollie Taylor;39.0;"""Nulla ipsam; Eligendi illo aperiam ; Vel labore culpa eum"""
christian_cox_8265;Christian Cox;75.0;"""(Accusamus quasi) ; Odit vitae sunt and Eum aliquam cum"""
kayleigh_mitchell_0244;Kayleigh Mitchell;56.0;"""Laborum cupiditate distinctio natus eos: Alias; Vero"""
dr_pritchard_0497;Dr Ryan Pritchard;16.0;"""Voluptas delectus ea assumenda quam quaerat: Non id repellendus omnis ipsum dolore; Excepturi cupiditate"""
shane_johnson_8178;Shane Hodgson-Johnson;28.0;"""Laudantium ut: Inventore; Beatae eius nostrum"""
ryan_jones_4955;Ryan Jones;45.0;"""Aspernatur minima; Eveniet repellendus Assumenda rem placeat porro autem excepturi"""
