name,username,age,score,note
Eileen Allen-Gregory,eileen_gregory_3419,24.0,88.1,'''Ipsa eius: Sit fuga, Occaecati expedita'''
Joanna Foster,joanna_foster_8858,100.0,86.1,'''Labore maxime, Tenetur labore voluptatibus hic odio Ratione accusamus possimus laboriosam odit sequi'''
Claire Gallagher,claire_gallagher_1251,69.0,70.1,'''(Libero dolorum consequatur) , Dicta rerum odio and Iste hic'''
Dr Lewis Woods,dr_woods_6372,46.0,36.1,'''Note: Impedit iusto minus at quasi tempore, then Facere quidem itaque quia'''
Kimberley Thomas,kimberley_thomas_8483,22.0,30.1,'''(Velit) , Repudiandae veniam voluptatum and Quod amet enim excepturi dignissimos'''
Jane Howard,jane_howard_0040,92.0,100.1,'''(Minus) , Praesentium maiores and Optio suscipit reprehenderit culpa sapiente'''
Sara Harrison,sara_harrison_7591,20.0,36.1,'''Note: Perspiciatis, then Placeat suscipit nisi omnis'''
 ,dorothy_dixon_5101,42.0,43.1,'''Note: Adipisci totam illo, then Qui doloremque dolorem reprehenderit'''
Mr Albert Stevens,mr_stevens_9693,77.0,45.1,'''Excepturi inventore: Tempora tempore assumenda quam eaque, Veritatis numquam accusantium quis perspiciatis'''
Sally Andrews,sally_andrews_3211,60.0,59.1,'''Iste ut similique, Fuga commodi praesentium asperiores Fugiat beatae'''
Matthew Evans,matthew_evans_3425,33.0,23.1,'''(Quasi odio natus excepturi) , Accusantium and Quidem temporibus voluptate'''
Lindsey Metcalfe,lindsey_metcalfe_4775,,85.1,'''Note: Veniam, then Velit commodi aliquam eos'''
Lorraine Wood-Lee,lorraine_lee_0414,3.0,29.1,'''Aut sunt unde magni nemo quo, Omnis ad voluptate Libero voluptates atque assumenda dicta'''
Michelle Newman,michelle_newman_5033,32.0,3.1,'''Pariatur libero debitis veritatis: Repudiandae deserunt culpa vitae quibusdam numquam, Amet quia soluta saepe nulla'''
Dr Keith Lewis,dr_lewis_6807,19.0,91.1,'''Doloribus ut nam, Omnis earum architecto ullam unde Deleniti'''
Lauren Clark,lauren_clark_5986,29.0,94.1,'''Qui reprehenderit; Aspernatur quis ratione , Cum quaerat nemo inventore illum'''
Terence Kelly,terence_kelly_9872,79.0,3.1,'''Occaecati sunt, Vitae ducimus sed dolore necessitatibus Temporibus exercitationem magni eius'''
Sam Thomas,sam_thomas_4579,35.0,62.1,'''Excepturi nulla nostrum; Quia alias perferendis , Quos quos dolor'''
Ashleigh Marsden-Singh,ashleigh_singh_3569,31.0,,'''Asperiores; Beatae officia eum doloribus ipsam assumenda , Quis quam voluptates autem doloremque'''
Mohammad Campbell,mohammad_campbell_9586,29.0,93.1,'''(Consequatur nemo velit) , Et incidunt pariatur error and Voluptatem repellat ducimus'''
Dr Geoffrey Schofield,dr_schofield_6409,35.0,61.1,'''A ullam reiciendis, Maxime labore repellendus voluptate numquam Suscipit commodi doloribus'''
Miss Holly Williams,miss_williams_7163,22.0,16.1,'''Note: Laborum odio deleniti suscipit recusandae, then Mollitia dicta'''
Alice Jones,alice_jones_0770,70.0,11.1,'''Qui voluptates: Iure placeat, Vitae iste dolores optio'''
