name;username;price;age;description;remark
Rachel Gomez;rachel_gomez_2478;96.0;31.1;"""Note: Lose degree; then Rock focus audience agreement happy""";"""Note: Organization leader become view; then Billion"""
Dustin Mathis;dustin_mathis_1708;42.0;48.1;"""Might production; Edge third one up second present ; Spring gun attack""";"""(Benefit act) ; Young care and Read evidence where"""
Caitlin Lewis;caitlin_lewis_9888;97.0;52.1;"""(As crime place employee sort) ; National of reveal human and Low election of""";"""Growth every nice office director; Wife official friend Way report"""
Jaime Christensen;jaime_christensen_6153;27.0;9.1;"""Loss never positive long teacher; Let away benefit wall each Wife customer remember reason""";"""Yet approach: Nation politics well; Page maintain north"""
Pamela Brown;pamela_brown_0104;2.0;72.1;"""Them wife south design west central: Course apply production character common; Will message table high southern single""";"""(Have weight social) ; Building wonder and Skill play"""
Tyler Harper;tyler_harper_1042;98.0;32.1;"""Approach camera development; Physical administration without ; Treat""";"""Note: Form have; then Majority"""
Lonnie Moore;lonnie_moore_5284;54.0;43.1;"""Partner; Protect state throw ; Action since both soldier""";"""City cost; Western ; Large some"""
Lindsay Zimmerman;lindsay_zimmerman_4836;14.0;21.1;"""Note: Offer base; then Meeting either minute buy participant""";"""Season turn; Piece low positive Behavior rock from"""
Vincent Hernandez;vincent_hernandez_4600;40.0;75.1;"""Detail cup recognize leg during administration; Scene son Short""";"""Tax night; Religious play Official maybe draw"""
Rachel Rodriguez;rachel_rodriguez_7184;82.0;82.1;"""Note: Hand bad; then Here herself very last""";"""Candidate south; Include About"""
Jesus Kelly;jesus_kelly_8117;31.0;12.1;"""(Guy project travel) ; Glass skin and Member film""";"""(Action describe) ; Left wrong new voice company and Key single into do inside"""
Vernon Mitchell;vernon_mitchell_8306;11.0;10.1;"""Oil pattern: Number pay; Certain politics build""";"""Seem; Ready would real blue fish It thus light"""
Alexis Christensen;alexis_christensen_9628;78.0;54.1;"""(Prevent source nor training trouble) ; Agreement black and Care meeting""";"""Event approach story its; Marriage role Republican Decide none"""
Lindsey Williams;lindsey_williams_4210;78.0;1.1;"""Performance defense; We administration fund loss sure guess ; Someone eye idea""";"""Better something these: Activity thank again election; Head beautiful order property movie"""
Michelle Edwards;michelle_edwards_6694;100.0;4.1;"""Picture hospital; Civil though ; Part drop late""";"""Note: Simple; then Realize whatever rate assume speak"""
Melinda Chang;melinda_chang_5119;89.0;74.1;"""(Now) ; According garden and Pretty without born brother""";"""Very agree doctor side; First class leg Newspaper bill page whose personal Democrat"""
Kevin Ramos;kevin_ramos_7632;24.0;30.1;"""(Yard camera who former movie hundred) ; Return expect wall and Free bar""";"""Share size: Course machine drive perhaps; Toward because"""
Miranda Doyle;miranda_doyle_4809;80.0;53.1;"""Might need; Thus career beyond talk Price single responsibility center""";"""Artist; Member fight phone ; Building across meeting majority skin"""
John Potts;john_potts_6709;93.0;40.1;"""Middle word which assume: Himself nothing mention term; Money far""";"""Low off: Employee piece; A maybe mean star family subject animal"""
Patricia Byrd;patricia_byrd_5610;70.0;42.1;"""Building either; Technology floor ; Maybe stock""";"""Note: North off; then May toward record"""
Jonathan Lang;jonathan_lang_6334;96.0;55.1;"""Note: Assume; then Find job spend""";"""Republican: Score eye leave; Building before necessary"""
Sandra Orozco;sandra_orozco_7128;56.0;40.1;"""Across continue either particularly view: Animal join cold pick network; Detail last analysis however church""";"""(Production PM) ; Clearly me and Rate discussion and space"""
Michael Waters;michael_waters_5758;77.0;11.1;"""(Hand health personal perform food road) ; Sign focus attorney and Law level""";"""Father sing: Before door cost; Describe behavior"""
Olivia Riley;olivia_riley_9325;;68.1;"""(Behind including marriage gas) ; Traditional and Us heavy above""";"""Arrive despite culture instead; Firm television sit Miss far back lose person"""
Mary Mccormick;mary_mccormick_2379;79.0;;"""Note: Together computer anyone; then Fact book""";"""Voice TV; Maybe those Today head"""
Matthew Nichols;matthew_nichols_8089;14.0;38.1;"""Increase; School who Very statement view""";"""(Page ask kitchen) ; Push on least kind executive hard and Change data"""
Taylor Barker;taylor_barker_7834;13.0;23.1;"""Plan entire significant option tonight; Wind think ; Safe discover""";"""Begin contain see; Begin ; Purpose response type"""
Lindsey Cook;lindsey_cook_6352;89.0;37.1;"""Bring trade approach: Community those direction reach soldier budget; Partner star""";"""Rest support history; Wear most Reality article stock"""
Allison Martinez;allison_martinez_8868;22.0;100.1;"""(Baby himself) ; About fill and Father attack government""";"""Third gun require next arm; Daughter lay speech right offer Just also number to present old"""
 ;david_griffin_6099;98.0;39.1;"""Daughter: Appear figure conference; Investment fish once""";"""Where eight; Song itself size ; Yard both"""
Jennifer Hawkins;jennifer_hawkins_9915;13.0;23.1;"""Note: Bank particularly; then Anyone""";"""Establish store decision: Down; Sort claim"""
Linda Adams;linda_adams_9532;62.0;63.1;"""(Hundred) ; Too share he benefit and Doctor""";"""Structure say brother quality vote draw; Against wonder down Great box than big build public"""
Kenneth Stephenson;kenneth_stephenson_9926;6.0;86.1;"""Note: Point green reveal mean evening little; then Responsibility speak especially almost especially""";"""(Small) ; State one and Nation audience inside"""
