# This is a comment line to skip
username,name,score,age,rating,comment,message
melissa_williams_2392,Melissa Williams,1.0,89.1,18.2,"""Democrat smile: Next rate charge, Focus respond why more""","""Matter offer throughout message method, Out win state animal toward Chair wife cold still"""
joanne_davis_8230,Joanne Davis,52.0,66.1,68.2,"""(Since American film they some) , Quality wide enough set and Tv east measure""","""Painting; Leave place their list moment kitchen , Environmental foreign manage"""
scott_anderson_8463,Scott Anderson,49.0,37.1,3.2,"""Note: Director listen, then North part option ground""","""Always get student popular likely, Computer effect item rest analysis Whether lawyer story"""
elizabeth_zavala_3794,Elizabeth Zavala,83.0,81.1,58.2,"""Specific upon; Answer hit less , Option administration""","""Nor whose industry involve; Maintain voice movie TV lead old , Industry bit figure"""
helen_lamb_8693,Helen Lamb,85.0,35.1,17.2,"""Often customer north, Foreign center study while Law history""","""Because western build, Financial last over Military"""
jennifer_jones_1155,Jennifer Jones,21.0,60.1,20.2,"""Six tell find: The address send gun list ago, Hospital""","""Often already understand; Remain physical population , Behind"""
meghan_williams_2349,Meghan Williams,71.0,45.1,25.2,"""(Everyone away) , Idea collection make and Save""","""Everyone: Something, Number high require loss perhaps"""
colleen_pearson_9986,Colleen Pearson,71.0,80.1,36.2,"""Marriage manage tax; That church difference American , Together address down nation sort""","""Range story whole pull catch, Stock require central and Future safe this policy player country"""
andrea_wilson_6036,Andrea Wilson,86.0,7.1,29.2,"""Structure truth: Fund determine, Within moment answer simply""","""Strategy medical: Station board remember fine study feel, Election"""
david_hill_9156,David Hill,62.0,80.1,42.2,"""Laugh court left coach; Action customer , Total other""","""Note: Represent book account community, then Indicate operation magazine window"""
robert_stanton_3050,Robert Stanton,23.0,24.1,100.2,"""(Fish) , Continue and However billion similar""","""Note: Worker modern at so often, then Material raise"""
stacie_mcdonald_1311,x,36.0,25.1,97.2,"""Field sing source race word prepare network: Degree defense none, Easy sell trouble military will different""","""Body allow form history land; Treatment skin strong , Source leg thousand"""
alan_phillips_6478,Alan Phillips,33.0,,93.2,"""Campaign teach usually over; Peace source assume soon production store , Purpose particular doctor""","""Beautiful while act: Present my enough, Born fear dream"""
sharon_cortez_1296,Sharon Cortez,27.0,27.1,65.2,"""(Test culture ready medical enter) , Fall court six itself and Pay article who know""","""(Me people color) , Own truth and Career task even focus likely"""
michelle_king_4241,Michelle King,66.0,27.1,75.2,"""Note: Environment friend, then Impact section grow religious degree TV""","""Film, Miss political Economy effort large"""
daniel_whitehead_8670,Daniel Whitehead,10.0,47.1,81.2,"""Note: Life system practice garden, then Public look suggest whatever people theory""","""(Score partner) , Hotel grow guy walk and Which"""
francis_freeman_5850,Francis Freeman,29.0,71.1,7.2,"""Authority focus; Tell leader create , Student certainly week""","""Read writer: Much easy without, Expert popular"""
travis_rodriguez_4126,Travis Rodriguez,100.0,63.1,,"""Note: Look artist off, then Feeling cell""","""Here southern perform: Customer area, Perform"""
michele_walton_9042,Michele Walton,33.0,100.1,44.2,"""Note: Involve former politics fire, then Put""","""Miss parent: Him husband social join garden, Account find"""
christopher_smith_9880,Christopher Smith,16.0,52.1,3.2,"""Should spend personal box challenge, Amount high beautiful truth cause line Art result finally another near respond various""","""(One able soldier early range) , With impact movie small staff husband and Cut many area write listen nice"""
nicole_houston_1864,Nicole Houston,24.0,31.1,98.2,"""Tv, Could trip West pick""","""Democratic: House increase movie, Order movement professional trip"""
monica_brown_2768,Monica Brown,,58.1,14.2,"""Note: Arrive certainly ago, then Two any pattern claim social""","""Someone leg; Short until citizen , Effort we seat"""
kimberly_taylor_3987,Kimberly Taylor,92.0,35.1,62.2,"""Choice phone: Small onto including compare ten soldier, Here whole story central market""","""Maybe bit building ever feel seven, Reach enjoy painting nothing stay forward Skill size center two easy decide"""
breanna_allen_9257,Breanna Allen,68.0,25.1,35.2,"""Involve you: Hotel true owner similar, Believe glass know""","""(Cultural step six season) , Something toward significant consider and Including head"""
brett_white_3370,Brett White,5.0,6.1,31.2,"""Finish style: Professor girl, Probably than""","""(Before learn record arm international) , Attack and Speak money want"""
dana_armstrong_1517,Dana Armstrong,88.0,1.1,99.2,"""(Over per collection wonder worker) , Form drop and Responsibility main practice statement affect""","""Note: Forward identify probably over close, then Feeling"""
andres_chen_8767,Andres Chen,24.0,92.1,35.2,"""Note: Method national candidate, then Room oil""","""(Sort prove board) , Toward year respond statement look yard and Unit affect"""
