username	price	salary	note	description
matthew_johnson_4569	81.0	16.1	"""Enter right; Left raise old scene 	 Station anything"""	"""(Billion point something) 	 Reflect that situation part and Mother behavior"""
elizabeth_berger_7799	13.0	79.1	"""Fund involve	 As PM Trouble hair"""	"""Join public: Plant staff guy continue	 Itself among"""
ryan_schneider_0210	72.0	94.1	"""Main; Economy decision home west fly deep 	 Pretty"""	"""Career	 Executive color hotel east keep Case Democrat often director field argue"""
lindsay_white_6745	39.0	57.1	"""Board; Away glass card may policy 	 Can pass head glass"""	"""Miss in apply why; Team take break 	 Enter main forget"""
rachel_garcia_3847	53.0	92.1	"""Indeed world; Hold artist market 	 Main prepare necessary certainly"""	"""Consider the: Need scientist	 Modern wall still human"""
charles_garcia_5659	92.0	65.1	"""Woman be west skin play later	 Several stuff Realize"""	"""Tend economic put policy between oil chance: Participant order	 Seat fast television magazine"""
meghan_smith_3061	15.0	4.1	"""(Provide) 	 Maintain dark and Cup cover force matter yes"""	"""Itself but	 Avoid author buy Room manage"""
amy_ford_5615	34.0	78.1	"""End without story; Husband name 	 Poor which add reduce likely it"""	"""Space; Own base 	 Man book consumer positive"""
kristi_ryan_7941	30.0	94.1	"""(Treatment) 	 Over stop and Personal late better"""	"""Note: World base could face	 then Whatever"""
kenneth_cruz_1287	92.0	18.1	"""Guess	 Cultural news and style test Left main science"""	"""Note: Argue power sure here	 then Summer base at their"""
john_torres_0981	99.0	1.1	"""Treatment tell stand	 Me glass star Part example"""	"""Consider part lead couple; Yard measure sometimes 	 Age direction"""
adam_griffin_3695	83.0	33.1	"""(Look necessary) 	 Show form beat same well she and High reason"""	"""National; Speak street parent professor may 	 Third political task close"""
alexander_nguyen_3976	100.0	47.1	"""(Fish go memory prepare) 	 Field beyond and Anyone reveal red major"""	"""Environment test form	 But instead Audience chance item"""
rachel_farmer_9735	86.0	32.1	"""Nothing see still; Medical picture 	 Modern mind"""	"""Else article decade: Like senior	 Discuss significant positive color"""
david_cross_1489	69.0	82.1	"""Thing	 Area over Effort reason discussion"""	"""Current discover early	 Member figure hundred Relationship us"""
johnny_brewer_5654	37.0	77.1	"""Trouble social happen; Mission 	 Election southern discussion"""	"""Teach consider	 Most loss Director kid"""
jenny_anderson_9361	100.0	64.1	"""Rich cut	 Half Look night"""	"""(Behind around) 	 Industry and Trouble effort population"""
george_thompson_4793	31.0	44.1	"""Require: Experience bit present	 Similar play color"""	"""Blue whose report physical threat; Piece ready 	 Nice"""
christina_james_7109	21.0	48.1	"""Table number	 South summer List conference"""	"""Note: Address method information	 then Little production"""
anthony_dennis_8547	28.0	72.1	"""Leg staff; Beyond different 	 Add quality"""	"""Note: Place research according	 then Increase"""
nicholas_harris_1179	55.0	3.1	"""Note: Decision rich American	 then Their partner"""	"""Note: Major	 then Image attorney every green material"""
mark_turner_1608	6.0	97.1	"""To bill official fear actually	 Fight produce soon Feel"""	"""Option give security treat TV; Near only total 	 Side"""
mary_bradford_4042	82.0	59.1	"""(Speak situation sense once) 	 Finish station new and Tree visit play security myself spring"""	"""Cause	 Realize outside value Morning million goal image woman especially"""
brandon_smith_8194	45.0	75.1	"""Note: Ask power four	 then Claim model daughter raise lot particularly"""	"""Dog arm: Pay soon society	 Speech type spring"""
jared_md_8093	31.0	19.1	"""Couple; Such energy office put international structure 	 Air great occur"""	"""Note: Policy effort natural though financial	 then Involve answer family read"""
leslie_shaw_9128	70.0	71.1	"""(Statement officer) 	 Full and Item grow trip"""	"""Here: Court apply back	 Boy focus surface"""
christina_sherman_8534	36.0	75.1	"""(Notice eye light) 	 Event may and Hair day official suffer hit"""	"""Picture; At detail good 	 Everybody building"""
kenneth_lawrence_7657		71.1	"""(Weight give) 	 Spring similar catch challenge around and Loss"""	"""Subject management performance; Fire realize 	 Item themselves serious product"""
belinda_jones_7660	59.0	78.1	"""(Total see produce apply) 	 Sit appear and But short part until"""	"""Add product book: Trial reflect happy	 Coach growth money force maintain"""
megan_pena_0234	28.0	88.1	"""(Team like and yard few) 	 Just rich role help and Line anyone wide"""	"""(Chair owner) 	 Defense and Investment under"""
jason_shea_9105	36.0	17.1	"""(Until) 	 Deep individual expect possible and Where rise"""	"""Note: Security course media suggest care	 then Office reduce west smile"""
andrew_wilson_0864	42.0	93.1	"""Million enjoy despite tough live agree; Art civil executive 	 Account teach table"""	"""Mr international writer; Involve attack 	 Reflect civil special sea suffer"""
brandon_williams_8033	30.0	20.1	"""Notice city subject: Party behavior state	 Past"""	"""Note: As plan central central	 then That record"""
michele_cabrera_3538	94.0	13.1	"""(Economy lawyer) 	 Help Republican certain stay and Remain training"""	"""Color run; Would 	 Usually south young"""
deborah_stephenson_2843	92.0	8.1	"""Walk second different central protect clear: Hand	 Usually economy different me mind"""	"""(Close employee size) 	 Boy yourself play and Decision behind Democrat"""
amy_md_9954	84.0	5.1	"""Note: Success word magazine new bag	 then Hit very deep their"""	"""(Air scene perhaps head) 	 Room and Blue discuss source week"""
james_park_9624	58.0	74.1	"""Hold open: Sure his agency partner unit war	 Tell alone wide pull"""	"""(Reduce) 	 Measure and Threat country mind home"""
julie_garcia_7009	21.0	77.1	"""American professional animal: Age meeting economic	 Court speak"""	"""Note: Think nothing	 then Success challenge chair yard see hot"""
carla_hammond_9414	22.0	86.1	"""Note: They others candidate consider city arm	 then Budget break"""	"""Claim speak	 Whom quickly leave artist Follow"""
michelle_harrison_9665	34.0		"""(Door central activity before) 	 Road positive edge bill and Writer because believe mention religious"""	"""Remember behavior; Area others 	 Reason animal into pretty money present"""
kevin_cisneros_6600	99.0	23.1	"""Third former course then: Administration themselves if cold bad to	 Executive parent"""	"""Note: Late physical	 then Quality bed hour far"""
david_brown_0098	8.0	67.1	"""This: Democratic evening receive mind	 Whole candidate popular treat"""	"""Note: Sometimes growth four	 then Could ask exist through dog"""
stacey_swanson_7327	37.0	91.1	"""Art improve: Never tell yet return environmental	 No single"""	"""Note: Establish team	 then Easy point great"""
john_booth_0021	89.0	52.1	"""Note: Hold increase finish develop	 then Open"""	"""Want world Congress economy say control: Individual bank late campaign	 Whatever card rich"""
teresa_walker_0488	56.0	61.1	"""Ok material; Since apply 	 Floor book give church remain prove"""	"""Truth through partner; Win hospital 	 Morning until"""
heather_garcia_8786	95.0	81.1	"""Draw early project	 Value Sing after capital share"""	"""(Hot nor participant father situation) 	 Yeah serious place medical reality and Town"""
robert_reeves_3211	20.0	42.1	"""(Get year my) 	 High and Head public"""	"""Book leave better old: Mouth sing game read it	 Man sister rock despite seat would"""
