# This is a comment line to skip
username;name;age;rating;summary
robin_arellano_3358;Robin Arellano;17.0;4.1;"""Long later wife professor great; Black other back ; Sea bar record focus"""
katrina_mason_9633;Katrina Mason;;78.1;"""Collection particularly dinner; Actually word go hour must rich ; Establish reduce"""
jeffrey_joseph_2621;Jeffrey Joseph;36.0;35.1;"""Public civil as cultural easy: Beyond because response; And worry"""
margaret_kelley_1326;Margaret Kelley;82.0;41.1;"""Note: I; then Beyond"""
sheri_mcgrath_9054;Sheri Mcgrath;51.0;25.1;"""Fill all college; Western where Herself husband"""
tyler_rogers_9774;Tyler Rogers;45.0;;"""However heart; Wife be open ; Suffer middle food"""
sharon_fernandez_9265;Sharon Fernandez;26.0;68.1;"""(Wind church attorney peace) ; Politics and Care affect"""
austin_watson_5755;Austin Watson;11.0;46.1;"""Note: Event themselves break but high attorney; then Picture its level read wind worker"""
dustin_smith_5509;Dustin Smith;6.0;89.1;"""Able: Nice know argue; Benefit generation"""
michael_williams_5186;Michael Williams;43.0;14.1;"""Note: Impact business; then Party describe game yourself"""
rodney_nelson_6993;Rodney Nelson;77.0;36.1;"""Language compare upon north need; Buy stage System within size another current"""
lisa_bailey_9414;Lisa Bailey;8.0;53.1;"""Least party: Pull; Fill actually teach"""
joseph_poole_4858;Joseph Poole;30.0;28.1;"""Measure travel foot; Require half room billion design ; Think big real"""
kimberly_padilla_3573;Kimberly Padilla;6.0;68.1;"""Note: Pressure save throughout all example cell; then Reduce well service push usually camera"""
james_hopkins_8503;e;75.0;57.1;"""Note: Might; then Note turn his change education"""
david_williams_4379;David Williams;81.0;58.1;"""Still hit job; Between add ; Better her"""
tiffany_martin_8373;Tiffany Martin;85.0;14.1;"""Mr fight: Religious scene section community; Citizen one"""
david_turner_9110;David Turner;93.0;57.1;"""(Dream already) ; Discover me section stop and Former small wife special contain"""
marissa_travis_0161;Marissa Travis;30.0;76.1;"""Will world talk under world; To decade Opportunity great identify"""
erin_watson_0734;Erin Watson;85.0;23.1;"""None; Share leave cell again better return ; Grow people everybody"""
