# This is a comment line to skip
name,score,salary,summary
Donna Morton,48.0,13.1,'''Consumer: Them, Over network news'''
Theodore Wallace,36.0,27.1,'''(Time phone enter) , Source ago already and People owner be'''
James Kirk,71.0,54.1,'''Money high notice challenge: Property wait continue, Specific economic'''
Gary Sherman,81.0,2.1,'''Guy then word, Institution resource Number white upon life'''
Victoria Johnson,80.0,91.1,'''Trade spring; Simply stuff wall rock well care , Understand find team'''
David Watson,43.0,73.1,'''Society start available foot; What away , Write people from agree'''
Kenneth Blanchard,27.0,36.1,'''If occur; Purpose believe society , You likely yeah hour today'''
Andrew Young,86.0,,'''Nation himself large, Age opportunity these beyond Specific Mrs'''
Gabriel Gonzales,49.0,5.1,'''Yes skill appear, Vote Congress A someone identify least'''
Amanda Barnes,33.0,83.1,'''Significant pull, Statement truth Fast prove reveal'''
Nancy Peterson,88.0,60.1,'''Quite, Something plan body total return Growth challenge'''
Sara White,100.0,75.1,'''Song operation sound: Another question thousand, Door commercial image'''
Kim Thompson,35.0,46.1,'''Note: Where his color, then Sign now'''
Justin White,55.0,28.1,'''Short one glass, Glass shoulder score standard None chair energy'''
Calvin Matthews,,86.1,'''Note: Expert fact, then From base factor list'''
Michele Barnes,67.0,58.1,'''Religious add, Ability brother commercial General media yeah message'''
x,16.0,21.1,'''(Natural heavy visit) , Back and Movie rock'''
Krystal Miller,11.0,45.1,'''Follow site great blood: Past even, Together figure wrong'''
Brandy Johnson,75.0,99.1,'''Our: Sea product official, Born'''
David Morris,72.0,38.1,'''(Goal among ball) , Audience and Choose record compare'''
Brian Anderson,97.0,75.1,'''Note: Cultural responsibility picture month, then Popular sometimes'''
