name;username;rating;score;age;comment
Elizabeth Allen;elizabeth_allen_9861;41.0;18.1;68.2;'''Quality hair chair strategy stage: Others several choose quickly fact; Least must box next'''
Robert Schwartz;robert_schwartz_2178;37.0;72.1;77.2;'''Quickly west amount spend; Next require until already subject ; As'''
Jeffrey Chung;jeffrey_chung_4280;60.0;64.1;32.2;'''Raise father; Fact ; Coach major'''
Ashley Hardy;ashley_hardy_2833;48.0;96.1;15.2;'''Note: Wide; then Until'''
Kimberly Fuentes;kimberly_fuentes_9751;;22.1;31.2;'''(Station in) ; Reach analysis degree protect and Turn'''
Samuel Mason;samuel_mason_7241;17.0;57.1;30.2;'''(Turn information government series) ; Represent south most among TV specific and Including until'''
Anthony Howard;anthony_howard_9839;7.0;48.1;85.2;'''Note: Seek certainly indicate conference start; then Government response'''
Michael Nelson;michael_nelson_9408;91.0;71.1;43.2;'''(Face letter social manager type man) ; Opportunity year friend and Region approach want operation community'''
Larry Price;larry_price_7134;34.0;27.1;30.2;'''(During contain) ; Yard remember choice husband fly and Accept sometimes draw'''
Lee Allen;lee_allen_6187;54.0;40.1;4.2;'''(Address rate eat) ; When beautiful and Part voice Democrat'''
A;yolanda_saunders_7193;83.0;42.1;3.2;'''Note: American control accept relationship; then Vote resource'''
Laurie Williams;laurie_williams_0509;95.0;62.1;71.2;'''Suddenly tough decide deal; Nice know no spend ; Involve finish condition opportunity note page'''
Nicholas Thomas;nicholas_thomas_7384;38.0;39.1;55.2;'''Street send government; Data task suggest Over though'''
Karen Rodriguez;karen_rodriguez_1519;89.0;89.1;48.2;'''Note: Key war rather woman animal; then Writer'''
Melissa Benitez;melissa_benitez_1123;77.0;71.1;5.2;'''(Able his determine house) ; Amount require measure on and During benefit'''
Henry Kim;henry_kim_6028;93.0;62.1;;'''(Eat toward) ; Might thought activity than camera and Institution executive guess sort indicate'''
Jeffrey Ortiz;jeffrey_ortiz_4116;65.0;91.1;28.2;'''Meet letter: Need why analysis; Soon both'''
Keith Beasley;keith_beasley_5957;93.0;46.1;50.2;'''(Less star) ; Mean support and Right when structure expert'''
Amanda Smith;amanda_smith_7163;82.0;36.1;47.2;'''(Baby) ; Final and Citizen stock significant at'''
Adam Hoover;adam_hoover_3728;98.0;60.1;50.2;'''(Ground new ask develop) ; Yet race general trial and Enjoy'''
Latoya Hensley;latoya_hensley_6067;89.0;26.1;42.2;'''Note: Particular not land page; then Nor never day Mr front'''
Christopher Walsh;christopher_walsh_0953;45.0;92.1;17.2;'''Adult again majority: Set; Type music'''
Matthew Shah;matthew_shah_2963;9.0;31.1;7.2;'''Travel close finally forget financial and; American mention ; Despite'''
Jasmine Evans;jasmine_evans_3735;13.0;38.1;63.2;'''(Mouth memory politics industry notice) ; Collection use home enter father style and Fight'''
Denise Day;denise_day_4011;45.0;38.1;46.2;'''State fall: Movement artist meet; Trial'''
Kevin Ford;kevin_ford_8019;69.0;43.1;10.2;'''Note: Process; then Allow five low building'''
David Smith;david_smith_4291;95.0;7.1;22.2;'''Worker like: Fire name; Itself behavior everything'''
Thomas Moreno;thomas_moreno_6202;62.0;59.1;56.2;'''Note: Open worker; then Which suffer dark hold'''
Dominique Meyer;dominique_meyer_4193;84.0;81.1;9.2;'''(He company consumer shoulder) ; Church happy president and Mouth'''
James Clark;james_clark_2140;35.0;86.1;99.2;'''Training attention; Specific bed rich ; Approach north less'''
Roger Hines;roger_hines_0898;12.0;59.1;74.2;'''Every: Tell respond; Thank'''
Kyle Robinson;kyle_robinson_7505;85.0;93.1;72.2;'''All record; Set case ever ; Position'''
Heather Coleman;heather_coleman_3923;41.0;;46.2;'''Growth parent; Rock Receive research'''
Kevin Hawkins;kevin_hawkins_0580;47.0;49.1;2.2;'''Section what far; Animal market pick Policy management'''
Matthew Hahn;matthew_hahn_5553;66.0;70.1;20.2;'''Suggest without; Decade none table church Make much'''
Brett Moore;brett_moore_7654;85.0;19.1;73.2;'''Note: Story floor past word at; then Model'''
Dr. John Thornton Jr.;dr_jr_2008;41.0;14.1;33.2;'''(Choice class notice) ; Traditional military explain lead believe and Amount toward'''
Jamie Hill;jamie_hill_1342;10.0;66.1;88.2;'''Tonight keep order prepare prepare southern: Interesting memory hold huge; Southern rock'''
