# This is a comment line to skip
name;rating;age;salary;message
Larry Wells;49.0;20.1;20.2;"""(Total wish continue) ; Another recent and Machine stage"""
Debbie Jones;26.0;70.1;9.2;"""(Tell popular) ; Fine late least attention small billion and Together now"""
Alexandra Medina;39.0;84.1;57.2;"""Too dinner: Government bed college; Hotel billion"""
Joshua Skinner;85.0;26.1;11.2;"""Require show high; Seem Save back"""
Eric Foster;57.0;16.1;26.2;"""(Century arm hit) ; Low discuss employee only and Action government difficult"""
George Mcdaniel;84.0;;24.2;"""(Religious ahead) ; Individual information and Bed"""
William Cooper;65.0;67.1;30.2;"""International staff pattern; Discover ; Break fast before"""
Heather Farmer;77.0;93.1;53.2;"""Power increase: Why plan firm; Consumer house newspaper"""
Mariah Gilbert;75.0;58.1;16.2;"""Note: Health society; then Believe"""
Mark Lewis Jr.;49.0;90.1;79.2;"""(Civil magazine kitchen) ; Accept both they and Kid break"""
o;70.0;59.1;91.2;"""Article think success force maintain season; City culture everyone Toward court but image sea computer"""
Shawn Stanley;2.0;17.1;1.2;"""Resource why science: Design image think; Little strategy real"""
Ashley Ortega;62.0;21.1;15.2;"""Station management: High third edge; Decision sister thousand American left"""
Gary Taylor;16.0;50.1;16.2;"""Outside pretty hot; Place painting police ; Table and yet"""
Brian Bean;99.0;68.1;86.2;"""Yard war north machine old; Explain seem build ; North alone measure smile"""
Richard Dawson;93.0;86.1;16.2;"""(Include record education) ; Few business goal number and Foreign religious"""
Shawn Walker;25.0;33.1;55.2;"""Leader door window; Direction financial through list any Him between"""
Darin White;73.0;40.1;46.2;"""Maybe notice poor difficult; Simply Majority career bed"""
Jasmine Bauer;81.0;80.1;88.2;"""Note: Compare through; then Decision camera report can serious"""
Misty Clarke;95.0;4.1;95.2;"""May pretty; Quality letter Home me"""
Jonathan Huber;21.0;39.1;53.2;"""(Instead sing) ; Edge and Arm Mrs you"""
Ashley Mccoy;69.0;37.1;71.2;"""(Authority) ; Century and Blue study late window finish"""
Victor Graves;21.0;87.1;42.2;"""(Worker position then) ; Off and Democrat"""
Todd Haynes;6.0;88.1;59.2;"""Size: Will; Direction or a piece"""
Nicholas Boyd;34.0;33.1;81.2;"""Sell smile official as seem; Bill few make Always"""
Erika Oneal;41.0;41.1;43.2;"""Note: Bank baby center school; then Walk"""
Jennifer Anderson;70.0;73.1;69.2;"""Responsibility; Town ground program together term Reduce off"""
Roy Gentry;48.0;21.1;75.2;"""Note: Garden situation Democrat; then Politics region put help relate"""
Brad Thompson;17.0;1.1;76.2;"""(Indeed north various shake safe) ; Around floor and Ago road daughter happen"""
Rodney Cruz;;66.1;46.2;"""Score form; Discuss decade whether ; Every baby store key expect"""
Matthew Garcia;67.0;7.1;39.2;"""Tree technology; By interesting ability Pull improve"""
Lee Velasquez;84.0;93.1;32.2;"""Note: Exactly force college so watch; then Choice institution name sea inside"""
Timothy Jackson;31.0;36.1;29.2;"""Know live; Six realize ; Information forward"""
Christopher Gonzalez;89.0;18.1;67.2;"""Everything mouth claim; Alone too set modern sometimes course spend Finally anyone responsibility"""
Andrew Adams;36.0;80.1;14.2;"""Third place: Population community plan simple; Heart imagine some"""
Kevin Warren;97.0;20.1;;"""Officer here; Parent action ground Skill"""
Mark West;74.0;60.1;50.2;"""(Pretty) ; Together administration national and Interesting miss fine individual sometimes"""
Richard Peterson;92.0;26.1;5.2;"""National authority school: Participant knowledge edge type; Very couple free degree move happy"""
Dustin Lewis;36.0;77.1;58.2;"""(Most bed) ; Shake low and Along score"""
Christina Jenkins;21.0;21.1;8.2;"""Degree something; Rise history Organization later indeed fund"""
Madison Ortiz;90.0;92.1;68.2;"""Bar commercial pick: Level force; West another"""
Jose Baxter;16.0;98.1;95.2;"""Man current anything; Front ; Fly particular thank"""
Rick Garcia;7.0;60.1;32.2;"""Recently pattern: Agent administration; Project sea former sort"""
John Mcgee;68.0;76.1;76.2;"""Wear read drop management; Set sometimes theory ; Two get treatment must"""
Ricardo Waters;22.0;86.1;25.2;"""As often better else; Call ; Responsibility"""
Jeffery Rhodes;73.0;61.1;93.2;"""(Wonder break store) ; During and Really"""
Victor Pham;18.0;29.1;17.2;"""(Factor base) ; Of and Know"""
