# This is a comment line to skip
username;price;score;summary;description
zoe_farrell_4398;42.0;;"""Consequatur soluta: Esse; Veniam deleniti ex esse""";"""Aspernatur voluptate; Repellat sapiente maxime Culpa blanditiis"""
billy_payne_2364;46.0;3.1;"""Nam; Libero porro corporis delectus temporibus Minus hic maiores voluptatibus""";"""Iure pariatur quas; Deserunt accusamus officiis ; Porro nobis nulla doloribus dignissimos"""
dr_barber_0128;38.0;58.1;"""Beatae dolorum; Odio quo Occaecati optio tempora""";"""Minima ex dolor: Distinctio soluta; Expedita cum nostrum esse commodi"""
miss_martin_1516;79.0;36.1;"""Maxime totam voluptate quis dolore; Eos quidem nobis culpa Optio incidunt""";"""Note: Reiciendis doloribus; then Rem tenetur laboriosam"""
carol_woods_5631;28.0;9.1;"""(Libero nemo) ; Sapiente alias and Repellat""";"""Animi deleniti: Voluptatem culpa beatae; Illo enim possimus similique nisi vitae"""
maurice_preston_7202;42.0;31.1;"""(Necessitatibus harum inventore ut) ; Sint minus dolorem and Ad quidem consectetur""";"""(Tempore debitis inventore) ; Enim iste and Ratione vitae"""
mr_middleton_7931;1.0;59.1;"""Note: Illum rem accusamus aperiam cum; then Earum reiciendis""";"""Aperiam id; Odio pariatur repellat ; Libero sit aspernatur"""
claire_gill_0435;12.0;86.1;"""Note: Aperiam; then Debitis voluptatem nam eveniet nemo""";"""Note: Consectetur voluptatum; then Vitae est"""
mr_wilson_5211;99.0;37.1;"""Laboriosam minus; Nobis ; Adipisci accusamus vitae molestias natus voluptate""";"""Note: Eum facere; then Vero fuga nisi aliquid aliquam accusamus"""
hugh_davies_1996;91.0;96.1;"""(Necessitatibus placeat qui cumque ducimus) ; Facilis dolore quam necessitatibus illum maiores and Aperiam necessitatibus placeat impedit""";"""Sapiente corporis autem: Officia molestias reiciendis a possimus; Nulla aut"""
philip_brown_0712;49.0;24.1;"""Eveniet quo cumque: Aut rerum minus; Aliquam nihil suscipit cum impedit""";"""(Impedit) ; Dolores and Eveniet"""
sara_thompson_1071;21.0;68.1;"""Note: Porro quibusdam fugiat est eveniet alias; then Nesciunt officiis quos""";"""Quae: Accusantium ducimus esse consequuntur id non; Laborum quasi neque nam tenetur"""
