# This is a comment line to skip
name;rating;salary;age;description
William Rose;42.0;17.1;83.2;'''Any away song; Dream something audience Laugh price change'''
Lauren Thompson;26.0;68.1;88.2;'''General ten form: Blood collection positive; Idea bit debate suffer mean draw'''
Jennifer Lucas;11.0;85.1;36.2;'''Political myself about: Low American cold north; Mission out anything'''
Brittany Cochran;23.0;25.1;18.2;'''Attention several network these issue state: Color today despite; Indeed last information cut'''
Noah Johnson;46.0;39.1;3.2;'''(Phone pay I establish) ; Myself beyond and West shake job'''
David Ross;76.0;;73.2;'''Study ground; Beyond build speak ; Surface already bed end'''
Kelly Sanchez;18.0;95.1;14.2;'''Note: Pm if image town; then Ball it day'''
Edward Davis;85.0;60.1;86.2;'''Until clear; West ; Of attention either book since information'''
Nicholas Kemp;94.0;25.1;21.2;'''(Do yet) ; Pick movie and Nor teach these consumer ahead establish'''
Amy Gilbert;75.0;77.1;49.2;'''Use; Relate ; Must century produce risk dinner'''
Wendy Fernandez;55.0;56.1;51.2;'''(Line than) ; Family bring son and Trial'''
Mckenzie Weaver;14.0;43.1;96.2;'''Commercial room long: Again; Ahead drop half former'''
Michele Medina;;70.1;71.2;'''Believe: Hundred view; Successful sense hour you'''
Allen Jackson;5.0;97.1;52.2;'''Buy prevent share side; Agency nor adult state over Notice project'''
Larry Woodard;21.0;60.1;18.2;'''Something myself; Finish college note experience notice sport ; Pm'''
Nathan Harper;37.0;76.1;73.2;'''Similar fund him fill; Seat me despite their one ; Bank trial'''
Marvin Carpenter;89.0;10.1;27.2;'''Remain likely fall alone: Forget security difference condition they may; Analysis professor able yeah'''
Melissa Glenn;64.0;9.1;3.2;'''Note: Might north minute choice fine; then Now protect front product'''
Julie Grimes;19.0;37.1;38.2;'''Owner base; Floor light Newspaper'''
Larry Chung;35.0;27.1;93.2;'''Decide although do matter production: Hold value reflect add; Much assume woman'''
Teresa Lopez;98.0;64.1;95.2;'''Minute which among must; Wrong ability ; Girl spend'''
Joanne Campbell;94.0;82.1;77.2;'''Believe: Many above; Eye check'''
Gary Johnson;20.0;37.1;59.2;'''Note: Meeting; then Art improve detail light'''
Ryan Bradshaw;65.0;20.1;15.2;'''Give recognize off: Life group; Onto federal'''
Mark Wright;58.0;74.1;51.2;'''(Trouble art) ; Sing foot yet day receive and But'''
Joel Payne;50.0;89.1;3.2;'''Camera simple; Way continue appear similar social ; Effect form'''
Jennifer Brewer;92.0;89.1;71.2;'''(May determine protect the) ; Theory remain however meet task and From gun'''
e;62.0;62.1;100.2;'''(Remember wall other benefit local) ; Scientist and Word less size'''
Jonathan Gonzalez;80.0;79.1;99.2;'''Note: Affect; then Education teach book century'''
Taylor Vang;16.0;13.1;88.2;'''Explain me kind several home; Old Child fear glass'''
Alexandra Mccormick;4.0;43.1;79.2;'''Reveal shake: Food bar media push; Some perform check people movement'''
Andrew Drake;60.0;58.1;61.2;'''Much summer west; Management recognize test resource stock growth ; Feeling site us'''
Amanda Wright;38.0;61.1;6.2;'''Increase: Way season human; World'''
Todd Wright;77.0;2.1;49.2;'''(Evening successful senior) ; Teacher and And impact price'''
Benjamin Waters;77.0;92.1;88.2;'''Animal performance; Fish first ; Center'''
Jennifer Rodriguez;1.0;81.1;85.2;'''Reach; Worker sound red Everyone they tell or'''
Kimberly Trevino;55.0;67.1;91.2;'''Available sister dark: Year serious fire stop; Officer join away Mr'''
Karen Taylor;7.0;38.1;81.2;'''Trial resource protect; Present feel organization individual style ; Several lead myself again'''
Andrew Mathis;91.0;11.1;93.2;'''Note: Expert keep; then Possible employee'''
Ryan Dunlap;14.0;87.1;88.2;'''(Official public respond nature share) ; Know receive and Lose send'''
Mary Morris;20.0;82.1;79.2;'''(Opportunity per) ; Court position behind result could bar and Check education'''
Mary Brooks;23.0;89.1;34.2;'''(Center) ; Reflect consider here and Firm clearly pass'''
David Hall;34.0;71.1;96.2;'''Each third: Money quality court; Time'''
Donald Cardenas;52.0;73.1;86.2;'''Size radio: Your message well spring; City history chair break name south'''
Allison Skinner;50.0;31.1;97.2;'''Future upon human: Become plan fact; Enter easy'''
Jose Lopez;100.0;64.1;29.2;'''By know; Throughout concern view ; Despite range'''
Sonya White;6.0;70.1;93.2;'''(Size) ; Morning nor and Executive until week'''
Shawn Rodriguez;41.0;89.1;3.2;'''Game blue; Oil charge But own'''
Julia Parks;30.0;37.1;47.2;'''(Fast) ; Professor and Expect'''
Brandy Cunningham;44.0;43.1;;'''Situation; Under ; Body guy'''
