name	rating	summary
Holly Evans	24.0	"""Harum quidem atque hic beatae odit	 Quisquam atque quaerat deleniti sint Quisquam iste aspernatur saepe"""
Connor Murphy	1.0	"""(Vitae dolor molestias) 	 Blanditiis and Aliquid quae"""
Douglas Hughes	12.0	"""Eveniet at	 Totam molestiae Illum aspernatur omnis odio culpa"""
Gregory Clayton	94.0	"""Note: Harum dolorum quidem	 then Harum pariatur quod cupiditate"""
Carole Whitehouse	8.0	"""Ratione consequuntur	 Corrupti consequatur pariatur quam ducimus asperiores Corrupti porro expedita quod"""
Christine Bull	22.0	"""Officia; Quasi numquam rem expedita 	 Molestiae deleniti quas ullam consectetur"""
Duncan Stephenson-Parsons	88.0	"""(Earum accusantium eos nulla maxime reprehenderit) 	 Tenetur corrupti and Facere enim unde autem optio"""
Jamie Taylor	16.0	"""Perferendis iste vitae eveniet	 Voluptates architecto Facere cumque"""
Holly Richards	78.0	"""Perspiciatis ab consectetur illo; Tenetur in doloremque facilis 	 Animi tempore vero"""
Amber Mann	19.0	"""(Magni vitae qui quidem) 	 Ipsam error and Reiciendis quaerat quod"""
Anna Bond	89.0	"""(Ex recusandae) 	 Repellendus and Minima maiores alias"""
Peter Howard-Anderson	43.0	"""(Voluptates a ut pariatur doloremque) 	 Recusandae vel dicta corrupti quis and Quis odio deserunt"""
Clare Matthews	70.0	"""Eveniet ullam vero; Ipsam exercitationem blanditiis cupiditate 	 Voluptatibus"""
Paul Lloyd	84.0	"""Itaque aliquam hic distinctio: Fugit velit	 Doloribus nihil autem"""
D	48.0	"""(Animi mollitia ullam animi quod) 	 Facilis and Quos delectus quaerat officiis"""
Ms Hazel Shaw	28.0	"""Note: Deserunt aliquam laudantium cumque consectetur	 then Iure autem"""
Jamie Jones	70.0	"""Itaque consequuntur occaecati fuga facere nihil: Architecto laborum accusamus	 Doloremque tempore"""
Andrew Charlton-Webster	46.0	"""Ipsam	 Est accusantium Reprehenderit optio cum pariatur"""
Dr Sean Pearce	75.0	"""(Nulla impedit placeat) 	 Voluptatibus neque and A illo adipisci ipsum rerum officiis"""
Aimee Carroll-Hale	100.0	"""(Explicabo facere nulla nisi) 	 Autem omnis and Ipsum soluta voluptatum"""
Miss Frances Ball	95.0	"""Voluptas sed: Itaque sed	 Aut numquam sequi"""
Dr Duncan Jones	45.0	"""Pariatur a unde: Necessitatibus culpa	 Quaerat ab occaecati"""
Jamie Kirby	45.0	"""Ipsum quos architecto	 Culpa voluptate Quis accusantium"""
Lynne Walsh-Bradley	74.0	"""Architecto nesciunt	 Officia Hic pariatur"""
Teresa Kaur	96.0	"""Quasi; Omnis eveniet sit voluptas 	 Neque ipsa"""
Mrs Caroline Smith		"""Inventore aperiam possimus tempore aliquid earum	 Eveniet ipsa commodi in natus fugit Repellat in occaecati"""
Leigh Williams	48.0	"""(Dolore dignissimos unde deleniti voluptatem) 	 Sed occaecati and Saepe dolore"""
