name,total_count,price,remark
A,16.0,78.1,"""Rate finally: Purpose use set spend, Street question"""
Tamara Salazar,62.0,43.1,"""Our: History we, Student easy"""
Kelli Lopez,26.0,79.1,"""Knowledge yes mean amount: Institution play five risk, Choose loss call foot"""
Gregory Delgado,95.0,72.1,"""(Course try star entire during) , Again Mrs and Budget theory suggest put"""
Sara Wright,28.0,,"""Difference institution; Moment but every , Movement the save"""
Christopher Waller,67.0,69.1,"""Note: Wrong among rise each fear eat, then Save although"""
Debra Morris,,30.1,"""(Could everything) , Contain and Able important high"""
Dustin Moran,82.0,4.1,"""Late, Happy Sure star difference"""
Angela Ellis,46.0,24.1,"""Happy see scientist; Across measure , Lawyer push available page"""
Lisa Cruz,8.0,17.1,"""Seat accept easy, Arm dog pick difference Hand player candidate"""
Cody Bell,22.0,100.1,"""Note: Exist capital simple daughter, then Conference onto free"""
Dr. Michelle Gonzalez,58.0,80.1,"""Stock approach affect: Rich issue enjoy work admit, Him machine successful determine keep"""
Tara Decker,62.0,13.1,"""Watch; None sense , Development community where drop style discussion"""
Nathan Stewart,14.0,24.1,"""(Social its example even) , Country respond perhaps trade direction may and Maintain"""
Madeline Escobar,20.0,10.1,"""Key, Artist court wait Agreement official treatment foot"""
Olivia Wallace,94.0,70.1,"""Opportunity prove some bad history: Not, Alone company"""
Christopher Mccoy,90.0,74.1,"""Often sea left offer market stage, Hand everyone Those others capital"""
Jonathan Morse,80.0,100.1,"""Resource daughter: Light lawyer meeting, Where"""
Crystal Osborne,83.0,24.1,"""Old staff baby relate; Upon century , Doctor all themselves event recognize"""
Yolanda Diaz,98.0,95.1,"""Modern around environment: Set out economy again, Dream"""
Barbara Robinson,4.0,83.1,"""Loss record, Film movement follow Outside hard feel"""
Debbie Brock,63.0,23.1,"""Around; Bank dream central , Case style"""
Laura Smith,25.0,12.1,"""Marriage travel audience international continue; Million wife I , Crime former this however guy allow federal"""
Heather Bailey,63.0,87.1,"""Mission none culture; Condition turn Republican none , Modern no above successful"""
Marissa Fisher,24.0,38.1,"""Prepare car affect often school, Value little Market lawyer continue"""
Lindsey Stone,27.0,71.1,"""(Foot night) , International certainly no and Opportunity"""
Cody Cannon,12.0,42.1,"""She crime, Thing record business feel unit Account quality course forget"""
Robert Atkinson,11.0,32.1,"""Place social certain probably prevent home, Not economy white alone Board against"""
Justin Stephens,10.0,97.1,"""Collection politics, Close view perhaps letter sister Or authority hand"""
Dylan Moore,81.0,61.1,"""(Whole) , Former mouth and Hotel"""
Michael Johnson,86.0,52.1,"""(Deep order defense become) , Voice way and Mind most manager"""
Maria Cochran,13.0,88.1,"""Long election yard; Difference eat street wish sure performance , Everyone floor"""
Debra Cox,84.0,69.1,"""(Few) , Common point church and Season marriage"""
Mark Phillips,77.0,44.1,"""Try late; Successful college , Wrong against hard"""
