# This is a comment line to skip
name,salary,score,age,comment
Ashley Meadows,78.0,15.1,20.2,"""Big they west; Film policy , Pressure yeah character"""
Edward Stone,87.0,88.1,38.2,"""Close meet, Include example Cost same look garden organization"""
Thomas Powers,76.0,53.1,61.2,"""Serious list black on campaign similar, Concern represent bad old Nation space central no pull"""
Michelle Clayton,50.0,63.1,28.2,"""My series; Indeed southern authority step , Process gun beyond behind"""
Raymond Mason,43.0,73.1,25.2,"""Together use during, Pull thought Employee federal yeah"""
Billy Williams,75.0,84.1,93.2,"""Learn yet purpose score agent true: Foreign month possible bring, Draw amount"""
Bruce Davis,69.0,58.1,8.2,"""This time, Skin answer Certainly really step"""
Anthony Anderson,94.0,86.1,80.2,"""Federal good; Pull dog girl could , Alone body that reveal"""
Susan Carroll,47.0,100.1,69.2,"""Brother measure race save program, Least local candidate process Spring issue paper movement watch picture"""
Mr. Samuel Gilbert,6.0,45.1,28.2,"""(South expect rather food) , Voice and Hot car travel"""
Linda Adams,82.0,66.1,97.2,"""Prepare which; Move realize impact serious , Level simple chance scientist"""
Tina Ward,69.0,,13.2,"""Course us, Into build item with college thus Local"""
Stephanie Terry,12.0,82.1,7.2,"""Note: Benefit themselves organization where check, then Protect bed laugh"""
Monica Anderson,93.0,53.1,48.2,"""Customer store; Claim we they easy shoulder , Coach suddenly her"""
Gail Casey,2.0,34.1,25.2,"""Model despite memory international news like: Job they last very, Present skill future"""
Theresa Meyer,,2.1,100.2,"""Let degree decide, Concern book Science none several up less"""
Philip Buck,64.0,73.1,100.2,"""Stop image safe factor really: Behind fear though, Production produce"""
Kristin Williams DDS,97.0,16.1,28.2,"""Commercial relate sign us serious spring, Thus relationship Manage lose"""
Christopher Ramirez,19.0,53.1,47.2,"""Actually: Well everybody policy easy, Leader study"""
Samuel Nelson,70.0,61.1,72.2,"""Rather pay day, Sister rock fine Million everything decade identify"""
Tyler Chandler,13.0,54.1,6.2,"""Note: Physical indeed feel arrive, then Care few party talk"""
Sara Peters,17.0,29.1,62.2,"""(Rather point) , Line and Model thus"""
Taylor Gutierrez,26.0,4.1,,"""Suddenly food support each; Job , Social authority"""
e,3.0,85.1,13.2,"""Behavior today sure, Development human majority choice Fear end"""
Ryan Hill,73.0,88.1,55.2,"""Much security final; Ahead special magazine change now , Argue line manage try positive sure"""
Kimberly Webster,78.0,54.1,81.2,"""None, Per adult wonder bit Outside case"""
