name,username,score,note,summary
Mr Samuel May,mr_may_4166,15.0,"""(Laborum) , Omnis and Numquam eligendi""","""Note: Repellat ullam ullam, then Fuga tempora"""
Vincent Burgess-Gardner,vincent_gardner_7726,37.0,"""(Quam) , Molestiae and Quibusdam iusto totam""","""(Atque ad modi modi) , Vel and Molestias natus ex"""
D,jason_williams_5443,25.0,"""Dolorum libero quia animi; Eos atque nihil , Impedit""","""Perspiciatis culpa eveniet; Suscipit ab autem alias est , Quia nostrum ducimus"""
Dr Dorothy Bell,dr_bell_3329,75.0,"""Note: Maiores tempore sed laudantium, then Unde inventore reprehenderit error""","""Qui ad neque; Ullam ipsam veritatis , Recusandae quaerat debitis"""
Mr Edward Burke,mr_burke_5894,90.0,"""Hic dolorem; Iusto accusantium aliquam voluptas , Non cupiditate tempora minima molestias temporibus""","""Possimus est error; Libero repellat illo aut veniam , Iusto excepturi"""
Aimee Middleton,aimee_middleton_7266,29.0,"""Note: Ut aut eaque ut asperiores, then Magnam ea totam""","""Ab culpa, Cupiditate nisi mollitia quia Debitis ratione"""
Mr Gary Bell,mr_bell_5771,5.0,"""(Est nemo omnis) , Velit neque omnis modi at and Earum""","""Expedita deserunt et, Laborum Quas reiciendis"""
Shirley Forster,shirley_forster_3242,23.0,"""(Quod praesentium enim) , Minus rerum debitis ratione and Sed""","""(Ea officiis minima a) , Sequi culpa ipsam possimus ut and Consectetur qui"""
Denise Jackson,denise_jackson_7457,32.0,"""At quis quisquam: Fugit corrupti, Quaerat""","""Ullam omnis enim ea: Exercitationem temporibus optio, Repellat"""
Mandy Fowler-Middleton,mandy_middleton_5351,23.0,"""Ab explicabo placeat, Facilis eos Aliquam natus nemo ea vero""","""Note: Sed excepturi sequi labore nisi, then Voluptate nostrum velit numquam culpa"""
Tina Patel,tina_patel_5063,90.0,"""Note: Eaque possimus, then Reiciendis corrupti ipsum cum ea""","""Note: Laudantium, then Optio voluptatibus doloremque"""
Mr Lee Read,mr_read_3313,28.0,"""Neque, Veritatis mollitia voluptate cumque officiis totam Error""","""Impedit ad: Iste in laboriosam blanditiis numquam adipisci, Laborum soluta"""
Dr Liam Dunn,dr_dunn_3300,25.0,"""Quaerat inventore consequatur veniam: Maiores accusamus reprehenderit eius, Ducimus""","""Fuga cum, Suscipit expedita amet libero fugit recusandae Tempora ipsum"""
Ms Judith Jordan,ms_jordan_5651,57.0,"""Note: Maxime, then Aut facere blanditiis""","""Corporis distinctio: Blanditiis, Neque expedita"""
Mrs Chelsea Bevan,mrs_bevan_3686,,"""Note: Beatae cupiditate molestias, then Accusamus voluptas unde reprehenderit delectus tempore""","""Praesentium ratione, Soluta Hic qui officia corrupti nihil aspernatur"""
Mrs Melanie Day,mrs_day_9074,46.0,"""Impedit illo: Quaerat, Reprehenderit illo""","""Repellendus iste unde ut adipisci; In beatae aliquam , Impedit accusamus recusandae"""
Joanne Lee,joanne_lee_7140,17.0,"""(Nostrum delectus) , Fuga provident temporibus and Ipsam laborum""","""(Unde perferendis) , Dolorum and Neque accusamus repudiandae alias"""
Kerry Morris-Wilson,kerry_wilson_6502,99.0,"""(Atque sed cupiditate quod) , Iure culpa perspiciatis and Quisquam molestias ipsa""","""Nihil vitae labore; Laborum deleniti laboriosam , Eum modi"""
Wayne Williams,wayne_williams_6453,51.0,"""Illum quos eius libero, Sunt nemo qui A tenetur""","""Culpa, Nesciunt cupiditate enim voluptatem Facere sunt"""
Alice Williams,alice_williams_3608,96.0,"""Totam delectus vitae voluptas nobis ullam; Ut tenetur eaque dolore quod , Impedit""","""Placeat veritatis esse; Explicabo , Laudantium quaerat molestiae consequuntur sed"""
Julia Campbell,julia_campbell_4305,57.0,"""Molestias; Esse autem perferendis , Quod qui enim quasi""","""Hic expedita alias eius beatae: Aut eos fugit ipsam totam, Molestiae"""
Julie Akhtar,julie_akhtar_7547,63.0,"""Eos aliquid veritatis, Adipisci cum officiis laboriosam Sunt aliquam praesentium""","""Saepe similique numquam; Molestias nisi , Recusandae reiciendis"""
Maria Phillips,maria_phillips_9992,64.0,"""Note: Laboriosam nemo amet eveniet, then Ad facere dolores""","""Ut: A rerum veniam eveniet, Ut excepturi"""
Shirley Clark,shirley_clark_5137,27.0,"""(Sit) , Ea ut and Ducimus""","""Note: Quidem inventore, then Cum exercitationem"""
Danielle Hall,danielle_hall_5283,71.0,"""(Corporis voluptatum sit hic saepe) , Magnam id minus and Pariatur voluptas illo praesentium quod voluptates""","""(Sequi deleniti explicabo) , Accusamus adipisci and Non id nulla culpa doloremque"""
Jemma Fox-Gray,jemma_gray_1848,3.0,"""Unde tempore; Ab ad , Sunt pariatur""","""Odit dolorum, Deserunt pariatur assumenda Libero aliquam"""
Helen Wood,helen_wood_1207,65.0,"""Note: Rerum, then Facilis dolorum repellat atque""","""Note: Placeat praesentium illum a, then Incidunt eius blanditiis"""
Miss June Saunders,miss_saunders_2354,42.0,"""Aut illo: In maiores suscipit, Accusantium""","""(Et commodi) , Sint in aut sunt laudantium inventore and Repellendus sunt iste libero ad"""
Mrs Harriet Knight,mrs_knight_8372,43.0,"""Error ipsa labore: Magnam quas quos omnis, Dolore""","""(Voluptatum) , Aperiam porro nulla and Quos adipisci optio"""
Dr Brett Rees,dr_rees_7370,72.0,"""(Et natus) , Voluptatem and Corrupti facere""","""Note: Magni distinctio, then Libero"""
Ms Fiona Harvey,ms_harvey_8575,83.0,"""Note: Possimus minus laboriosam necessitatibus aperiam, then Vero inventore deleniti labore iste ad""","""Impedit reiciendis pariatur illo; Modi , Est"""
