# This is a comment line to skip
username	name	total_count	price	summary
steven_quinn_2776	Steven Quinn	6.0	61.1	"""Note: Already ability find	 then Win name"""
kathleen_perez_8800	Kathleen Perez	35.0	95.1	"""Run describe protect recognize care	 Body Oil share design"""
james_hopkins_5400	James Hopkins	14.0	25.1	"""She pay	 Really teach Effect"""
stephanie_harris_4161	Stephanie Harris	11.0	68.1	"""(Interesting friend discussion first) 	 Ask and Stock product get"""
melanie_baxter_8609	Melanie Baxter	4.0	46.1	"""(Marriage) 	 Military sell discover and Decide business"""
robert_buck_3557	e	56.0	40.1	"""Note: Middle process	 then Race sound probably yet sport"""
javier_bean_3353	Javier Bean	84.0	37.1	"""Few choice she bar; Customer case money 	 Step"""
angela_blanchard_1774	Angela Blanchard	72.0	7.1	"""Join house imagine: Walk economic girl floor each than	 Difference"""
stephanie_ramirez_9736	Stephanie Ramirez	6.0	19.1	"""(Detail various) 	 Order skill compare and Answer by"""
travis_roy_9083	Travis Roy	87.0		"""Possible	 Material phone certain Month police employee little unit"""
matthew_mack_1145	Matthew Mack	38.0	77.1	"""Easy; Nation time 	 Common middle control cell"""
elizabeth_moss_6441	Elizabeth Moss	21.0	100.1	"""Form; Mean oil people campaign 	 Few"""
victoria_frazier_8570	Victoria Frazier	40.0	93.1	"""Well themselves old part organization; Center 	 Discover"""
henry_miller_7235	Henry Miller	55.0	48.1	"""Story left	 Board fill Man office"""
devin_weiss_0231	Devin Weiss	77.0	87.1	"""(Produce discuss) 	 Deep will situation strong and Specific half series"""
jacob_patel_3889	Jacob Patel	15.0	56.1	"""Leader lead over go: Analysis fly purpose	 Friend defense rise"""
isaiah_banks_5199	Isaiah Banks	91.0	65.1	"""Note: Goal	 then Move not kid avoid kind"""
sarah_sanchez_4571	Sarah Sanchez	5.0	78.1	"""Power dinner; Able along administration 	 Remain stay hotel still"""
jesse_kim_7850	Jesse Kim	84.0	41.1	"""Note: Huge right	 then Rate various blue blue want"""
david_moran_6745	David Moran	79.0	39.1	"""Free official: Song himself	 Service threat compare everyone"""
kelly_trevino_2694	Kelly Trevino	48.0	46.1	"""Report ball pressure improve; Red 	 Computer through whom"""
kelly_brennan_4688	Kelly Brennan	72.0	70.1	"""Note: Fast six main picture very	 then Particular deep"""
scott_hawkins_3701	Scott Hawkins	29.0	69.1	"""Administration wrong fear subject hospital small: Personal fill	 Across account"""
lisa_prince_9037	Lisa Prince		31.1	"""(See red) 	 Open such its and Reflect article clearly"""
james_pineda_4377	James Pineda	17.0	22.1	"""Note: Individual quite daughter	 then Several area"""
shaun_chase_8000	Shaun Chase	80.0	82.1	"""Seat then: Reason	 Can"""
stephen_winters_2602	Stephen Winters	36.0	74.1	"""(Road) 	 Score and Half lay raise"""
