# This is a comment line to skip
name,salary,price,score,note
Savannah Blackwell,5.0,97.1,19.2,'''A approach him outside; Sport young water , Beyond red'''
Preston Parker,13.0,100.1,80.2,'''Note: Investment could opportunity, then Imagine focus'''
Lisa Grant,40.0,17.1,86.2,'''Game start prepare late marriage; Within nothing against hard whom safe , Hold'''
Joel Mckee,45.0,65.1,37.2,'''Note: Suggest, then Treat wind'''
Kaitlyn Garcia,100.0,66.1,34.2,'''Note: Door, then Sign include ten'''
Traci Sullivan,100.0,11.1,24.2,'''Support during night prepare seat worker: Attack, Work eight'''
Julia Lewis,46.0,27.1,8.2,'''Increase wide: Final fire matter, Attorney but care'''
Jessica Miller,29.0,53.1,21.2,'''Fire, East or Imagine anything save size responsibility'''
Virginia Montes,26.0,81.1,41.2,'''Radio; Ability present grow protect , Approach view'''
Nicholas Edwards,55.0,60.1,95.2,'''Down pass when low, My life Bill'''
Joshua Franklin,23.0,71.1,14.2,'''(Rather whether) , Bag side officer them and Rate plan one test off'''
l,54.0,78.1,,'''Note: Art building issue president, then Store west whatever soldier'''
Lauren Lewis,15.0,74.1,25.2,'''Note: Watch way camera, then Guess food attorney'''
Jean Lopez,29.0,,82.2,'''East game game, Down Drug leave institution party try'''
Emily Sellers,89.0,99.1,18.2,'''Note: Return former gas, then Among plant law'''
Monica Brown,65.0,49.1,90.2,'''Note: Base do next hard, then Recent major'''
Jennifer Garcia,26.0,7.1,11.2,'''(Least school beat) , Method school west Democrat and Increase something'''
Richard Hood,63.0,91.1,1.2,'''Especially staff: Eye general carry fast focus, Claim purpose finally'''
Amber Watts,,43.1,87.2,'''Think; History property beautiful , Three audience sure'''
Ashley Ward,43.0,36.1,9.2,'''Site again executive drop morning response: Skill study care, Local glass partner'''
