name;username;salary;rating;price;summary
Mr Keith Singh;mr_singh_7160;72.0;18.1;37.2;'''(Cum) ; Praesentium and Non commodi aut tempore accusantium'''
Dr Harry Page;dr_page_7654;12.0;90.1;39.2;'''Quos totam quibusdam porro dignissimos eius; Natus tenetur delectus ; Ipsam nam suscipit'''
Dr Scott Allan;dr_allan_0803;1.0;96.1;34.2;'''Quod; Magnam ; Qui ipsum consequuntur iure'''
Dr Kirsty Parker;dr_parker_7836;89.0;7.1;53.2;'''Officiis odio: Itaque deserunt; Quod nulla accusamus sit'''
Dr Daniel Connolly;dr_connolly_3069;62.0;14.1;53.2;'''Maiores eius; Officia dolore ; Quam'''
Zoe Crawford-Fletcher;zoe_fletcher_9165;45.0;55.1;67.2;'''Note: Iure; then Repellendus est commodi distinctio non'''
Sian Doyle;sian_doyle_0699;16.0;73.1;94.2;'''Fugiat maxime iusto quo eligendi; Officiis inventore ; Reiciendis'''
Elliott Brown;elliott_brown_6397;83.0;21.1;58.2;'''Fugiat qui molestias qui: Illum sint fugiat quisquam neque; Placeat odit neque eaque'''
Dr Nicola Bradley;dr_bradley_1976;17.0;4.1;36.2;'''Itaque nam facere: Nesciunt; Tempora alias optio natus asperiores facilis'''
Miss Carole Short;miss_short_1059;32.0;6.1;90.2;'''Note: Sapiente saepe; then Debitis'''
Dr Barry Doyle;dr_doyle_9346;2.0;19.1;49.2;'''Laborum exercitationem culpa omnis; Optio magnam odio sunt aperiam ; Nesciunt culpa in culpa nemo'''
Gemma Pearson;gemma_pearson_4658;48.0;24.1;10.2;'''Incidunt accusantium; Fuga Ut doloremque vitae cupiditate quod sed'''
Gavin Gallagher;gavin_gallagher_2623;65.0;39.1;65.2;'''(Mollitia repellendus) ; Atque aut and Corporis'''
Marcus Kelly-Ellis;marcus_ellis_2461;6.0;66.1;56.2;'''Note: Necessitatibus hic harum minima magni; then Odio saepe vitae molestias quod'''
Joshua Walker;joshua_walker_7559;96.0;44.1;26.2;'''Quibusdam; Nesciunt a recusandae ; Recusandae veniam ratione'''
Benjamin Bates-Howard;benjamin_howard_8398;79.0;59.1;70.2;'''Note: Ratione numquam; then Ut'''
Bruce Bradshaw;bruce_bradshaw_1036;78.0;1.1;;'''(Commodi omnis maxime voluptatum) ; Officia sint et and Eos aliquid recusandae'''
Joan Russell;joan_russell_4140;90.0;9.1;20.2;'''Perferendis nemo; Autem autem porro ; Quidem asperiores sed reprehenderit est doloribus'''
e;dr_naylor_4407;50.0;16.1;28.2;'''Explicabo occaecati; Provident Laborum neque'''
Ms Alison Blackburn;ms_blackburn_9692;14.0;17.1;45.2;'''(Qui consequatur enim) ; Facere and Necessitatibus illum deleniti'''
Joseph Roberts;joseph_roberts_7164;29.0;71.1;47.2;'''Eaque sit cumque voluptatibus maiores; Explicabo nobis Laudantium quidem maxime'''
Conor Watson;conor_watson_1360;68.0;89.1;26.2;'''Iusto iste soluta sit saepe quasi: Unde reiciendis recusandae vero; Praesentium expedita est'''
Ricky Wright;ricky_wright_0765;58.0;41.1;5.2;'''(Voluptatum quo numquam dignissimos magni) ; Doloribus qui and Voluptatibus officia eveniet sunt'''
Joe Hammond;joe_hammond_2538;91.0;57.1;42.2;'''Nostrum odio temporibus repellat facilis: Delectus velit ab aliquid at; Ipsa ipsa officia'''
Kyle Slater;kyle_slater_9642;44.0;71.1;18.2;'''Voluptatibus fugiat aliquam necessitatibus quos: Accusamus explicabo velit quos; Eum omnis deleniti'''
Debra Harris;debra_harris_7413;93.0;;36.2;'''Note: Veniam libero; then Dicta minima ut'''
Benjamin Turner-Jackson;benjamin_jackson_5967;47.0;81.1;10.2;'''Vel nulla; Ab numquam Occaecati facere distinctio porro'''
Vanessa Williams;vanessa_williams_3577;97.0;32.1;41.2;'''(Maiores dolor pariatur) ; Sint laborum and Deleniti nostrum quisquam aperiam'''
Dr Josh Bradshaw;dr_bradshaw_3220;80.0;39.1;25.2;'''Minima quo: Ad sit labore; Hic officia sint'''
Mr Brian Bennett;mr_bennett_8204;73.0;71.1;7.2;'''Consectetur tempora quod similique animi eveniet: At ratione veniam excepturi; Vero officiis'''
Dr Ricky Brown;dr_brown_3419;59.0;64.1;89.2;'''(Sunt laudantium assumenda) ; Quisquam and Corporis nesciunt fugiat voluptatum quisquam'''
Hollie Bennett;hollie_bennett_1234;88.0;45.1;95.2;'''Exercitationem quidem provident omnis; Laborum vitae ; Animi in dignissimos'''
Henry Richards;henry_richards_3418;51.0;21.1;18.2;'''Consequuntur tenetur reiciendis; Quas beatae sed voluptatibus veritatis Excepturi perspiciatis'''
Geraldine Carr;geraldine_carr_8748;18.0;57.1;16.2;'''Sequi ipsam vero magnam nesciunt; Qui ullam Blanditiis reiciendis'''
Geraldine Allen-Walker;geraldine_walker_0968;;36.1;63.2;'''Note: Quaerat optio deleniti; then Tempore exercitationem distinctio ullam'''
Mr Clive Jones;mr_jones_4614;100.0;8.1;23.2;'''Note: Cumque ad tenetur soluta; then Laborum iste possimus dolorum'''
Dr Martyn Brown;dr_brown_3780;88.0;49.1;48.2;'''Nobis numquam inventore est: Neque tempore itaque commodi voluptatum a; Laboriosam nobis impedit reprehenderit dignissimos'''
Dr Conor Franklin;dr_franklin_5455;83.0;93.1;25.2;'''(Iste provident commodi) ; Dolorem eligendi quae quod and Nesciunt provident'''
Jacqueline Edwards;jacqueline_edwards_2808;92.0;92.1;85.2;'''Quas reprehenderit illo; Maxime ipsam nulla Odit quod sequi eligendi'''
