name,username,rating,salary,note,comment
Damian Holmes-Hodgson,damian_hodgson_2611,21.0,26.1,"""(Ipsum veritatis vero) , Aliquid quia eaque sequi and Repudiandae""","""Veniam fugiat repellat, Eaque Pariatur ex"""
Sara Allan,sara_allan_3218,88.0,37.1,"""Atque veniam; Officia sunt quos , Optio inventore quis""","""Dicta: Impedit quam, Eveniet at doloribus"""
e,john_johnson_0788,39.0,37.1,"""Necessitatibus: Odio amet veritatis, Minima iure accusamus""","""Fuga veritatis quis: Alias possimus, Inventore ipsum aliquam harum odio"""
William Kelly,william_kelly_3714,33.0,26.1,"""Note: Cum ipsam, then Accusamus ut praesentium natus quas""","""Iste repellat labore, Nisi ipsa cupiditate vitae autem Minus a pariatur"""
Dr Vincent Williams,dr_williams_0632,12.0,53.1,"""(Inventore) , In eaque dolorum ex and Quidem itaque quis praesentium nam""","""A quaerat quasi quo; Corrupti aspernatur necessitatibus , Quisquam laudantium perspiciatis error"""
Eric Freeman,eric_freeman_4969,25.0,69.1,"""Vel commodi: Perferendis itaque fugiat, Id""","""Nobis exercitationem; Dolorem modi doloremque eveniet , Esse a iure"""
Kim Austin,kim_austin_1566,62.0,56.1,"""In; Totam qui officia deleniti unde , Beatae doloribus reprehenderit""","""Nisi ipsam, Inventore rerum corrupti magni animi Repudiandae ipsam"""
Julie Dobson,julie_dobson_5174,44.0,30.1,"""Eveniet ab eaque numquam, Delectus numquam Odio maxime""","""Inventore quia; Deserunt odit ducimus libero , Veritatis"""
Thomas Stewart,thomas_stewart_6106,58.0,96.1,"""Accusamus iste nostrum, Fuga esse Velit facere vero aspernatur saepe""","""Laborum culpa quo placeat, Aut eveniet magni Odit"""
Neil Berry,neil_berry_9916,66.0,58.1,"""(Quos itaque ducimus laboriosam) , Tempora optio quaerat doloremque similique delectus and Architecto ut eos dignissimos tenetur""","""(Maxime suscipit unde culpa eaque molestias pariatur) , Quidem architecto mollitia quod and Illum optio"""
Dr Matthew Patel,dr_patel_0603,64.0,72.1,"""Voluptatem quos; Nesciunt a dolore , Error repellendus inventore""","""Note: Pariatur quam dolorem quae, then Non molestias fugiat"""
Nicole Shaw,nicole_shaw_4367,58.0,48.1,"""Libero quasi, Sint voluptatum deserunt Nobis maiores tempora odit""","""(Tenetur saepe) , Tenetur id deleniti delectus and Animi"""
Dr Frank Oliver,dr_oliver_5360,13.0,70.1,"""Enim: Consectetur doloremque a, Molestias cum ipsum""","""Note: Aperiam dolorem, then Inventore"""
Stanley Quinn,stanley_quinn_9920,50.0,45.1,"""(Recusandae nemo dolor corporis) , Optio cupiditate and Voluptatum tempore dolores""","""(Odit voluptatibus explicabo enim natus) , Voluptate doloremque and Distinctio consequuntur aut"""
Ms Leah Bradley,ms_bradley_8214,78.0,71.1,"""Alias, Iste quo praesentium Debitis voluptatibus""","""Recusandae; In animi , Quidem fugit cupiditate harum temporibus"""
Miss Ashleigh Fletcher,miss_fletcher_8381,11.0,41.1,"""Expedita, Omnis aut Reprehenderit occaecati""","""Voluptatem iusto; Sapiente temporibus , Laborum cupiditate"""
Catherine Hill,catherine_hill_6367,22.0,,"""Note: Quae, then Eveniet facilis corrupti""","""Modi illum; Consectetur nobis sit , Eos"""
Brenda Gardiner,brenda_gardiner_0501,98.0,48.1,"""Note: Atque, then Harum""","""(Ipsum aliquid voluptatem) , Tenetur mollitia dolore adipisci and Quod molestiae"""
Rachael Wright,rachael_wright_6265,6.0,7.1,"""Delectus provident: Autem doloribus dicta, Id at""","""Repellat dolores: Aspernatur dolore error, Numquam quasi molestias"""
Connor Taylor-Harris,connor_harris_1021,100.0,59.1,"""Animi exercitationem ab ducimus ipsum aliquid, Quidem quidem Rem accusamus voluptatem aspernatur excepturi dolorum""","""Architecto sint odit, Iste adipisci Quas cum"""
Glen Hall,glen_hall_6590,45.0,48.1,"""Ullam sed asperiores; Vel neque minus , Iure praesentium eveniet""","""(Sequi velit expedita quidem) , Corporis nam quibusdam and Ipsam quod"""
Kate Ryan,kate_ryan_9905,15.0,66.1,"""Maiores eum aliquam: Rerum optio at, Quod natus facilis""","""(Dignissimos omnis) , Dolorem cupiditate debitis and Facilis dolor voluptatibus"""
Darren Ahmed,darren_ahmed_3913,46.0,67.1,"""(Optio exercitationem maxime) , Veniam et dolores and Ipsa velit hic omnis deleniti ab""","""Nihil rerum impedit; Commodi placeat natus mollitia voluptatibus , Cumque a officiis quisquam"""
Jasmine Phillips,jasmine_phillips_3265,88.0,10.1,"""Aspernatur tempore unde; Animi molestiae asperiores tenetur error , Provident tempora tempora at dolor""","""(Nesciunt minima ab esse magnam) , Quibusdam suscipit ipsa and Numquam unde nisi animi"""
Dr Alex Jackson,dr_jackson_7588,62.0,74.1,"""(Iure veritatis) , Beatae tempora dignissimos and Voluptatem at rerum minima""","""Note: Aliquam commodi aperiam sequi, then Architecto"""
Tina Lane-Howard,tina_howard_7696,34.0,67.1,"""Quidem nostrum iste sunt; Officia libero saepe , Eos""","""Reiciendis delectus consectetur: Quis aliquid, Maxime perspiciatis"""
Dr George Walsh,dr_walsh_8996,,5.1,"""Laudantium culpa aliquid commodi necessitatibus; Soluta quisquam aut maiores odit tempora , Tenetur voluptas laborum aut""","""At totam nam; Aperiam nam animi tempora exercitationem , Animi accusamus dolorem"""
