name;salary;description
Sherry Callahan;47.0;'''Foreign red so; Conference difference the throw Owner first or'''
Shelby Barrera;29.0;'''Note: Support physical; then Meeting staff itself'''
Joshua Hull;13.0;'''(Pretty social language language) ; Job agency guess really finish at and Right focus'''
Sara Abbott;3.0;'''Way keep serious they: Structure policy movement; President avoid'''
Deborah Sherman;78.0;'''Floor until put training; Can rather ; Available professional'''
Mandy Griffin;46.0;'''(Total hear way show not increase) ; Decide vote think financial and Girl modern'''
Lance Walters;55.0;'''Performance sense item quality remain; Be eat Understand issue mother fine question'''
Steven Myers;13.0;'''Decade say back: Price; That car according well senior'''
Annette Lester;75.0;'''Kind million accept bag sing benefit; Buy near figure ; Main'''
Christopher Roberts;97.0;'''(Staff) ; Least attack result will and Far position'''
Jessica Smith;32.0;'''Pretty: Alone service; Everything'''
Charles Mata;15.0;'''Big start play: Maybe thousand father; I radio sea animal message laugh'''
Nancy Gutierrez;97.0;'''Note: Across story; then Knowledge book particular tend'''
Mark Perez;46.0;'''(Culture newspaper) ; Right main event language owner and Listen grow moment'''
James Collins;46.0;'''Would; Listen order customer security pretty ; Whatever collection'''
Catherine Mcbride;93.0;'''Trial win suddenly certainly common; Type explain ; Gas stage begin'''
Anthony Foley;99.0;'''(Around certain) ; Forward where and Nor reveal form'''
Nicole Olson;61.0;'''Consumer role might book: Hospital leg size fire force painting; Campaign economic always discussion'''
Gregory Cox;100.0;'''Note: Thousand option town but expect; then Yard that cut approach ready wonder'''
Lori Freeman;70.0;'''Represent: Wrong father shoulder score its apply; Research chair'''
Mary Nolan;44.0;'''Thank; Worker mention break become large specific Worry dinner dream chair'''
Gabriel Jackson;47.0;'''Note: Huge fast drug true; then Surface recently'''
Margaret Gonzalez;11.0;'''Where type bank; Important win attack do reality too Because south eight head'''
Katherine Harris;69.0;'''Note: Truth relationship food down; then Wear course film'''
Andre Walker;69.0;'''Note: Anything including pull different; then Role machine discuss he partner'''
Christine Lewis;84.0;'''Note: Movie various; then Take worker sister'''
Kathryn Mckee;81.0;'''Note: See; then Democrat compare style'''
A;;'''Positive win employee; Tv purpose style ; Return we'''
Jessica Anderson;78.0;'''Note: About campaign listen; then Sort push discuss worry grow'''
Richard Ramos;54.0;'''Personal audience: Dinner each southern; Meeting consider'''
Michele Elliott;72.0;'''Look fine: Dark difficult; Home this painting'''
Robert Carrillo;50.0;'''Night fill as film: Like top level site week responsibility; Public down'''
Darrell Conley;68.0;'''Church evening: Success future make industry; Their age report chair contain'''
Evelyn Gonzalez;80.0;'''Throughout; None upon summer he military ; Fire pick hot buy agent heavy'''
Katherine Brown;5.0;'''(Great among) ; Entire and This century'''
Walter Owen;55.0;'''Note couple improve: Treatment according low more; Increase cell must activity also'''
Tony Herrera;85.0;'''Note: Foot fall night sometimes; then Put even doctor read'''
Lindsey Hawkins;57.0;'''Author; Son ; Fish college thank'''
Michelle Hamilton;36.0;'''Fast determine; Action day number ; So put'''
