name,username,age,remark
Laurie Garcia,laurie_garcia_8271,15.0,'''Worker off almost ask; Sea indeed on , Understand through quality cause activity chair'''
Sherry Mendoza,sherry_mendoza_9757,23.0,'''Health we she; Appear pattern clearly thousand , Your learn budget offer'''
David Berry,david_berry_7153,3.0,'''Seven thousand past, Identify marriage politics everything base No watch'''
Natalie Barron,natalie_barron_8883,13.0,'''Study pay section firm first: Food mind each, Anyone rest'''
Susan Kline,susan_kline_4255,25.0,'''(Plant spend card she office over) , Majority and Fund design hair will none summer'''
Sharon Martin,sharon_martin_7191,57.0,'''True energy area eye, Morning soon Hand shoulder'''
Jacob Roberts,jacob_roberts_3316,84.0,'''Important your: Common approach none degree once, Order approach bring'''
Anthony Elliott,anthony_elliott_7166,26.0,'''Note: Food, then Continue'''
John Thomas,john_thomas_0779,83.0,'''Customer drop news answer: Public several, Cold everybody'''
Bradley Lozano,bradley_lozano_2780,81.0,'''Note itself move, College up Chair goal agree'''
Donald Stewart,donald_stewart_5261,41.0,'''Note: Pressure figure, then True smile somebody'''
Jennifer Williams,jennifer_williams_6724,47.0,'''Suggest skin season: Skin case, Force assume might whole window up'''
Linda Powers,linda_powers_6318,1.0,'''(Get beyond) , Left call strong and From teacher yeah'''
Shannon Cook,shannon_cook_3972,57.0,'''In: Young American, Agreement word'''
Jessica Smith,jessica_smith_7824,47.0,'''Until leg: Store can her, Black newspaper always require'''
o,brittany_mercado_3935,94.0,'''Movie race try: Participant her believe, Yeah seven analysis'''
Tanya Vasquez,tanya_vasquez_2059,88.0,'''Law decision indeed; Major , So knowledge enough season'''
Lori Webster,lori_webster_8985,46.0,'''Enjoy cold; Another some , Until view religious'''
Lisa Cunningham,lisa_cunningham_5689,,'''Subject result she actually hear military: Beyond arrive board thank, Every citizen'''
Jessica White,jessica_white_1654,22.0,'''Stop choose few manage appear, Especially war part more Say loss'''
Patrick Jackson,patrick_jackson_4954,31.0,'''(To) , Civil and Fly bill'''
Joshua Thomas,joshua_thomas_9204,48.0,'''Walk fact computer once first: Behind career green oil candidate, Dark tree seat'''
