username;name;price;description
tiffany_smith_5881;Tiffany Smith;60.0;"""Type list free: Camera center ready rock; Official bad"""
natalie_wilkins_4303;Natalie Wilkins;73.0;"""Citizen; Agreement join Not up"""
jimmy_wilson_7102;Jimmy Wilson;70.0;"""Improve enough; Add cell ; Clear"""
elizabeth_singh_3486;Elizabeth Singh;76.0;"""Less speech democratic owner reach despite: Themselves along often believe worker; Next gun own past"""
alyssa_brewer_0188;Alyssa Brewer;21.0;"""Case down career training; First ready Move edge standard"""
jenny_gray_8091;Jenny Gray;80.0;"""Beyond less name member; Great fight Section recognize"""
michael_torres_9764;Michael Torres;52.0;"""Available he; Least story own process ; Citizen avoid"""
joshua_english_3725;Joshua English;10.0;"""(Across religious) ; Give game your and Treat official you color"""
amanda_grant_8077;Amanda Grant;92.0;"""(Set simple avoid) ; Example environmental return door knowledge Mr and Television discover student"""
angela_smith_0294;Angela Smith;48.0;"""Card reach; Close one ; Off television"""
mariah_alexander_6905;Mariah Alexander;44.0;"""Note: Set your chance end throughout size; then Computer authority magazine official there"""
jared_dds_6012;Jared Sheppard DDS;2.0;"""Them spend; Above Yard tell year"""
ms_lewis_1924;Ms. Megan Lewis;32.0;"""Letter manage research prepare: Left color kitchen build middle; Claim spring whole he"""
melissa_bennett_3490;Melissa Bennett;82.0;"""Though account tax; Newspaper down democratic ; Develop suffer"""
eugene_dominguez_4215;e;5.0;"""Culture choice; Consumer crime Guess game"""
charles_aguirre_1139;Charles Aguirre;42.0;"""Out: Price discuss dog prepare politics concern; Director day team reflect"""
robert_hart_0111;Robert Hart;48.0;"""Note: Measure ability; then Someone business"""
emily_floyd_2234;Emily Floyd;78.0;"""(Kid leave same current point) ; Year because face majority short road and Travel yes"""
joseph_brown_8455;Joseph Brown;84.0;"""Outside too door size; Third piece set Whatever skill"""
anthony_williamson_8063;Anthony Williamson;;"""(Thousand) ; Serve smile buy late and Assume play"""
