# This is a comment line to skip
username	salary	score	message
dana_schultz_6464	31.0	94.1	"""(Price month design) 	 Who and Career these president listen watch"""
alison_dunlap_5669	50.0	79.1	"""Note: Technology order	 then Attention prevent cultural camera anything"""
william_wilson_2607	100.0	96.1	"""Note: Start rather area	 then Either next"""
kim_gaines_8513	73.0		"""Usually suggest its; Open improve realize population 	 Race fast"""
benjamin_white_2898	82.0	98.1	"""Everyone may: Model own sit claim analysis	 Leader"""
meghan_diaz_2360	23.0	55.1	"""Effort get party: Teach develop agreement	 Entire sure discover"""
michael_ellis_7475	59.0	16.1	"""Future something	 Ability theory Read thing become recognize cover"""
dawn_hendricks_7389	38.0	32.1	"""Follow: Listen art look	 Build sense provide produce"""
meredith_lee_2183		10.1	"""(Television baby) 	 Future dark and Sing likely"""
stephanie_md_5131	49.0	94.1	"""High morning heart	 Environmental system Phone per"""
vincent_owens_9546	11.0	29.1	"""Box box opportunity; Attention animal rock 	 Reality American"""
diane_russell_6156	45.0	84.1	"""Him shoulder item: Surface approach	 Get including mouth yourself watch store"""
stephanie_adams_5013	53.0	90.1	"""Purpose like: Well tree station share summer edge	 Sometimes big"""
carolyn_castro_1033	21.0	88.1	"""(Around long him) 	 Top subject even order and Far director mission goal long"""
dr_whitaker_0785	76.0	63.1	"""Win service work finally; Necessary who wrong this 	 If there water"""
kathryn_gardner_6336	39.0	52.1	"""Summer from become: Run	 Maybe especially arrive somebody"""
douglas_young_9124	44.0	85.1	"""(From) 	 State ball and Lay"""
terry_mueller_5238	34.0	88.1	"""Note: Ready sing least	 then Leave"""
helen_hicks_0692	53.0	38.1	"""Note: Most reason remain	 then Fall hot together"""
jacob_miller_0537	31.0	37.1	"""Note: Never kind	 then Together quality"""
paul_carrillo_1405	71.0	19.1	"""Note: Arrive fine card job window truth	 then Decade food effect"""
teresa_hughes_9494	55.0	7.1	"""Resource thing: Concern read middle	 People choice"""
craig_peck_7190	47.0	21.1	"""Structure throw window	 Floor because tonight walk safe Bad"""
michael_mueller_5392	4.0	73.1	"""Skill might safe: Rate evidence	 Meeting every"""
andrea_fuller_0836	53.0	74.1	"""Sea him; Theory money 	 Fine would"""
cameron_hood_9330	52.0	86.1	"""(Talk true away now trial) 	 Religious and Way determine"""
debbie_brock_4232	60.0	93.1	"""Into close; Military speak statement 	 Finally interest protect"""
melissa_hamilton_1941	95.0	13.1	"""(Financial white) 	 Born exist part and Loss challenge investment beyond cost direction"""
anthony_lynch_0122	16.0	16.1	"""(Believe put) 	 They and Have myself red"""
keith_graham_8439	72.0	70.1	"""Note: So produce	 then Address"""
walter_english_5327	29.0	95.1	"""Note: Song candidate	 then On"""
connie_cruz_2839	59.0	99.1	"""Note: Choice he view	 then Painting"""
alicia_barrett_7259	33.0	97.1	"""Region lay	 Senior letter That lay special international seven"""
alyssa_henry_1590	24.0	51.1	"""Note: Assume control	 then Use cost thousand election"""
joanne_oconnor_4932	70.0	2.1	"""Us mind check author: Goal recognize	 Both difficult"""
daniel_ortega_3177	71.0	41.1	"""There them: Old	 Various"""
dennis_butler_1536	23.0	97.1	"""Voice history already last throw and; Cut moment travel 	 Son result general"""
kevin_delgado_7822	28.0	55.1	"""Note: As myself	 then Impact social just great bit suffer"""
ms_wilkerson_5005	51.0	74.1	"""Main operation; Real public prepare guy court 	 Vote already build much three"""
ann_kelley_8971	75.0	88.1	"""Look them step best media; Fast age 	 Back plant before"""
john_turner_2931	52.0	83.1	"""Camera herself side; Leave learn expert 	 Morning go fear people"""
