username;name;age;score;review
michelle_chung_3221;Michelle Chung;98.0;39.1;"""Approach; Start performance skin Blue garden source"""
kenneth_ray_0021;A;18.0;68.1;"""Black card; Good team Rise matter"""
stephen_smith_9394;Stephen Smith;;4.1;"""Note: Image financial; then Per"""
christine_martinez_9472;Christine Martinez;12.0;75.1;"""Often work; Couple when school test marriage go ; Magazine street example this after"""
laura_moore_4613;Laura Moore;44.0;31.1;"""Fish front usually: Individual without set stop population especially; Citizen door"""
marissa_mitchell_9854;Marissa Mitchell;7.0;93.1;"""Note: Artist; then Great find rock event so nation"""
chris_dyer_7220;Chris Dyer;45.0;44.1;"""Policy bring on eye focus: Result record; Tough camera full edge street executive"""
tracy_day_6645;Tracy Day;10.0;46.1;"""(Spring peace Republican nothing bad foot) ; Another card meet and Treatment attention"""
joy_brown_6448;Joy Brown;21.0;52.1;"""Note: Type central; then Few feel majority"""
brian_mills_2410;Brian Mills;91.0;4.1;"""Note: Difference study market; then Happen happy"""
amanda_fischer_1539;Amanda Fischer;92.0;;"""Visit common shake; Trouble book management make ; Employee watch let weight read"""
kimberly_krueger_7274;Kimberly Krueger;12.0;24.1;"""Nor relate course friend deep: Smile term report food; Cell option"""
john_miller_6495;John Miller;41.0;67.1;"""(Author coach) ; Long dream nice deep and Series hope"""
david_bates_0206;David Bates;32.0;10.1;"""(Authority) ; Mother no plan Mrs kind and Authority understand inside radio buy"""
megan_campbell_8809;Megan Campbell;10.0;69.1;"""Us over idea; International way reduce north sense ; Lose"""
kaitlyn_chen_7089;Kaitlyn Chen;98.0;69.1;"""Decade magazine traditional these consider; Scientist real my rest certainly too ; Generation table prepare approach garden prepare"""
jeffrey_clark_0544;Jeffrey Clark;53.0;89.1;"""Such; Rich box amount ; Teach guy popular she"""
christopher_howard_3143;Christopher Howard;59.0;87.1;"""Note: Require clearly; then Scientist artist"""
yvonne_thomas_5320;Yvonne Thomas;88.0;22.1;"""Technology size green nature use: Concern; Threat head chair"""
miguel_willis_1519;Miguel Willis;70.0;35.1;"""Dream accept want; North second feeling least pattern check Usually term develop"""
mark_figueroa_5082;Mark Figueroa;9.0;94.1;"""Oil skin smile floor: Type; Civil pass decide"""
tracy_rhodes_3806;Tracy Rhodes;41.0;35.1;"""Note: Like rate daughter history; then Safe few clear"""
wayne_warner_2749;Wayne Warner;27.0;27.1;"""Dream buy matter; Hard Test career"""
david_wright_2086;David Wright;77.0;51.1;"""(Source) ; Suggest trouble for because and Direction audience inside"""
shannon_little_7144;Shannon Little;44.0;80.1;"""(Most later) ; Every chair and Thing lead most"""
ashley_riddle_4165;Ashley Riddle;52.0;71.1;"""(Budget) ; Through although and Treat wrong since hear"""
