# This is a comment line to skip
name	username	price	note
Edward Stephens	edward_stephens_7185	36.0	"""Note: Dolores aliquid commodi recusandae	 then Laboriosam reiciendis iste"""
Dorothy Simpson	dorothy_simpson_2990	57.0	"""Voluptatibus officiis molestias laboriosam vero: Fuga consectetur aperiam tenetur	 Assumenda cumque"""
Kenneth Foster	kenneth_foster_5857	84.0	"""Expedita voluptatibus animi nostrum nobis; Alias 	 Cum asperiores perspiciatis delectus"""
Dr Nicola Palmer	dr_palmer_0663	80.0	"""Alias possimus dolorem	 Enim nulla dolore Nihil"""
Mr Harry Shah	mr_shah_2504	13.0	"""Magnam amet	 Error blanditiis eius minima delectus Blanditiis asperiores"""
Dr Jessica Davison	dr_davison_4598	9.0	"""(Atque ad) 	 Earum minus corrupti and Rem"""
Naomi Barker	naomi_barker_9001		"""Reprehenderit debitis explicabo repellendus natus tempore	 Quisquam eos quidem consectetur Fugit quas"""
Mrs Charlotte Sheppard	mrs_sheppard_9118	2.0	"""(Nesciunt iusto) 	 Sint aspernatur exercitationem quasi praesentium rerum and Accusamus eaque accusamus ad"""
James Johnson	james_johnson_5092	81.0	"""Aperiam aliquid facere iure	 Officia exercitationem possimus explicabo Odit cupiditate"""
Ms Stacey Wall	ms_wall_6029	62.0	"""Sint nesciunt laborum officiis	 Enim eaque numquam non veniam Inventore voluptas alias"""
Jade Burns	jade_burns_8967	8.0	"""Blanditiis quis aliquid	 Dolorem nemo In"""
Jake Martin	jake_martin_6312	21.0	"""Eos voluptates est	 Voluptatum molestiae placeat Facere unde ab"""
Emily Palmer	emily_palmer_3383	29.0	"""Odio laudantium facilis: Architecto labore porro	 Rem aliquam illo cumque animi"""
Mrs Georgia Ali	mrs_ali_8724	6.0	"""(Soluta expedita mollitia) 	 Praesentium and Ratione quidem"""
Raymond Robinson-Kelly	raymond_kelly_9001	57.0	"""Delectus quam non odit: Quibusdam eaque earum animi	 Dicta pariatur"""
Sean Akhtar	sean_akhtar_6457	6.0	"""Accusantium vitae; Qui maxime cupiditate fuga enim 	 Repudiandae nesciunt aliquid itaque"""
e	mathew_dixon_0341	11.0	"""Iste repellendus; Delectus provident porro sint doloribus necessitatibus 	 Facilis vitae"""
Linda Lloyd	linda_lloyd_8272	3.0	"""(Natus ratione sapiente) 	 Temporibus minus and Placeat voluptatem alias"""
Grace Barker	grace_barker_3091	16.0	"""Eius deleniti	 Quasi itaque optio Nesciunt autem hic"""
Vincent Barnett	vincent_barnett_3270	45.0	"""Eum porro fuga molestiae amet voluptatum; Magni 	 Expedita"""
Mrs Nicola Williams	mrs_williams_0568	27.0	"""Blanditiis illo; Aliquam sed laboriosam dignissimos omnis 	 Praesentium temporibus"""
Carly Gardner-Mills	carly_mills_3255	9.0	"""Fugiat ut maxime	 Cumque mollitia deserunt corporis laudantium Optio quia quo"""
Mrs Dorothy Andrews	mrs_andrews_5329	22.0	"""Note: Dignissimos cum doloremque iure quo	 then Fuga impedit"""
Jeffrey Green	jeffrey_green_3463	40.0	"""(Quibusdam architecto) 	 Adipisci repellat cumque tenetur and Suscipit architecto ut aliquam"""
Mrs Julia Williams	mrs_williams_7796	54.0	"""(Distinctio fugit) 	 Recusandae aliquam minus delectus and Quaerat quaerat"""
Dr Brandon Lees	dr_lees_9464	69.0	"""(Hic ipsum ad in odit fuga) 	 Odio totam and Ratione minima aperiam corrupti culpa"""
Tracy Long	tracy_long_1595	39.0	"""Autem tenetur modi occaecati eligendi officia: Sapiente iusto aperiam	 Inventore doloremque libero dolorum"""
Amy Godfrey	amy_godfrey_4139	66.0	"""Note: Necessitatibus excepturi	 then Ipsa nobis"""
Danielle Whittaker	danielle_whittaker_5066	68.0	"""Aut quam quod aut explicabo; Ex nihil 	 Ad accusantium"""
Mrs Mandy Wallace	mrs_wallace_6153	64.0	"""Ut provident nobis aperiam harum; Perspiciatis 	 Deserunt ducimus quasi"""
Steven Wilson	steven_wilson_1004	47.0	"""Note: Eveniet debitis enim dolor illo	 then Iusto"""
