# This is a comment line to skip
name,rating,salary,score,note
George Nixon,62.0,32.1,82.2,'''Loss brother expert: Here choose within, Explain then see'''
Peter Cruz MD,7.0,51.1,50.2,'''Idea after civil, Interesting account near Including'''
Mary Gay,92.0,21.1,40.2,'''Professional arm; Fall hospital lay different arm , Issue rule inside tax'''
Courtney Cunningham,63.0,5.1,58.2,'''(Standard purpose boy local recognize) , Plan free and People'''
Rachel Warren,69.0,9.1,87.2,'''Yet, Now Herself professor action'''
Gabriella Rocha,81.0,3.1,63.2,'''Peace four reveal well commercial front; Since one , Lawyer'''
Kenneth Thompson,16.0,15.1,76.2,'''Manager: Kitchen cut usually, Class citizen often good'''
Eric Richardson,15.0,71.1,90.2,'''Note: Well like, then Understand arm instead lead'''
Rebecca Tyler,16.0,87.1,8.2,'''Could difference world amount college war, Operation coach Wall'''
Clinton Calderon,18.0,26.1,24.2,'''Throw author soon; Beautiful all , Clearly quickly product'''
William Delacruz,98.0,99.1,25.2,'''Grow north subject deep save: Watch before, Before work thank'''
Amy Silva,23.0,51.1,67.2,'''Official evidence; Indicate soldier write , Defense feel air agreement computer idea'''
Kelly Flores,70.0,4.1,52.2,'''Radio interesting, Ten throw Rest cause anyone'''
Russell Pineda MD,66.0,37.1,32.2,'''Note: Style clear few issue fill, then Four dream soon sort cultural concern'''
Pamela Lopez,61.0,53.1,37.2,'''Sing could door Democrat front; Season quite , Group decide college southern'''
Timothy Rodriguez,44.0,10.1,17.2,'''Test military know into, Song wait Firm clearly important onto'''
Brian Trujillo,15.0,48.1,23.2,'''Note: Stock much may computer design, then Create those head admit onto'''
Thomas Stanley,33.0,1.1,97.2,'''Note: Month rich small, then From theory'''
Jonathan Gomez,67.0,20.1,,'''Join open; Protect tend inside seek , Air across even rest'''
Amanda Phillips,,35.1,79.2,'''Listen place heavy throw data, Peace buy Course individual leave growth draw story'''
Susan Torres,4.0,100.1,14.2,'''Note: Per you across growth, then Charge prevent talk able'''
James Sanders,22.0,53.1,23.2,'''Yourself east office personal: Use, He maybe option'''
Richard Powers,19.0,28.1,34.2,'''Over claim, Mission bag night Laugh manage collection'''
Phyllis Franklin,73.0,26.1,77.2,'''(Situation develop prevent) , Wind stay prepare and Vote its fire analysis'''
William Rodriguez,98.0,76.1,60.2,'''Note: Military truth central trip, then Particularly'''
Dennis Cunningham,85.0,68.1,72.2,'''Might though: Year character, Threat yeah option picture another population week'''
William Middleton,16.0,22.1,96.2,'''Myself risk tree officer new: Yeah tree interview question support, Would compare'''
Matthew Smith,38.0,69.1,99.2,'''(Current summer heart international minute everyone) , Race Congress four local might and Under'''
Nicholas Tanner,12.0,49.1,67.2,'''Note: Television food relate great, then Phone artist share'''
Anthony Smith,5.0,29.1,32.2,'''(Age history live hair else) , Fight Mr and Lot school cold'''
Alexander Collins,18.0,88.1,8.2,'''(Husband discuss) , Able plan likely and Billion'''
Melissa Roth,5.0,51.1,46.2,'''Go; Special vote , Cover offer fast decision you morning'''
Brandon Watkins,80.0,89.1,18.2,'''(Trial arm law might how teacher) , Society foot direction and Hard story'''
Nicholas Joseph,32.0,,11.2,'''(Develop keep) , Toward face store argue and Sound second population'''
William Stout,47.0,10.1,59.2,'''Upon yeah west room, Message Many unit eight economic case quality'''
 ,33.0,45.1,14.2,'''Policy measure, Window Let safe foot report today'''
Melissa Rodriguez,48.0,96.1,20.2,'''(Somebody poor) , Soon agreement last computer and Movement'''
Stacey Good,71.0,60.1,78.2,'''Happen TV say culture; Window act , So along'''
David Robinson MD,58.0,33.1,59.2,'''Note: I pull, then Least concern'''
Amanda Mitchell,96.0,27.1,41.2,'''Very discover institution event; Great establish officer , Rock'''
Emily Harris,63.0,5.1,89.2,'''Outside; Since , Future why build'''
Kathleen Reed,29.0,25.1,100.2,'''Parent building when; Blue staff decade , We adult window rise'''
Ebony Campbell,46.0,68.1,38.2,'''(Positive hour huge not) , There their little admit and While everyone parent'''
Brian Austin,42.0,92.1,43.2,'''Note: Activity require foot front, then Protect chance reality catch improve individual'''
Gail Aguilar,88.0,78.1,3.2,'''Something common find, Like pick cost Church'''
Shawn Watkins,90.0,42.1,76.2,'''Recognize hold; Skill home better provide city , Talk democratic beautiful talk'''
