name;username;score;salary;total_count;remark
Trevor Butler;trevor_butler_4946;36.0;22.1;46.2;"""At suscipit; Ipsam ; Suscipit distinctio illum sint"""
Mr Leslie Skinner;mr_skinner_8873;91.0;90.1;41.2;"""Maiores; Repellendus natus quos ; Modi voluptatem assumenda aliquam pariatur"""
Ben Quinn;ben_quinn_2484;18.0;78.1;28.2;"""(Ab pariatur) ; Veritatis maiores vel quisquam labore laborum and Labore"""
Garry Atkinson;garry_atkinson_6810;76.0;45.1;58.2;"""Dignissimos molestiae est praesentium; Id nam porro ; Alias corrupti adipisci itaque"""
Kim Brown;kim_brown_8533;4.0;;97.2;"""Eius libero: Facilis iste; Voluptas dolorum"""
Emily Welch;emily_welch_6376;1.0;62.1;23.2;"""Deserunt voluptatum dolorum possimus; Fugiat ea facere et ad Quod ipsum voluptate"""
Angela Roberts;angela_roberts_0774;81.0;99.1;69.2;"""Note: Inventore id; then Inventore molestiae"""
Dorothy Chapman;dorothy_chapman_5285;67.0;68.1;1.2;"""Hic perferendis: Omnis vero quibusdam alias; Tempora a"""
x;vincent_nicholls_9894;44.0;47.1;2.2;"""Deleniti vitae; Magni dicta facilis ; Voluptatem"""
Mr Gerald Barker;mr_barker_2325;99.0;75.1;80.2;"""(Enim modi atque) ; Quidem quis and Consectetur voluptates provident corporis"""
Lewis Briggs-Iqbal;lewis_iqbal_5555;17.0;8.1;77.2;"""Note: Maiores distinctio eveniet rerum laudantium eaque; then Dolor repellendus soluta"""
Carly Jackson-Miller;carly_miller_0839;87.0;62.1;100.2;"""Omnis perspiciatis rerum aliquid ratione: Tempore delectus numquam illo autem; Odit repellendus ad"""
Neil Greenwood;neil_greenwood_7136;93.0;83.1;38.2;"""Eveniet vero qui repellat distinctio; Repudiandae nesciunt rerum quibusdam quas ; Voluptatem numquam"""
Barbara Saunders;barbara_saunders_3282;39.0;87.1;88.2;"""Commodi quibusdam illum at libero: Qui repudiandae suscipit; Numquam inventore fugit quasi"""
Dawn James-Webster;dawn_webster_2128;2.0;30.1;57.2;"""(Consequatur perspiciatis) ; Quidem vel delectus repudiandae and Ipsam ex"""
Carol Butler-Skinner;carol_skinner_9018;34.0;41.1;66.2;"""Note: Veniam consequatur magni modi; then Nobis accusamus"""
Caroline Simpson;caroline_simpson_1666;;66.1;5.2;"""Nobis eligendi; Soluta laudantium Non debitis cumque libero libero"""
Rachel Powell;rachel_powell_5108;8.0;91.1;41.2;"""Note: Corrupti assumenda ipsum repellat; then Doloremque doloremque eius veritatis quis"""
Leigh Martin;leigh_martin_9518;22.0;2.1;;"""Cum: Veritatis reprehenderit; Ad excepturi"""
Alexandra Cooper-Daly;alexandra_daly_2926;78.0;39.1;47.2;"""Labore; Eum dolorum Consequatur incidunt ullam non velit"""
Linda Robertson;linda_robertson_0960;9.0;29.1;35.2;"""Occaecati officiis consequuntur; Tenetur illum ; Dignissimos facilis iste"""
