username,name,rating,total_count,age,remark
frank_gonzalez_4864,Frank Gonzalez,64.0,38.1,2.2,"""Free anyone; Program very conference , Per culture"""
tiffany_andrade_2190,Tiffany Andrade,56.0,6.1,64.2,"""(Region key information often less) , Of report certainly and Develop close"""
rebecca_bolton_8704,Rebecca Bolton,27.0,26.1,40.2,"""Against blue staff across black our; Get to if , Friend group behind position among"""
carolyn_ortega_9107,Carolyn Ortega,72.0,36.1,9.2,"""Hard analysis represent leave health: Whatever attack piece once, Meeting ahead"""
deborah_smith_7712,Deborah Smith,8.0,13.1,98.2,"""Lose move; Reveal listen , Kind onto claim"""
stephanie_ferguson_0259,Stephanie Ferguson,83.0,2.1,57.2,"""Note: Republican red Congress, then Indeed cost"""
andre_howell_6757,Andre Howell,44.0,100.1,18.2,"""Respond various million care act; Next friend action difference , Occur say nation likely important"""
shawna_carter_7269,Shawna Carter,73.0,97.1,50.2,"""Note: Room, then Ok"""
william_wilcox_2040,William Wilcox,38.0,13.1,30.2,"""Social; Major value , System skill performance development"""
joseph_reynolds_8994,Joseph Reynolds,93.0,24.1,44.2,"""Plan; Approach they vote prove find , Parent treatment test exactly attention"""
jennifer_wilson_5340,Jennifer Wilson,27.0,18.1,65.2,"""Require challenge threat door shoulder; Usually , Reflect peace"""
laura_jimenez_4722,Laura Jimenez,6.0,87.1,29.2,"""Fine, Travel view rock these May staff"""
daniel_munoz_4727,Daniel Munoz,13.0,18.1,28.2,"""Baby task another, Without measure family trouble Management make own"""
anna_cowan_4309,Anna Cowan,37.0,25.1,8.2,"""(Certain I reality) , Wife physical choose nearly wear agency and Break focus draw theory kind"""
brittany_ball_8441,Brittany Ball,16.0,58.1,77.2,"""Note: Form left data sure figure court, then Contain member community society threat"""
jonathan_henry_1296,Jonathan Henry,85.0,80.1,6.2,"""Probably without exist let, Major data economic Today Mrs"""
joshua_casey_5739,A,,24.1,43.2,"""Low set; Reflect , Six sound"""
dwayne_williams_8879,Dwayne Williams,1.0,67.1,40.2,"""(Seat way air rule) , Onto check eye and Middle perform industry"""
david_reynolds_6077,David Reynolds,34.0,37.1,2.2,"""Majority energy book: Interesting today special, Poor choose expert research"""
julie_henderson_9895,Julie Henderson,13.0,13.1,69.2,"""Television air, Ability four feeling office sing benefit Offer"""
holly_mcdaniel_6654,Holly Mcdaniel,53.0,78.1,70.2,"""(Wonder answer floor stock) , Step and Whom grow card north"""
melissa_martin_4415,Melissa Martin,55.0,52.1,100.2,"""Growth manager: Lead customer, Fine firm"""
heather_washington_0295,Heather Washington,50.0,81.1,33.2,"""Note: Employee many Mr reality person rest, then Catch dream truth specific"""
juan_vega_3669,Juan Vega,63.0,95.1,95.2,"""Maintain one, Some visit cultural create majority business Continue rate"""
jeff_miller_8146,Jeff Miller,86.0,,16.2,"""(One different) , Whole make and Foot painting"""
johnathan_cooper_6559,Johnathan Cooper,79.0,19.1,83.2,"""Conference may section; Heart everybody structure , Involve fly customer"""
jacob_miller_8356,Jacob Miller,18.0,63.1,86.2,"""White out: Least message message protect, Response can"""
darren_davis_9608,Darren Davis,48.0,9.1,69.2,"""(Table doctor usually) , Tell recent page camera and Return store rest"""
misty_jones_1697,Misty Jones,52.0,42.1,29.2,"""Very card win; Happy consumer , Past between common hand back level"""
sarah_valdez_1811,Sarah Valdez,98.0,46.1,19.2,"""Someone parent husband: Article remain, Federal wonder range"""
jeffrey_guzman_5298,Jeffrey Guzman,69.0,18.1,,"""Month add travel; Many , Value race"""
benjamin_hancock_2943,Benjamin Hancock,50.0,52.1,17.2,"""Government hospital what difficult everything cause; Responsibility , One shoulder what"""
philip_nguyen_8410,Philip Nguyen,12.0,42.1,88.2,"""Way about: General must, More future art want"""
