name	age	score	total_count	review	summary
Julie Montoya	16.0	56.1	94.2	'''Mouth more teacher	 Chance table board Daughter end provide item'''	'''Interview: Listen	 Song who foreign'''
Jonathan Thompson	18.0	74.1	39.2	'''Note: Strong dinner exist agree huge what	 then Trial feel check'''	'''Note: Pm future address	 then High possible program'''
Bryan Jackson	94.0	85.1	79.2	'''(And fact give inside) 	 Produce bag too reason note moment and Major gun'''	'''Anyone enjoy hair decide hard	 Wall smile performance Argue assume ask'''
Christine Arnold	70.0	99.1	95.2	'''Note: Throw	 then State civil from beat'''	'''Safe appear; Protect weight do dark 	 Part'''
Jeff Wright	87.0	15.1	13.2	'''Note: College free determine simply people job	 then Next animal appear'''	'''Order back picture kid; Remain long together 	 Site order'''
Kelly Rodriguez	6.0	74.1	31.2	'''(Phone team indicate) 	 After father and Himself'''	'''Including make: Against model school me	 By well may offer that church'''
Mitchell Murray	8.0	80.1	61.2	'''Determine already per recently: Of measure	 Arm different the sound moment'''	'''Each two focus	 Compare option only threat same Behind walk put indeed wait'''
Andrew Curry	94.0	42.1	49.2	'''Yard; Door conference brother part recent 	 Fact section write'''	'''Star movie: Peace stay	 Black whom'''
Jennifer Thompson	32.0	24.1	24.2	'''(Check nice) 	 Nor power room degree and Official sign market become blood'''	'''Left create: Sit thing	 Her growth'''
Derek Dawson	93.0	88.1	57.2	'''(Exist along city) 	 Top meet and Indeed nature if'''	'''Rise feel color stuff: Have see	 Skill admit finish test miss put'''
Jennifer Dunn	40.0	56.1	3.2	'''Note: Individual art	 then Knowledge poor finally view'''	'''Note: During	 then Arrive'''
Charles Patel	79.0	91.1	54.2	'''Although; Window student state by floor 	 More whose admit rate'''	'''Others several back: Bar	 Prove direction'''
Thomas Yoder	71.0	16.1	14.2	'''Life for fast	 Most reach her newspaper So culture'''	'''Him; Effect pay 	 Door local figure by'''
Calvin Peters	77.0	36.1	84.2	'''(Third machine) 	 Condition at college and Into prove meet window day guy'''	'''Sport budget: Imagine challenge point cold sure	 Executive others'''
Jessica Ingram	48.0	99.1	100.2	'''Us talk your: Number between look	 Believe off ten tonight'''	'''Movement civil despite certainly: Raise no actually culture	 Environmental'''
Adam Simmons	12.0	84.1	59.2	'''Fire language would agency later: Catch player	 Daughter politics design edge low fly'''	'''Event economic; Test cost collection 	 Nice position'''
Rebecca Thomas	98.0	34.1	17.2	'''Short short pattern trip recognize near; Go 	 Director want'''	'''Any degree body imagine; Lawyer situation situation 	 Case official under family'''
Karen Shaffer	69.0	75.1	35.2	'''Decide require institution	 Let race later industry claim example Certain soon scene prove'''	'''Next; Recognize value sort amount arrive 	 Thought rest'''
Laura Bishop	38.0	40.1	89.2	'''Step	 West eight Put table organization point could'''	'''Weight decision: Upon use	 Tree'''
Hailey Pitts	46.0	99.1		'''It wind check think: Risk space character	 Nature officer learn'''	'''(Head religious) 	 Early reduce sport add and Chance'''
Alejandro Nolan		42.1	14.2	'''(Section occur) 	 Really and Learn per adult within'''	'''American billion cultural cause manager seek; Commercial author option 	 Agency spring lead yes'''
Jerome Haley	19.0	72.1	57.2	'''Note: Similar pressure	 then Few other among share'''	'''(Consider let we) 	 Couple area and Hold plant still'''
Joseph Salinas	23.0		82.2	'''Note: Speech not late song ahead	 then Wind'''	'''Note: Full be fire over born	 then Save maybe'''
Mark Robinson	12.0	12.1	59.2	'''Process close	 Detail continue Third build'''	'''Note: Arrive doctor wear list various	 then Magazine fund surface treatment gas couple'''
Tracy Marks	99.0	26.1	29.2	'''Base challenge close full conference: Way receive require analysis	 Sort probably'''	'''Note: Figure form believe oil	 then Happen operation arm'''
Anthony Robinson	75.0	72.1	44.2	'''Hot everyone	 Whom environmental religious red Effect phone dog result phone middle'''	'''Certainly lead item; Fall large president list set 	 Simply prevent'''
James Carroll	36.0	18.1	5.2	'''(Real in) 	 Finish control improve audience hot reflect and Another strategy father research process'''	'''Note: Theory surface	 then Discuss condition cell'''
William Terrell	75.0	7.1	70.2	'''Note: Air company when	 then Key so have blood oil'''	'''Answer: When example difficult white	 But recognize everyone film'''
Mr. Patrick Frederick	61.0	36.1	2.2	'''Note: Yard door	 then Congress civil worry'''	'''Decade show real establish trouble: Upon man young	 Represent usually action understand'''
Michael Duncan	8.0	61.1	68.2	'''Green travel find somebody that room: Help side pay just	 Seat'''	'''Us hit poor	 Center build computer history tell idea Job'''
Kathy Hensley	59.0	30.1	93.2	'''Note: Heart decade direction century TV	 then Side eye add'''	'''Note: Also smile system	 then Rise note'''
D	31.0	70.1	2.2	'''Or modern: Talk low response	 Wrong seek'''	'''Message than	 System case artist Week suffer and dinner road practice'''
Kelly Mueller	34.0	71.1	70.2	'''(Because partner other create) 	 Moment and Hair'''	'''Note: Real outside foreign myself child	 then Business top'''
Larry Anderson	17.0	47.1	65.2	'''Voice: Item including carry	 Interesting performance throw official anyone lot'''	'''(Citizen mean physical true) 	 Research now push and Us surface bad toward'''
Brandon Smith	86.0	70.1	58.2	'''Note: Common event mother	 then Region wish everything play tell'''	'''Within lead majority: Goal itself take fight	 Former evidence'''
Arthur Ortega	28.0	46.1	24.2	'''Major seem Mrs environment within; Image attack real bed project 	 Above score Democrat outside'''	'''(Individual case) 	 Conference Mrs teach little often and Memory different language'''
Justin Woods	65.0	72.1	54.2	'''School	 Health memory Game'''	'''Project; Rise 	 Soldier sister'''
