name	username	age	review
David Frazier	david_frazier_1101	100.0	'''(Rise know assume) 	 Process sound simple little and Early west reason hope project building'''
Joshua Boyd	joshua_boyd_7799		'''(Everybody) 	 Radio teacher matter and Box could adult these yes manage'''
Jeffrey Montgomery	jeffrey_montgomery_2825	13.0	'''Note: Service poor final	 then Together buy total'''
Chad Fernandez	chad_fernandez_0335	52.0	'''Cause cover activity wind that: Television really state	 Shoulder door personal seek'''
Alan Lopez	alan_lopez_0071	92.0	'''Open; Nature one attack 	 Themselves involve'''
Norman Pierce	norman_pierce_7385	26.0	'''(Travel ask rock floor) 	 Television no situation term and Culture like true'''
Hayley Noble	hayley_noble_4175	42.0	'''Note: Choice soon high capital	 then Number air behind'''
Jason Spears	jason_spears_8686	5.0	'''Note: Party	 then Ability call wear rock'''
Nicole Duncan	nicole_duncan_0785	15.0	'''Draw stuff; Need 	 Thus firm'''
Patty Ramsey	patty_ramsey_0469	51.0	'''Debate look various item success themselves: Level skill	 Enter forget offer after'''
Mikayla Allen	mikayla_allen_1419	62.0	'''(Speech professor control point room notice) 	 Property share range TV first and Officer'''
Andrew Leblanc	andrew_leblanc_2587	13.0	'''(Despite) 	 Listen language perhaps run camera everybody and State news entire ten seek'''
Philip Good	philip_good_1644	89.0	'''Fund plant owner address message camera; Between social 	 Break carry fall'''
Thomas Bernard	thomas_bernard_9677	46.0	'''Long clear: Look area movie since	 Billion catch east get'''
Cristian Vazquez	cristian_vazquez_0021	98.0	'''Direction fact: Movement beyond detail	 Government'''
Sheila Marshall	sheila_marshall_6352	35.0	'''Interesting girl: Market	 Fill back whom international'''
John Young	john_young_8335	87.0	'''Three other yard nothing a: Strategy	 Dream mouth perhaps news recent'''
Jessica Baird	jessica_baird_9941	77.0	'''(Use) 	 Goal both shoulder and Edge network run'''
o	john_parker_1760	80.0	'''Note: Tree	 then Least of'''
Christine Rosales	christine_rosales_4553	81.0	'''See wear put; Rest 	 By community trouble'''
Ms. Tamara Santana DDS	ms_dds_1713	47.0	'''Bit single benefit might act; Serve happen public board 	 Race work'''
Bryan Mcclure	bryan_mcclure_3412	43.0	'''Note: Compare mention	 then Better behavior'''
