name	total_count	score	summary
Jayne Holmes	71.0	43.1	'''Ducimus quaerat nostrum voluptate adipisci mollitia	 Sunt repellendus ut Eligendi iste'''
Carole Cooper	84.0	88.1	'''(Placeat maxime) 	 Odit natus and Ullam ipsum blanditiis aliquid'''
D		69.1	'''Est eos; Dicta autem 	 Non'''
Mathew Donnelly	20.0	28.1	'''Error modi	 Et officia dolorum Dicta earum dolorem'''
Mr Leigh Carter	75.0	86.1	'''(Similique) 	 Accusamus harum nemo rerum dolorem and Dolorum illo'''
Sam Johnson	68.0		'''Corporis a; Ab aliquam omnis officiis perspiciatis 	 Repudiandae sunt'''
Joyce Briggs-Evans	26.0	46.1	'''(Facilis quisquam) 	 Dignissimos and Possimus beatae exercitationem'''
Miss Kathryn Smith	86.0	13.1	'''Doloribus iste voluptate earum	 Eius voluptas Itaque animi'''
Mrs Anna Moss	26.0	25.1	'''Accusamus ex doloremque inventore: Debitis consequatur	 Laboriosam nihil reiciendis pariatur alias atque expedita'''
Charlene Hughes	3.0	28.1	'''Cumque exercitationem; Quaerat 	 Rerum quidem'''
Joyce Morris	21.0	52.1	'''Note: Pariatur consequuntur	 then Nisi quo ut at'''
Megan Smith	32.0	45.1	'''Minus atque consequuntur sunt; Laudantium sint 	 Non doloremque'''
Stuart Bates	90.0	100.1	'''Impedit; Minus expedita consectetur 	 Repudiandae explicabo iusto'''
Dr Victoria Conway	86.0	56.1	'''Recusandae: Provident accusantium	 Aperiam atque'''
Dr Linda Scott	87.0	42.1	'''(Perferendis numquam totam) 	 Cum illo and Saepe facilis fugiat'''
Carly Smith	6.0	33.1	'''Numquam cumque; Ducimus aspernatur quaerat 	 Recusandae omnis itaque'''
Mr James Barber	25.0	18.1	'''Quia et architecto	 Quis labore harum Quis unde'''
Lydia Bentley	36.0	15.1	'''Note: Magnam	 then Consectetur laboriosam similique'''
Josephine Ali	67.0	66.1	'''Voluptatum tenetur: Eius qui	 Quos distinctio doloribus'''
Marie Miles-Ward	92.0	87.1	'''(Minima distinctio) 	 Maiores expedita alias veniam nisi molestiae and Tempore velit officia'''
Dr Sean Horton	19.0	5.1	'''Note: Dolorum porro	 then Perspiciatis aut'''
Dr Antony Dawson	1.0	78.1	'''Occaecati amet totam sunt	 Cumque animi Odit officiis pariatur ducimus'''
Mrs Marion Davies	57.0	92.1	'''Note: Ducimus	 then Quisquam aspernatur'''
Mr Mitchell Flynn	97.0	32.1	'''Enim magni ullam officiis	 Sunt Voluptas'''
Gemma Myers-Harvey	30.0	74.1	'''Dolorum ipsum	 Ex labore Nam atque alias ut atque'''
Damian Coles	28.0	37.1	'''Tenetur optio unde eveniet expedita: Animi nemo enim praesentium adipisci quidem	 Dolor laboriosam eveniet'''
Anthony Lambert	10.0	20.1	'''Quasi dolor odit cum: Molestiae maiores eius	 Minus expedita'''
Gavin Hall	55.0	55.1	'''Officia ut: Soluta in atque distinctio	 Consequatur aliquam'''
Dr Wendy Moore	34.0	68.1	'''(Beatae tempora) 	 Repudiandae repudiandae impedit dignissimos ipsam unde and Debitis voluptatibus odit perferendis'''
Gareth Cooper	40.0	95.1	'''Commodi quidem itaque repellendus ea	 Et Esse dolorum dolores iste'''
Judith John	96.0	73.1	'''Natus ipsum quia consequuntur	 Deserunt molestiae quos Asperiores'''
Elliot Hargreaves	90.0	50.1	'''Minima quod	 Quos quidem consequatur Provident quisquam quasi'''
Christian Kaur	92.0	8.1	'''Ipsum	 Provident sequi Expedita nemo corporis autem facere'''
Miss Andrea Johnson	93.0	58.1	'''(Neque itaque) 	 Aut sit quia and Ipsam autem totam ipsa aperiam magni'''
Nicola Jones	35.0	70.1	'''Omnis in dolor; Asperiores distinctio 	 Fugiat ullam quisquam illo dolor'''
Tracy Knight-Mitchell	29.0	62.1	'''Note: Architecto perspiciatis sed eius	 then Ea doloremque'''
Fiona White	27.0	56.1	'''Totam voluptatum molestiae at asperiores; Incidunt voluptate 	 Perspiciatis reiciendis rerum molestias est explicabo'''
Dr Anthony West	61.0	97.1	'''Note: Quidem nihil beatae	 then Nam at nulla pariatur dolorem'''
Mrs Elaine Bond	21.0	30.1	'''Note: Suscipit natus commodi at occaecati voluptatem	 then Alias'''
Edward Rahman	70.0	68.1	'''Qui laborum incidunt dicta	 In labore nihil Possimus minus'''
Francis Harrison	42.0	90.1	'''Dolore ipsum ipsum nihil ex; Incidunt 	 Optio dolores'''
Mr Steven Begum	82.0	77.1	'''Exercitationem dolorem: Quas itaque reiciendis	 Eveniet totam at'''
Lawrence Evans	1.0	32.1	'''Note: Minus nostrum in ullam	 then A cupiditate rem saepe quia'''
'Danny O''Connor-Doyle'	8.0	68.1	'''Facilis	 Sed nemo Sunt quod mollitia'''
Andrew Moore	25.0	51.1	'''Note: Pariatur quidem cupiditate facilis	 then Laborum fuga vitae'''
Andrea Nelson	57.0	40.1	'''(Quia omnis) 	 Ad similique accusantium and Distinctio deserunt labore'''
Christine Moore	60.0	94.1	'''Note: Similique consectetur expedita	 then Illum quibusdam'''
Danielle McDonald-Norris	72.0	63.1	'''Dolore reiciendis: Fuga fugiat fuga quod	 Distinctio iste'''
Frank Bishop	76.0	91.1	'''Note: Tenetur quis nisi asperiores repellat	 then Perferendis eveniet necessitatibus temporibus'''
Miss Francesca Spencer	34.0	7.1	'''Dolorum hic	 Quis neque itaque libero labore placeat Rerum'''
