name;price;description
Maurice Murray;70.0;'''Perferendis amet: Ratione provident debitis; Ut harum quis'''
Pamela Simpson;45.0;'''Note: Fugit natus sint illo; then Ut vel eligendi'''
Dr Thomas Walker;63.0;'''Ab; Id distinctio ; Accusantium'''
Miss Janet Gibson;94.0;'''(Vero blanditiis explicabo) ; Corporis illo odit optio and Rerum distinctio ipsam repellendus nam'''
Marilyn Turner;28.0;'''Blanditiis reprehenderit qui magni ex; Similique eaque praesentium quae ; Quidem laboriosam maxime'''
x;11.0;'''Doloremque: Iusto veritatis; Dolor repellendus in praesentium'''
Joel Norris;4.0;'''Dolore officia delectus; Quas porro ; Nesciunt aspernatur molestias quisquam'''
Miss Abigail Wilson;15.0;'''Note: A quae repudiandae; then Fugit rem'''
Edward Smith-Chambers;16.0;'''Note: Minima pariatur iusto beatae assumenda esse; then Tempore reprehenderit'''
Ellie Allen;59.0;'''Alias similique ipsam repellat: Enim debitis ut; Ex itaque nemo'''
Dr Mohammed Jones;9.0;'''In voluptate velit voluptate: Reprehenderit tenetur sit ab perferendis repellat; Quidem ut facere repudiandae'''
Jayne Griffiths;37.0;'''Harum architecto dolor; Recusandae id ; Voluptates repudiandae ipsam'''
Mr Gavin Clarke;92.0;'''(Neque) ; Soluta quis culpa dicta magnam and Aliquid delectus eius'''
Mrs Helen Anderson;79.0;'''Impedit totam quos laudantium inventore; Cum minima quasi dolores culpa aliquam Aliquam voluptatum laboriosam'''
Jodie Nelson;88.0;'''Iusto qui pariatur aliquid; Minima voluptatum debitis ; Aspernatur saepe architecto ab'''
Eric Holmes;58.0;'''Provident; Aut laudantium voluptatum excepturi ea Non cupiditate nam temporibus'''
Sara Watson-Ford;55.0;'''Corporis mollitia; Iste Quisquam'''
Max Richards-Wood;3.0;'''Ut dicta; Repudiandae consequuntur reiciendis Dolor eum iure soluta'''
Diana Wood;78.0;'''(Laboriosam non voluptas ut et) ; Quam quasi labore and Eum eius est sit maxime nemo'''
Kerry Wheeler;83.0;'''Nisi non modi; Nulla dolorem ; Aut error'''
Miss Susan Yates;49.0;'''Exercitationem; Deserunt Velit necessitatibus officia quisquam id ullam'''
Graham Mills;69.0;'''Dolor necessitatibus voluptate non nostrum error molestiae; Laudantium optio quos quisquam ; Labore'''
Mr William Harris;17.0;'''Note: Magni; then Ad autem cum expedita vero'''
Jessica Shaw;43.0;'''Accusamus illo aspernatur voluptate modi; Fuga eveniet Quis'''
Dr Guy Miller;42.0;'''Consectetur deserunt: Voluptatum veritatis; Optio nemo'''
Dr Dean Houghton;63.0;'''Odio earum debitis accusantium quos eligendi; Suscipit ex quis Doloribus laudantium'''
Dr Ben Butler;30.0;'''Cupiditate quidem molestias suscipit nulla; Earum eligendi ; Inventore ea'''
Mr Billy Dean;;'''Quasi; Mollitia quas ; Maiores explicabo excepturi voluptate totam'''
Mrs Amber Hunt;63.0;'''Eveniet pariatur quas; Vero culpa sed ; Ratione quibusdam id'''
Dr Abbie Cooper;63.0;'''Et voluptatibus optio minus nemo: Deleniti aut; Dolorum'''
Ms Tracey Hunt;89.0;'''(Eius voluptatibus nemo) ; Quia ipsa dolor est quod and Doloribus nulla incidunt sapiente tempore veritatis'''
Dr Terence Young;26.0;'''Sapiente consequuntur vel; Rem recusandae quisquam repellendus repudiandae architecto Distinctio consectetur'''
Jennifer Harrison;91.0;'''Ab autem; Quam error ; Accusamus sint atque'''
Dr Amanda Morgan;96.0;'''(Veritatis expedita illo) ; Vero quibusdam and Deleniti numquam aspernatur'''
Natalie Robinson;11.0;'''Voluptas: Dicta beatae; Dicta laboriosam nihil nisi inventore id'''
Mr Jamie Scott;56.0;'''(Iure) ; Ipsa dolorem repellat and Commodi minus nobis distinctio aliquid'''
Dr Ryan Austin;14.0;'''Itaque vitae veritatis; Ad odio Quia unde ducimus'''
Dr Richard Jennings;10.0;'''Pariatur porro; Quis ea soluta beatae in perspiciatis Maxime asperiores aliquam'''
Tony Bell;41.0;'''Expedita placeat nostrum fuga assumenda: Adipisci deleniti eius architecto; Ratione vel nulla'''
Joe Roberts-Holland;38.0;'''Accusantium nisi; Culpa aspernatur Dicta unde harum repellendus neque recusandae'''
Rosemary King;40.0;'''Note: Sequi tempora eaque beatae; then Temporibus'''
Miss Nicole Baxter;39.0;'''Dicta tenetur dolor accusantium: Iusto veritatis omnis dignissimos recusandae; Facere voluptatum'''
Rosemary Hunt;80.0;'''Note: Tenetur debitis ut; then Ut rem'''
