username,name,salary,description
edward_tapia_1058,Edward Tapia,62.0,"""(Tax) , Front and Hard there"""
karl_english_2020,Karl English,82.0,"""Risk sort, Final yes challenge Run also police speak"""
justin_hansen_4677,Justin Hansen,97.0,"""(Movement possible) , Rich and Room strategy debate mother"""
olivia_taylor_5020,Olivia Taylor,6.0,"""Time life again color today require; Parent last , Clearly why"""
shelley_griffin_2223,Shelley Griffin,45.0,"""Site rock writer; Start over program western , Six according future whether"""
nicholas_ramos_7941,Nicholas Ramos,83.0,"""Operation here, Rise Claim sea"""
billy_conley_3076,Billy Conley,80.0,"""Whatever gun bad; After front , Call TV teacher"""
james_lyons_7311,James Lyons,66.0,"""Section note; Technology who attorney though management , General air"""
rebecca_alexander_7230,Rebecca Alexander,74.0,"""Surface until, While what Eight quality"""
paul_vaughn_4699,Paul Vaughn,73.0,"""Establish wide wall tough into: South, Morning decade"""
virginia_wong_4526,Virginia Wong,6.0,"""Note: Shake why free, then Local"""
jenna_esparza_8830,Jenna Esparza,68.0,"""Benefit upon body red early consider; Concern enough reduce require , Center kid how cultural past such"""
kenneth_davis_2388,Kenneth Davis,8.0,"""Big beat evening put; But scientist concern Mr , Mrs gas"""
alexander_evans_4152,Alexander Evans,98.0,"""Note: Television, then Despite watch consumer town"""
john_foster_8885,John Foster,98.0,"""(Growth prevent) , Movie life hold shoulder a difficult and Down indeed"""
jamie_bell_2187,Jamie Bell,83.0,"""Member federal measure tree think: Chair leave part race, Black"""
roy_martin_1479,Roy Martin,51.0,"""Note: Skin, then Need manager"""
daniel_harper_9875,Daniel Harper,12.0,"""State: Including special, Huge play"""
kyle_oliver_0038,Kyle Oliver,93.0,"""Close; Method , Doctor east"""
gary_griffith_9389,Gary Griffith,16.0,"""Doctor few tree; Ten region gas summer , Pull show later difficult"""
paul_monroe_2083,Paul Monroe,55.0,"""Inside daughter: Pretty both, Very present once pick"""
carol_barnes_9140,A,,"""Note: Some, then Find white data throw inside church"""
hunter_good_6656,Hunter Good,75.0,"""Prove street, Old time Story beyond reduce however"""
miss_jones_2483,Miss Stephanie Jones,90.0,"""Collection more size; Choose prove , Growth half structure seat"""
lindsey_todd_7214,Lindsey Todd,65.0,"""Board scene; Pay dinner speak , Rate body"""
lindsey_cook_7780,Lindsey Cook,57.0,"""(Live less can none simple) , On artist name difference poor and Huge"""
daniel_stephenson_1157,Daniel Stephenson,10.0,"""Recognize century mind high material; Everybody last energy , Fine but"""
brandi_turner_4898,Brandi Turner,71.0,"""New stuff stock source: Into cut foot step, Begin she civil"""
