username,name,total_count,age,comment,message
ashley_jackson_6799,Ashley Jackson,,83.1,"""She: Pay, Short approach""","""(Stage) , Hard relate let its and Note thought begin"""
jason_campos_4126,Jason Campos,69.0,55.1,"""Note: Positive hear available stop, then Across blue will talk begin""","""(Rise simply) , Before blue focus and Dog actually late arm"""
benjamin_shepherd_3280,Benjamin Shepherd,38.0,35.1,"""Current concern follow specific: Way for market authority rich class, Maybe""","""Letter must source summer; Bank simply , Management main"""
kyle_garrett_7811,Kyle Garrett,59.0,48.1,"""Note: Support player, then Least attention""","""Series despite describe development song; Partner catch feeling , Language Congress full"""
dana_norman_5789,Dana Norman,56.0,56.1,"""Must explain deal various open; Choice improve , Morning after matter""","""Hand production: Call find stock game, Almost start white"""
larry_smith_0123,Larry Smith,51.0,68.1,"""Single mean place generation read professional: Indeed describe, Very old they impact never""","""Agreement senior, Keep cup Kitchen most"""
sara_lewis_3630,Sara Lewis,70.0,64.1,"""Note: Appear, then Support color""","""Know avoid maintain smile: Product wait movement agree scientist, Different lot"""
brittany_powell_0705,Brittany Powell,1.0,64.1,"""Goal really effort cause happen air: Eat work lay short, Since bill Democrat""","""Beat decide recently, Among figure someone way maintain toward deal Skin able music"""
melissa_bray_1802,Melissa Bray,67.0,67.1,"""(Hear audience law both) , Democratic recent and Region guy""","""(Discussion while piece serious) , Together spring actually before and Thousand"""
michael_mccarty_3939,Michael Mccarty,83.0,14.1,"""Set soldier set section stage world; Enough , Yet impact several more seek""","""Member behavior; Old maybe , Four hospital purpose"""
aaron_allen_9943,Aaron Allen,5.0,19.1,"""Remember huge kitchen indicate about: Experience, Research part without among""","""Seat spend door, Very question tonight Reduce"""
laura_lee_6656,Laura Lee,17.0,64.1,"""Note: Heavy same, then Enjoy stage have""","""(Public environment time) , Us value and Successful job big"""
willie_elliott_1172,Willie Elliott,39.0,,"""Note: Simply employee leader will, then Drive lot none""","""Prepare include effort; Suggest , Camera kind well discuss picture"""
jason_carroll_8582,Jason Carroll,24.0,45.1,"""Real impact guy country: Base measure health up, Floor she military""","""May language food, Mother itself Year hand go"""
patricia_reed_4370,Patricia Reed,47.0,9.1,"""Note: Data all by family, then Author raise""","""Course parent small number; Sea factor data way , Every process bag smile"""
donna_simpson_1972,Donna Simpson,38.0,80.1,"""Base; Interview , While""","""Every book where, Growth Factor personal evidence one"""
elizabeth_hart_8312,Elizabeth Hart,10.0,97.1,"""Skin recent commercial drop visit yard available: None yet, Cut""","""Note: Third, then Property marriage"""
nicholas_robinson_2540,Nicholas Robinson,15.0,44.1,"""Three provide possible; Miss time yard get , Contain cover""","""(Participant) , Others unit toward occur and Never probably ahead measure around"""
brandon_howell_9961,Brandon Howell,9.0,12.1,"""Word western; Collection trial sea picture about major , Arrive west live amount""","""(Allow successful across weight environmental) , Parent name and Country letter scene"""
michelle_perez_0926,Michelle Perez,25.0,42.1,"""(Technology one main) , Lot political together and Glass three security""","""Wish; Into able hand paper , Wait those"""
jessica_perez_3870,Jessica Perez,57.0,88.1,"""Discuss skill crime; Dream , Subject part""","""Note: Pressure property century, then Effort"""
mary_davis_8923,Mary Davis,75.0,68.1,"""Long capital: New matter common newspaper like now, Policy""","""Society less concern owner let: Approach huge consider, Society"""
parker_harper_9292,Parker Harper,12.0,64.1,"""(While myself) , Anyone task and Could thank""","""(Keep statement) , Style and My choice accept"""
stephanie_hill_9033,Stephanie Hill,92.0,56.1,"""Note: Together leg late every, then Affect commercial hundred decision scientist meet""","""Note: Within administration, then Control answer onto"""
billy_white_7813,Billy White,71.0,43.1,"""(Break understand mean follow hard) , Say keep and President move say easy""","""Result energy reduce capital claim; Record trial house , Large four establish"""
brian_glover_8404,Brian Glover,88.0,56.1,"""Note: Job hotel, then Enough step black film""","""Within also generation visit company: Traditional notice address, Address section discuss low exist research"""
richard_walker_9875,o,53.0,37.1,"""(Respond could parent) , Subject beautiful wind tonight less and In design letter""","""Employee continue radio, Well Republican Attack affect despite"""
